"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","34.54","47.02","81.55","1.655E-05"
"0.0015","44.56","46.91","91.47","2.23E-05"
"0.002","53.39","46.04","99.43","2.753E-05"
"0.0025","61.42","44.93","106.4","3.239E-05"
"0.003","68.88","43.75","112.6","3.696E-05"
"0.004","82.53","41.45","124","4.541E-05"
"0.005","94.95","39.34","134.3","5.315E-05"
"0.006","106.5","37.45","143.9","6.034E-05"
"0.007","117.3","35.76","153.1","6.708E-05"
"0.008","127.6","34.23","161.8","7.343E-05"
"0.009","137.4","32.85","170.2","7.945E-05"
"0.01","146.8","31.6","178.4","8.519E-05"
"0.0125","168.8","28.92","197.7","9.849E-05"
"0.015","189.3","26.73","216","0.0001106"
"0.0175","208.5","24.9","233.4","0.0001217"
"0.02","226.7","23.34","250.1","0.0001321"
"0.0225","244.1","21.99","266.1","0.0001417"
"0.025","260.8","20.82","281.6","0.0001509"
"0.0275","276.8","19.78","296.6","0.0001595"
"0.03","292.3","18.85","311.1","0.0001677"
"0.035","321.9","17.27","339.1","0.0001831"
"0.04","349.8","15.97","365.8","0.0001973"
"0.045","376.5","14.87","391.3","0.0002105"
"0.05","401.9","13.94","415.9","0.0002229"
"0.055","426.4","13.12","439.5","0.0002346"
"0.06","450","12.41","462.4","0.0002457"
"0.065","472.8","11.78","484.6","0.0002563"
"0.07","494.9","11.22","506.1","0.0002663"
"0.075","516.3","10.72","527","0.000276"
"0.08","537","10.26","547.3","0.0002853"
"0.085","557.3","9.848","567.1","0.0002943"
"0.09","577","9.47","586.4","0.000303"
"0.095","596.1","9.123","605.3","0.0003114"
"0.1","614.8","8.803","623.6","0.0003195"
"0.125","702.1","7.518","709.6","0.000357"
"0.15","780.3","6.588","786.9","0.0003904"
"0.175","850.8","5.881","856.6","0.0004209"
"0.2","914.4","5.323","919.7","0.000449"
"0.225","971.9","4.87","976.7","0.0004754"
"0.25","1024","4.495","1028","0.0005003"
"0.275","1070","4.177","1074","0.0005241"
"0.3","1111","3.906","1115","0.0005469"
"0.35","1181","3.464","1184","0.0005903"
"0.4","1233","3.118","1237","0.0006316"
"0.45","1272","2.84","1275","0.0006714"
"0.5","1298","2.611","1301","0.0007102"
"0.55","1314","2.419","1316","0.0007484"
"0.6","1321","2.255","1323","0.0007863"
"0.65","1321","2.114","1323","0.000824"
"0.7","1315","1.991","1317","0.0008619"
"0.75","1305","1.882","1307","0.0009"
"0.8","1291","1.785","1293","0.0009384"
"0.85","1276","1.699","1277","0.0009773"
"0.9","1258","1.621","1260","0.001017"
"0.95","1240","1.55","1242","0.001057"
"1","1222","1.486","1223","0.001097"
"1.25","1130","1.235","1131","0.00131"
"1.5","1047","1.06","1048","0.00154"
"1.75","974","0.9317","974.9","0.001787"
"2","911.2","0.8324","912","0.002052"
"2.25","856.7","0.7533","857.5","0.002335"
"2.5","809","0.6888","809.7","0.002635"
"2.75","767","0.6351","767.7","0.002953"
"3","729.8","0.5896","730.4","0.003287"
"3.5","666.1","0.5167","666.6","0.004004"
"4","613.2","0.4606","613.7","0.004787"
"4.5","569.7","0.4161","570.1","0.005633"
"5","532.7","0.3799","533.1","0.00654"
"5.5","501","0.3498","501.3","0.007508"
"6","473.4","0.3243","473.7","0.008535"
"6.5","449.1","0.3025","449.4","0.009619"
"7","427.4","0.2836","427.6","0.01076"
"7.5","408.3","0.267","408.5","0.01196"
"8","391","0.2524","391.3","0.01321"
"8.5","375.4","0.2393","375.6","0.01451"
"9","361.1","0.2276","361.4","0.01587"
"9.5","348.1","0.2171","348.3","0.01728"
"10","336","0.2075","336.2","0.01874"
