"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","5.624","5.305","10.93","0.0001325"
"0.0015","7.557","5.821","13.38","0.0001738"
"0.002","9.319","6.148","15.47","0.0002084"
"0.0025","10.96","6.372","17.34","0.0002389"
"0.003","12.52","6.531","19.05","0.0002664"
"0.004","15.44","6.729","22.17","0.000315"
"0.005","18.17","6.831","25","0.0003574"
"0.006","20.75","6.877","27.63","0.0003954"
"0.007","23.21","6.888","30.1","0.00043"
"0.008","25.59","6.875","32.46","0.000462"
"0.009","27.88","6.846","34.72","0.0004918"
"0.01","30.1","6.806","36.91","0.0005197"
"0.0125","35.41","6.676","42.09","0.0005831"
"0.015","40.44","6.526","46.97","0.0006392"
"0.0175","45.25","6.37","51.62","0.00069"
"0.02","49.87","6.213","56.08","0.0007364"
"0.0225","54.33","6.06","60.39","0.0007794"
"0.025","58.66","5.913","64.57","0.0008194"
"0.0275","62.87","5.771","68.64","0.0008569"
"0.03","66.98","5.635","72.61","0.0008923"
"0.035","74.92","5.383","80.3","0.0009578"
"0.04","82.55","5.154","87.7","0.001017"
"0.045","89.91","4.945","94.85","0.001072"
"0.05","97.04","4.755","101.8","0.001123"
"0.055","104","4.582","108.6","0.001171"
"0.06","110.7","4.422","115.1","0.001215"
"0.065","117.3","4.275","121.6","0.001257"
"0.07","123.7","4.139","127.9","0.001298"
"0.075","130","4.012","134.1","0.001336"
"0.08","136.2","3.895","140.1","0.001372"
"0.085","142.3","3.785","146","0.001407"
"0.09","148.2","3.683","151.9","0.001441"
"0.095","154","3.587","157.6","0.001473"
"0.1","159.7","3.496","163.2","0.001504"
"0.125","187","3.114","190.1","0.001646"
"0.15","212.2","2.818","215","0.001769"
"0.175","235.6","2.58","238.2","0.00188"
"0.2","257.4","2.385","259.8","0.00198"
"0.225","277.7","2.221","279.9","0.002073"
"0.25","296.5","2.081","298.5","0.002159"
"0.275","313.8","1.96","315.8","0.002241"
"0.3","329.8","1.854","331.7","0.002318"
"0.35","357.9","1.677","359.6","0.002462"
"0.4","381.1","1.534","382.6","0.002597"
"0.45","399.7","1.417","401.2","0.002725"
"0.5","414.3","1.318","415.7","0.002847"
"0.55","425.4","1.234","426.6","0.002966"
"0.6","433.4","1.161","434.5","0.003082"
"0.65","438.7","1.086","439.8","0.003196"
"0.7","441.9","1.03","442.9","0.003309"
"0.75","443.3","0.9807","444.3","0.003422"
"0.8","443.2","0.936","444.2","0.003534"
"0.85","442.1","0.8956","442.9","0.003647"
"0.9","440","0.859","440.8","0.00376"
"0.95","437.2","0.8255","438","0.003874"
"1","433.9","0.7947","434.7","0.003989"
"1.25","413.8","0.6725","414.4","0.004577"
"1.5","392.6","0.5855","393.2","0.005197"
"1.75","373.2","0.52","373.7","0.005849"
"2","355.9","0.4687","356.4","0.006534"
"2.25","340.6","0.4274","341.1","0.007252"
"2.5","327","0.3933","327.4","0.008"
"2.75","314.7","0.3647","315.1","0.008778"
"3","303.6","0.3403","304","0.009586"
"3.5","284.1","0.3007","284.4","0.01129"
"4","267.4","0.27","267.7","0.0131"
"4.5","252.9","0.2454","253.2","0.01502"
"5","240.2","0.2252","240.4","0.01705"
"5.5","228.8","0.2083","229","0.01918"
"6","218.6","0.1939","218.8","0.02142"
"6.5","209.4","0.1815","209.6","0.02375"
"7","201.1","0.1707","201.2","0.02619"
"7.5","193.4","0.1613","193.6","0.02872"
"8","186.4","0.1528","186.6","0.03135"
"8.5","180","0.1453","180.1","0.03408"
"9","174","0.1386","174.2","0.0369"
"9.5","168.5","0.1324","168.6","0.03982"
"10","163.3","0.1269","163.5","0.04283"
