"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","25.93","5.286","31.22","5.894E-05"
"0.0015","31.38","5.793","37.17","7.358E-05"
"0.002","35.92","6.114","42.04","8.62E-05"
"0.0025","39.89","6.331","46.23","9.753E-05"
"0.003","43.46","6.485","49.95","0.0001079"
"0.004","49.75","6.674","56.43","0.0001267"
"0.005","55.26","6.769","62.02","0.0001436"
"0.006","60.2","6.809","67.01","0.0001591"
"0.007","64.72","6.815","71.53","0.0001735"
"0.008","68.91","6.798","75.71","0.0001871"
"0.009","72.83","6.765","79.59","0.0002"
"0.01","76.52","6.722","83.24","0.0002123"
"0.0125","84.98","6.587","91.56","0.0002409"
"0.015","92.57","6.433","99","0.0002671"
"0.0175","99.51","6.273","105.8","0.0002915"
"0.02","105.9","6.115","112.1","0.0003145"
"0.0225","112","5.96","117.9","0.0003362"
"0.025","117.6","5.811","123.4","0.0003569"
"0.0275","123","5.669","128.7","0.0003768"
"0.03","128.1","5.533","133.6","0.0003958"
"0.035","137.7","5.281","142.9","0.000432"
"0.04","146.5","5.052","151.6","0.0004659"
"0.045","154.8","4.845","159.6","0.0004981"
"0.05","162.5","4.656","167.2","0.0005287"
"0.055","169.9","4.484","174.4","0.0005579"
"0.06","176.9","4.326","181.2","0.0005861"
"0.065","183.5","4.18","187.7","0.0006132"
"0.07","189.9","4.046","194","0.0006394"
"0.075","196","3.921","200","0.0006648"
"0.08","201.9","3.805","205.7","0.0006894"
"0.085","207.6","3.697","211.3","0.0007134"
"0.09","213.1","3.596","216.7","0.0007368"
"0.095","218.3","3.501","221.8","0.0007596"
"0.1","223.5","3.412","226.9","0.0007818"
"0.125","246.9","3.036","250","0.0008867"
"0.15","267.5","2.746","270.2","0.0009828"
"0.175","285.6","2.513","288.2","0.001072"
"0.2","301.9","2.321","304.2","0.001157"
"0.225","316.5","2.161","318.7","0.001237"
"0.25","329.6","2.024","331.7","0.001314"
"0.275","341.5","1.906","343.4","0.001388"
"0.3","352.2","1.802","354","0.00146"
"0.35","370.5","1.629","372.1","0.001597"
"0.4","385.1","1.491","386.6","0.001729"
"0.45","396.7","1.376","398.1","0.001856"
"0.5","405.7","1.28","407","0.00198"
"0.55","412.4","1.197","413.6","0.002102"
"0.6","417.2","1.126","418.3","0.002222"
"0.65","420.3","1.054","421.4","0.002341"
"0.7","422.1","0.9998","423.1","0.00246"
"0.75","422.7","0.9514","423.6","0.002578"
"0.8","422.4","0.9079","423.3","0.002696"
"0.85","421.2","0.8687","422.1","0.002814"
"0.9","419.5","0.833","420.3","0.002933"
"0.95","417.2","0.8004","418","0.003052"
"1","414.6","0.7706","415.3","0.003172"
"1.25","397.8","0.6518","398.5","0.003786"
"1.5","379.5","0.5673","380.1","0.004429"
"1.75","362","0.5037","362.5","0.005102"
"2","346.1","0.454","346.6","0.005808"
"2.25","331.8","0.4139","332.2","0.006545"
"2.5","318.9","0.3808","319.3","0.007312"
"2.75","307.3","0.3531","307.6","0.00811"
"3","296.7","0.3294","297","0.008938"
"3.5","278","0.2911","278.3","0.01068"
"4","262","0.2613","262.3","0.01253"
"4.5","248.1","0.2375","248.4","0.01449"
"5","235.8","0.2179","236.1","0.01656"
"5.5","224.9","0.2015","225.1","0.01873"
"6","215.1","0.1876","215.2","0.021"
"6.5","206.1","0.1756","206.3","0.02337"
"7","198","0.1652","198.2","0.02584"
"7.5","190.6","0.156","190.8","0.02842"
"8","183.8","0.1478","183.9","0.03109"
"8.5","177.5","0.1405","177.6","0.03385"
"9","171.7","0.134","171.8","0.03671"
"9.5","166.2","0.1281","166.4","0.03967"
"10","161.2","0.1227","161.3","0.04272"
