"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","190.6","155.7","346.3","3.644E-06"
"0.0015","225.6","144.1","369.7","5.033E-06"
"0.002","254.3","134","388.2","6.352E-06"
"0.0025","279","125.3","404.3","7.614E-06"
"0.003","300.9","117.9","418.8","8.828E-06"
"0.004","339.2","105.8","444.9","1.114E-05"
"0.005","372.1","96.27","468.4","1.333E-05"
"0.006","401.4","88.6","490","1.542E-05"
"0.007","427.9","82.23","510.2","1.742E-05"
"0.008","452.3","76.85","529.2","1.934E-05"
"0.009","475","72.24","547.2","2.12E-05"
"0.01","496.2","68.22","564.4","2.3E-05"
"0.0125","544.3","60.12","604.4","2.728E-05"
"0.015","586.9","53.95","640.9","3.129E-05"
"0.0175","625.5","49.07","674.6","3.509E-05"
"0.02","661","45.09","706.1","3.871E-05"
"0.0225","693.8","41.78","735.6","4.218E-05"
"0.025","724.6","38.97","763.5","4.552E-05"
"0.0275","753.5","36.56","790","4.874E-05"
"0.03","780.8","34.46","815.3","5.185E-05"
"0.035","831.5","30.98","862.5","5.781E-05"
"0.04","877.9","28.2","906.1","6.346E-05"
"0.045","920.8","25.92","946.7","6.886E-05"
"0.05","960.6","24.02","984.7","7.404E-05"
"0.055","998","22.4","1020","7.902E-05"
"0.06","1033","21.01","1054","8.384E-05"
"0.065","1066","19.79","1086","8.852E-05"
"0.07","1098","18.72","1117","9.306E-05"
"0.075","1128","17.78","1146","9.748E-05"
"0.08","1156","16.93","1173","0.0001018"
"0.085","1184","16.16","1200","0.000106"
"0.09","1210","15.47","1225","0.0001101"
"0.095","1235","14.84","1250","0.0001142"
"0.1","1259","14.27","1273","0.0001181"
"0.125","1366","11.99","1378","0.000137"
"0.15","1455","10.38","1466","0.0001546"
"0.175","1531","9.183","1540","0.0001712"
"0.2","1595","8.249","1604","0.0001871"
"0.225","1650","7.5","1658","0.0002024"
"0.25","1698","6.885","1704","0.0002173"
"0.275","1738","6.37","1744","0.0002318"
"0.3","1772","5.931","1778","0.000246"
"0.35","1825","5.224","1831","0.0002737"
"0.4","1862","4.677","1867","0.0003007"
"0.45","1886","4.241","1891","0.0003273"
"0.5","1900","3.884","1904","0.0003536"
"0.55","1906","3.585","1910","0.0003798"
"0.6","1906","3.333","1910","0.000406"
"0.65","1901","3.115","1904","0.0004322"
"0.7","1892","2.926","1895","0.0004585"
"0.75","1880","2.76","1883","0.000485"
"0.8","1866","2.613","1869","0.0005117"
"0.85","1850","2.482","1853","0.0005385"
"0.9","1833","2.364","1835","0.0005656"
"0.95","1814","2.258","1816","0.000593"
"1","1795","2.161","1797","0.0006207"
"1.25","1684","1.785","1686","0.0007642"
"1.5","1571","1.526","1573","0.0009177"
"1.75","1466","1.335","1468","0.001082"
"2","1372","1.189","1373","0.001259"
"2.25","1288","1.073","1289","0.001447"
"2.5","1213","0.9793","1214","0.001647"
"2.75","1145","0.9011","1146","0.001859"
"3","1085","0.835","1086","0.002083"
"3.5","981.9","0.7294","982.6","0.002567"
"4","898.2","0.6486","898.9","0.0031"
"4.5","829.6","0.5846","830.2","0.003679"
"5","772","0.5327","772.6","0.004304"
"5.5","722.9","0.4896","723.4","0.004973"
"6","680.4","0.4532","680.9","0.005686"
"6.5","643.1","0.4221","643.5","0.006442"
"7","610.2","0.3952","610.6","0.00724"
"7.5","580.8","0.3716","581.2","0.00808"
"8","554.4","0.3509","554.8","0.00896"
"8.5","530.6","0.3324","530.9","0.009882"
"9","509","0.3158","509.3","0.01084"
"9.5","489.2","0.3009","489.5","0.01185"
"10","471.2","0.2874","471.5","0.01289"
