"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","94.62","51","145.6","7.878E-06"
"0.0015","114.1","51.44","165.6","1.109E-05"
"0.002","130.3","50.91","181.3","1.397E-05"
"0.0025","144.5","49.97","194.5","1.663E-05"
"0.003","157.2","48.88","206.1","1.913E-05"
"0.004","179.6","46.58","226.1","2.375E-05"
"0.005","199.1","44.36","243.4","2.801E-05"
"0.006","216.6","42.31","258.9","3.199E-05"
"0.007","232.5","40.43","273","3.575E-05"
"0.008","247.3","38.73","286.1","3.933E-05"
"0.009","261.1","37.18","298.3","4.275E-05"
"0.01","274.2","35.76","309.9","4.604E-05"
"0.0125","303.9","32.71","336.6","5.377E-05"
"0.015","330.5","30.21","360.8","6.094E-05"
"0.0175","354.9","28.12","383","6.766E-05"
"0.02","377.4","26.35","403.7","7.402E-05"
"0.0225","398.4","24.81","423.2","8.007E-05"
"0.025","418.2","23.48","441.6","8.585E-05"
"0.0275","436.9","22.3","459.2","9.14E-05"
"0.03","454.6","21.25","475.9","9.674E-05"
"0.035","487.9","19.47","507.4","0.0001069"
"0.04","518.6","18","536.6","0.0001165"
"0.045","547.1","16.77","563.9","0.0001256"
"0.05","573.9","15.71","589.6","0.0001342"
"0.055","599.2","14.8","614","0.0001426"
"0.06","623.2","14","637.2","0.0001505"
"0.065","646","13.3","659.3","0.0001583"
"0.07","667.8","12.67","680.4","0.0001657"
"0.075","688.6","12.1","700.7","0.000173"
"0.08","708.6","11.6","720.2","0.00018"
"0.085","727.8","11.13","738.9","0.0001869"
"0.09","746.3","10.71","757","0.0001935"
"0.095","764.1","10.32","774.5","0.0002001"
"0.1","781.4","9.964","791.3","0.0002065"
"0.125","859.6","8.526","868.1","0.0002366"
"0.15","926.9","7.417","934.3","0.0002643"
"0.175","985.5","6.633","992.2","0.0002903"
"0.2","1037","6.013","1043","0.0003148"
"0.225","1082","5.509","1088","0.0003383"
"0.25","1122","5.09","1127","0.0003609"
"0.275","1157","4.735","1162","0.0003827"
"0.3","1188","4.431","1192","0.0004039"
"0.35","1238","3.936","1242","0.000445"
"0.4","1275","3.549","1278","0.0004846"
"0.45","1301","3.236","1304","0.0005233"
"0.5","1319","2.978","1322","0.0005614"
"0.55","1329","2.762","1332","0.0005991"
"0.6","1333","2.577","1335","0.0006366"
"0.65","1332","2.417","1334","0.000674"
"0.7","1327","2.278","1329","0.0007115"
"0.75","1319","2.155","1321","0.0007493"
"0.8","1308","2.045","1310","0.0007873"
"0.85","1296","1.947","1298","0.0008256"
"0.9","1282","1.859","1283","0.0008644"
"0.95","1267","1.779","1268","0.0009035"
"1","1251","1.706","1252","0.0009432"
"1.25","1167","1.421","1169","0.00115"
"1.5","1088","1.222","1089","0.001371"
"1.75","1017","1.075","1018","0.001609"
"2","955.3","0.9614","956.2","0.001863"
"2.25","901.5","0.871","902.3","0.002132"
"2.5","854.3","0.7971","855.1","0.002417"
"2.75","812.7","0.7354","813.4","0.002716"
"3","775.6","0.6832","776.3","0.003031"
"3.5","712.3","0.5994","712.9","0.003704"
"4","660","0.5349","660.6","0.004433"
"4.5","615.9","0.4837","616.4","0.005217"
"5","578","0.4419","578.5","0.006055"
"5.5","545.1","0.4071","545.5","0.006946"
"6","516.1","0.3778","516.5","0.007888"
"6.5","490.4","0.3525","490.8","0.008882"
"7","467.4","0.3307","467.8","0.009925"
"7.5","446.7","0.3115","447","0.01102"
"8","428","0.2946","428.2","0.01216"
"8.5","410.9","0.2795","411.1","0.01335"
"9","395.2","0.2659","395.5","0.01459"
"9.5","380.8","0.2537","381.1","0.01588"
"10","367.5","0.2426","367.8","0.01722"
