"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","45.3","9.449","54.75","3.161E-05"
"0.0015","54.44","10.17","64.61","3.999E-05"
"0.002","62.02","10.58","72.6","4.728E-05"
"0.0025","68.62","10.83","79.45","5.385E-05"
"0.003","74.54","10.98","85.51","5.991E-05"
"0.004","84.92","11.11","96.02","7.093E-05"
"0.005","93.95","11.1","105.1","8.087E-05"
"0.006","102","11.03","113.1","9.004E-05"
"0.007","109.4","10.92","120.3","9.86E-05"
"0.008","116.2","10.79","127","0.0001067"
"0.009","122.6","10.64","133.3","0.0001144"
"0.01","128.6","10.49","139.1","0.0001217"
"0.0125","142.3","10.1","152.4","0.0001389"
"0.015","154.5","9.718","164.2","0.0001547"
"0.0175","165.7","9.358","175","0.0001694"
"0.02","176","9.022","185","0.0001833"
"0.0225","185.6","8.709","194.3","0.0001965"
"0.025","194.6","8.419","203","0.000209"
"0.0275","203.2","8.15","211.3","0.0002211"
"0.03","211.3","7.899","219.2","0.0002327"
"0.035","226.5","7.448","233.9","0.0002548"
"0.04","240.5","7.052","247.5","0.0002756"
"0.045","253.5","6.703","260.2","0.0002953"
"0.05","265.7","6.392","272.1","0.000314"
"0.055","277.2","6.113","283.4","0.000332"
"0.06","288.2","5.862","294","0.0003494"
"0.065","298.6","5.634","304.2","0.0003661"
"0.07","308.5","5.426","313.9","0.0003823"
"0.075","318","5.235","323.2","0.0003979"
"0.08","327.1","5.059","332.2","0.0004132"
"0.085","335.9","4.897","340.8","0.0004281"
"0.09","344.4","4.746","349.1","0.0004426"
"0.095","352.5","4.606","357.1","0.0004567"
"0.1","360.4","4.475","364.9","0.0004706"
"0.125","396.3","3.933","400.2","0.0005359"
"0.15","427.4","3.522","430.9","0.000596"
"0.175","454.6","3.199","457.8","0.0006523"
"0.2","478.7","2.938","481.6","0.0007055"
"0.225","500","2.72","502.7","0.0007563"
"0.25","519","2.537","521.5","0.0008051"
"0.275","535.9","2.379","538.2","0.0008523"
"0.3","550.8","2.243","553.1","0.0008981"
"0.35","575.7","2.016","577.8","0.0009864"
"0.4","594.9","1.836","596.7","0.001072"
"0.45","609.2","1.673","610.9","0.001154"
"0.5","619.5","1.551","621","0.001235"
"0.55","626.3","1.447","627.8","0.001315"
"0.6","630.3","1.358","631.6","0.001395"
"0.65","631.9","1.28","633.2","0.001474"
"0.7","631.5","1.211","632.7","0.001553"
"0.75","629.6","1.15","630.7","0.001632"
"0.8","626.4","1.096","627.5","0.001711"
"0.85","622.1","1.047","623.2","0.001791"
"0.9","617.1","1.002","618.1","0.001872"
"0.95","611.5","0.9615","612.5","0.001953"
"1","605.5","0.9245","606.4","0.002035"
"1.25","572.2","0.778","573","0.002459"
"1.5","539.2","0.6745","539.9","0.002909"
"1.75","509.3","0.5971","509.9","0.003385"
"2","482.9","0.5369","483.4","0.003889"
"2.25","459.7","0.4885","460.2","0.00442"
"2.5","439.1","0.4487","439.6","0.004976"
"2.75","420.9","0.4154","421.3","0.005557"
"3","404.4","0.387","404.8","0.006162"
"3.5","376","0.3412","376.3","0.007444"
"4","352.1","0.3057","352.4","0.008818"
"4.5","331.6","0.2774","331.8","0.01028"
"5","313.7","0.2542","314","0.01183"
"5.5","297.9","0.2348","298.2","0.01347"
"6","283.9","0.2184","284.1","0.01518"
"6.5","271.3","0.2042","271.5","0.01699"
"7","259.9","0.1919","260.1","0.01887"
"7.5","249.6","0.1811","249.8","0.02083"
"8","240.1","0.1715","240.3","0.02287"
"8.5","231.4","0.163","231.6","0.02499"
"9","223.4","0.1553","223.6","0.02719"
"9.5","216","0.1483","216.1","0.02946"
"10","209.1","0.142","209.2","0.03182"
