"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","44.14","30.63","74.78","1.776E-05"
"0.0015","53.95","31.51","85.46","2.4E-05"
"0.002","62.2","31.66","93.86","2.957E-05"
"0.0025","69.46","31.48","100.9","3.47E-05"
"0.003","76.01","31.13","107.1","3.951E-05"
"0.004","87.64","30.19","117.8","4.84E-05"
"0.005","97.86","29.16","127","5.656E-05"
"0.006","107.1","28.13","135.2","6.419E-05"
"0.007","115.6","27.15","142.7","7.138E-05"
"0.008","123.5","26.23","149.7","7.822E-05"
"0.009","130.9","25.36","156.2","8.476E-05"
"0.01","137.9","24.55","162.4","9.103E-05"
"0.0125","153.9","22.76","176.7","0.0001058"
"0.015","168.5","21.24","189.7","0.0001194"
"0.0175","181.8","19.94","201.7","0.0001322"
"0.02","194.2","18.82","213","0.0001443"
"0.0225","205.8","17.83","223.6","0.0001557"
"0.025","216.7","16.96","233.7","0.0001666"
"0.0275","227.2","16.18","243.3","0.0001771"
"0.03","237.1","15.48","252.6","0.0001872"
"0.035","255.8","14.28","270.1","0.0002063"
"0.04","273.1","13.28","286.4","0.0002243"
"0.045","289.3","12.42","301.8","0.0002413"
"0.05","304.6","11.69","316.3","0.0002575"
"0.055","319.1","11.05","330.2","0.000273"
"0.06","332.9","10.49","343.4","0.0002878"
"0.065","346.2","9.987","356.1","0.0003021"
"0.07","358.8","9.538","368.3","0.0003159"
"0.075","371","9.133","380.1","0.0003293"
"0.08","382.7","8.767","391.5","0.0003422"
"0.085","394","8.432","402.4","0.0003548"
"0.09","404.9","8.125","413.1","0.0003671"
"0.095","415.5","7.843","423.4","0.000379"
"0.1","425.8","7.583","433.4","0.0003907"
"0.125","472.9","6.528","479.5","0.0004455"
"0.15","514.4","5.757","520.1","0.0004955"
"0.175","551.3","5.166","556.4","0.0005419"
"0.2","584.4","4.653","589","0.0005856"
"0.225","614.3","4.274","618.5","0.000627"
"0.25","641.3","3.958","645.3","0.0006665"
"0.275","665.8","3.69","669.5","0.0007045"
"0.3","688","3.459","691.5","0.0007413"
"0.35","726.4","3.081","729.5","0.0008116"
"0.4","757.6","2.784","760.4","0.0008787"
"0.45","782.8","2.543","785.4","0.0009434"
"0.5","802.8","2.345","805.2","0.001006"
"0.55","818.3","2.177","820.5","0.001068"
"0.6","829.9","2.034","832","0.001128"
"0.65","838.2","1.91","840.1","0.001188"
"0.7","843.7","1.801","845.5","0.001247"
"0.75","846.8","1.706","848.5","0.001306"
"0.8","847.8","1.62","849.4","0.001365"
"0.85","847.1","1.544","848.7","0.001424"
"0.9","845","1.475","846.5","0.001483"
"0.95","841.8","1.412","843.2","0.001542"
"1","837.5","1.355","838.9","0.001602"
"1.25","807.3","1.131","808.4","0.001905"
"1.5","770.8","0.9746","771.8","0.002221"
"1.75","734.3","0.8586","735.1","0.002553"
"2","699.8","0.7689","700.6","0.002902"
"2.25","668.1","0.6973","668.8","0.003267"
"2.5","639.1","0.6386","639.8","0.003649"
"2.75","612.7","0.5897","613.3","0.004048"
"3","588.5","0.5482","589.1","0.004465"
"3.5","545.9","0.4815","546.4","0.005347"
"4","509.6","0.4301","510.1","0.006294"
"4.5","478.3","0.3892","478.7","0.007307"
"5","450.9","0.3559","451.3","0.008383"
"5.5","426.8","0.3281","427.1","0.009522"
"6","405.3","0.3046","405.6","0.01072"
"6.5","386","0.2844","386.3","0.01199"
"7","368.7","0.2669","369","0.01331"
"7.5","353","0.2515","353.2","0.0147"
"8","338.6","0.2379","338.9","0.01614"
"8.5","325.5","0.2258","325.8","0.01765"
"9","313.5","0.2149","313.7","0.01921"
"9.5","302.4","0.2051","302.6","0.02084"
"10","292.1","0.1962","292.3","0.02252"
