"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","76.09","35.7","111.8","1.107E-05"
"0.0015","90.91","36.44","127.4","1.525E-05"
"0.002","103.1","36.4","139.5","1.9E-05"
"0.0025","113.7","36.01","149.8","2.245E-05"
"0.003","123.2","35.45","158.7","2.569E-05"
"0.004","139.8","34.14","173.9","3.17E-05"
"0.005","154.2","32.79","187","3.724E-05"
"0.006","167","31.49","198.5","4.243E-05"
"0.007","178.7","30.27","209","4.734E-05"
"0.008","189.5","29.14","218.6","5.201E-05"
"0.009","199.5","28.1","227.6","5.65E-05"
"0.01","208.9","27.13","236.1","6.081E-05"
"0.0125","230.4","25.01","255.4","7.098E-05"
"0.015","249.6","23.25","272.8","8.045E-05"
"0.0175","267","21.75","288.7","8.935E-05"
"0.02","283","20.46","303.5","9.779E-05"
"0.0225","298","19.34","317.3","0.0001058"
"0.025","312.1","18.35","330.4","0.0001136"
"0.0275","325.3","17.48","342.8","0.000121"
"0.03","337.9","16.7","354.6","0.0001282"
"0.035","361.4","15.35","376.7","0.0001418"
"0.04","383","14.24","397.2","0.0001548"
"0.045","403.1","13.3","416.4","0.000167"
"0.05","421.9","12.5","434.4","0.0001788"
"0.055","439.7","11.79","451.5","0.0001901"
"0.06","456.5","11.18","467.6","0.000201"
"0.065","472.5","10.63","483.1","0.0002115"
"0.07","487.7","10.14","497.9","0.0002217"
"0.075","502.3","9.705","512","0.0002316"
"0.08","516.3","9.307","525.7","0.0002412"
"0.085","529.8","8.945","538.8","0.0002506"
"0.09","542.8","8.614","551.4","0.0002598"
"0.095","555.4","8.309","563.7","0.0002687"
"0.1","567.5","8.028","575.5","0.0002775"
"0.125","622.7","6.894","629.6","0.000319"
"0.15","670.7","6.069","676.8","0.0003573"
"0.175","713.1","5.388","718.5","0.0003931"
"0.2","750.9","4.893","755.8","0.000427"
"0.225","784.8","4.489","789.3","0.0004594"
"0.25","815.3","4.153","819.4","0.0004904"
"0.275","842.8","3.868","846.7","0.0005204"
"0.3","867.7","3.624","871.3","0.0005495"
"0.35","910.5","3.224","913.7","0.0006055"
"0.4","945.3","2.91","948.2","0.0006592"
"0.45","973.2","2.657","975.8","0.0007112"
"0.5","995.2","2.448","997.7","0.0007618"
"0.55","1012","2.271","1014","0.0008115"
"0.6","1025","2.121","1027","0.0008605"
"0.65","1033","1.991","1035","0.0009089"
"0.7","1039","1.877","1040","0.0009571"
"0.75","1041","1.776","1043","0.001005"
"0.8","1041","1.687","1043","0.001053"
"0.85","1039","1.607","1040","0.001101"
"0.9","1035","1.535","1036","0.001149"
"0.95","1029","1.469","1031","0.001198"
"1","1022","1.409","1024","0.001246"
"1.25","975.2","1.175","976.3","0.001496"
"1.5","919.1","1.012","920.1","0.00176"
"1.75","863","0.8909","863.9","0.00204"
"2","810.8","0.7974","811.6","0.002339"
"2.25","763.8","0.7228","764.5","0.002656"
"2.5","722","0.6618","722.6","0.002993"
"2.75","684.8","0.6109","685.4","0.003348"
"3","651.9","0.5678","652.4","0.003722"
"3.5","596.2","0.4984","596.7","0.004524"
"4","551","0.4451","551.5","0.005397"
"4.5","513.6","0.4026","514","0.006337"
"5","481.9","0.368","482.3","0.007342"
"5.5","454.7","0.3392","455","0.00841"
"6","431","0.3148","431.3","0.009539"
"6.5","410.1","0.2939","410.4","0.01073"
"7","391.4","0.2757","391.7","0.01198"
"7.5","374.7","0.2598","375","0.01328"
"8","359.6","0.2457","359.8","0.01464"
"8.5","345.8","0.2332","346.1","0.01606"
"9","333.2","0.2219","333.4","0.01753"
"9.5","321.6","0.2118","321.9","0.01906"
"10","311","0.2025","311.2","0.02064"
