"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","37.54","7.624","45.16","3.96E-05"
"0.0015","44.41","8.258","52.67","4.983E-05"
"0.002","50.04","8.637","58.68","5.88E-05"
"0.0025","54.89","8.879","63.77","6.696E-05"
"0.003","59.2","9.037","68.23","7.454E-05"
"0.004","66.7","9.201","75.9","8.841E-05"
"0.005","73.16","9.249","82.41","0.000101"
"0.006","78.9","9.232","88.13","0.0001128"
"0.007","84.11","9.176","93.28","0.0001238"
"0.008","88.89","9.097","97.99","0.0001342"
"0.009","93.34","9.003","102.3","0.0001442"
"0.01","97.5","8.9","106.4","0.0001538"
"0.0125","106.9","8.624","115.6","0.0001763"
"0.015","115.3","8.343","123.7","0.0001972"
"0.0175","122.9","8.071","131","0.0002168"
"0.02","129.9","7.812","137.7","0.0002354"
"0.0225","136.4","7.567","144","0.0002532"
"0.025","142.5","7.337","149.8","0.0002702"
"0.0275","148.2","7.122","155.3","0.0002866"
"0.03","153.6","6.92","160.5","0.0003024"
"0.035","163.7","6.553","170.3","0.0003326"
"0.04","173","6.227","179.2","0.0003613"
"0.045","181.6","5.937","187.5","0.0003885"
"0.05","189.6","5.677","195.3","0.0004146"
"0.055","197.2","5.443","202.6","0.0004398"
"0.06","204.3","5.23","209.6","0.000464"
"0.065","211.1","5.036","216.2","0.0004875"
"0.07","217.6","4.858","222.5","0.0005103"
"0.075","223.8","4.694","228.5","0.0005325"
"0.08","229.8","4.543","234.3","0.0005541"
"0.085","235.5","4.403","239.9","0.0005752"
"0.09","241","4.273","245.3","0.0005958"
"0.095","246.3","4.151","250.5","0.000616"
"0.1","251.5","4.038","255.5","0.0006357"
"0.125","274.9","3.563","278.5","0.0007294"
"0.15","295.4","3.202","298.6","0.000816"
"0.175","313.5","2.916","316.4","0.0008973"
"0.2","329.8","2.683","332.4","0.0009743"
"0.225","344.5","2.489","347","0.001048"
"0.25","357.8","2.324","360.2","0.001119"
"0.275","370","2.183","372.2","0.001187"
"0.3","381.2","2.06","383.2","0.001253"
"0.35","400.7","1.855","402.6","0.00138"
"0.4","417.1","1.692","418.8","0.001502"
"0.45","430.8","1.558","432.4","0.001619"
"0.5","442.2","1.432","443.6","0.001733"
"0.55","451.5","1.338","452.8","0.001845"
"0.6","459","1.257","460.2","0.001954"
"0.65","464.8","1.185","466","0.002062"
"0.7","469.2","1.123","470.4","0.002169"
"0.75","472.4","1.067","473.5","0.002275"
"0.8","474.5","1.017","475.5","0.00238"
"0.85","475.5","0.9719","476.5","0.002485"
"0.9","475.7","0.9311","476.7","0.00259"
"0.95","475.2","0.8939","476.1","0.002695"
"1","474","0.8598","474.9","0.0028"
"1.25","461.1","0.7248","461.9","0.003334"
"1.5","442.2","0.6292","442.8","0.003886"
"1.75","421.6","0.5576","422.1","0.004464"
"2","401.5","0.5017","402","0.005071"
"2.25","382.9","0.4568","383.4","0.005708"
"2.5","366.1","0.4199","366.5","0.006375"
"2.75","350.9","0.3889","351.3","0.007072"
"3","337.4","0.3625","337.7","0.007798"
"3.5","314.2","0.3198","314.5","0.009334"
"4","295.1","0.2868","295.3","0.01098"
"4.5","279","0.2603","279.3","0.01272"
"5","265.2","0.2387","265.5","0.01456"
"5.5","253.2","0.2206","253.4","0.01648"
"6","242.6","0.2052","242.8","0.0185"
"6.5","233.1","0.1919","233.3","0.0206"
"7","224.5","0.1804","224.7","0.02279"
"7.5","216.7","0.1703","216.9","0.02505"
"8","209.6","0.1613","209.7","0.0274"
"8.5","203","0.1533","203.1","0.02982"
"9","196.9","0.1461","197","0.03232"
"9.5","191.2","0.1396","191.3","0.0349"
"10","185.9","0.1337","186","0.03755"
