"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","42.99","7.329","50.32","3.619E-05"
"0.0015","50.12","7.95","58.07","4.541E-05"
"0.002","55.88","8.326","64.2","5.358E-05"
"0.0025","60.8","8.567","69.37","6.107E-05"
"0.003","65.14","8.727","73.87","6.804E-05"
"0.004","72.63","8.898","81.53","8.091E-05"
"0.005","79.02","8.956","87.98","9.27E-05"
"0.006","84.66","8.948","93.61","0.0001037"
"0.007","89.75","8.903","98.65","0.0001141"
"0.008","94.39","8.833","103.2","0.000124"
"0.009","98.69","8.749","107.4","0.0001335"
"0.01","102.7","8.654","111.4","0.0001426"
"0.0125","111.7","8.398","120.1","0.0001642"
"0.015","119.7","8.135","127.8","0.0001844"
"0.0175","126.9","7.878","134.8","0.0002034"
"0.02","133.4","7.631","141.1","0.0002216"
"0.0225","139.5","7.399","146.9","0.0002389"
"0.025","145.2","7.179","152.4","0.0002556"
"0.0275","150.5","6.973","157.5","0.0002718"
"0.03","155.5","6.779","162.3","0.0002874"
"0.035","164.8","6.426","171.2","0.0003174"
"0.04","173.3","6.112","179.4","0.0003459"
"0.045","181.1","5.831","187","0.0003732"
"0.05","188.4","5.58","194","0.0003994"
"0.055","195.3","5.352","200.6","0.0004248"
"0.06","201.7","5.145","206.9","0.0004493"
"0.065","207.9","4.957","212.8","0.0004731"
"0.07","213.7","4.784","218.5","0.0004963"
"0.075","219.2","4.624","223.9","0.0005189"
"0.08","224.6","4.477","229","0.000541"
"0.085","229.7","4.34","234","0.0005626"
"0.09","234.6","4.213","238.8","0.0005838"
"0.095","239.3","4.094","243.4","0.0006045"
"0.1","243.9","3.983","247.8","0.0006249"
"0.125","264.6","3.519","268.1","0.0007217"
"0.15","282.6","3.164","285.7","0.000812"
"0.175","298.5","2.884","301.4","0.0008971"
"0.2","312.7","2.655","315.4","0.0009782"
"0.225","325.6","2.464","328","0.001056"
"0.25","337.3","2.302","339.6","0.001131"
"0.275","347.9","2.162","350.1","0.001203"
"0.3","357.7","2.041","359.8","0.001274"
"0.35","375","1.839","376.8","0.001409"
"0.4","389.6","1.678","391.2","0.00154"
"0.45","401.9","1.545","403.5","0.001665"
"0.5","412.4","1.421","413.8","0.001788"
"0.55","421.1","1.328","422.4","0.001907"
"0.6","428.3","1.247","429.6","0.002025"
"0.65","434.2","1.177","435.4","0.00214"
"0.7","439","1.115","440.1","0.002254"
"0.75","442.6","1.06","443.7","0.002367"
"0.8","445.3","1.01","446.3","0.00248"
"0.85","447.2","0.9656","448.1","0.002592"
"0.9","448.2","0.9251","449.2","0.002703"
"0.95","448.6","0.8882","449.5","0.002814"
"1","448.4","0.8545","449.3","0.002926"
"1.25","440.6","0.7206","441.4","0.003486"
"1.5","425.9","0.6258","426.5","0.004062"
"1.75","408.3","0.5547","408.9","0.00466"
"2","390.2","0.4992","390.7","0.005285"
"2.25","372.7","0.4546","373.1","0.00594"
"2.5","356.4","0.4179","356.8","0.006626"
"2.75","341.5","0.3871","341.9","0.007342"
"3","327.9","0.3609","328.3","0.008088"
"3.5","304.6","0.3184","304.9","0.00967"
"4","285.4","0.2856","285.7","0.01137"
"4.5","269.4","0.2593","269.6","0.01317"
"5","255.7","0.2377","256","0.01507"
"5.5","244","0.2197","244.2","0.01707"
"6","233.7","0.2044","233.9","0.01917"
"6.5","224.5","0.1912","224.7","0.02135"
"7","216.3","0.1798","216.5","0.02362"
"7.5","208.9","0.1697","209","0.02597"
"8","202.1","0.1608","202.3","0.0284"
"8.5","195.9","0.1528","196","0.03091"
"9","190.1","0.1456","190.3","0.0335"
"9.5","184.8","0.1391","184.9","0.03617"
"10","179.8","0.1333","180","0.03891"
