"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","56.35","8.464","64.82","2.774E-05"
"0.0015","65.29","9.146","74.43","3.492E-05"
"0.002","72.47","9.548","82.02","4.13E-05"
"0.0025","78.59","9.801","88.39","4.717E-05"
"0.003","83.96","9.961","93.92","5.265E-05"
"0.004","93.2","10.12","103.3","6.278E-05"
"0.005","101.1","10.15","111.2","7.21E-05"
"0.006","108","10.12","118.1","8.082E-05"
"0.007","114.2","10.04","124.2","8.907E-05"
"0.008","119.9","9.944","129.8","9.694E-05"
"0.009","125.1","9.829","134.9","0.0001045"
"0.01","130","9.707","139.7","0.0001118"
"0.0125","140.9","9.384","150.3","0.000129"
"0.015","150.5","9.061","159.6","0.0001451"
"0.0175","159.2","8.751","167.9","0.0001604"
"0.02","167.1","8.458","175.5","0.000175"
"0.0225","174.3","8.183","182.5","0.0001889"
"0.025","181.1","7.926","189","0.0002024"
"0.0275","187.5","7.686","195.2","0.0002154"
"0.03","193.5","7.461","200.9","0.000228"
"0.035","204.5","7.054","211.6","0.0002523"
"0.04","214.6","6.695","221.3","0.0002754"
"0.045","223.9","6.376","230.3","0.0002975"
"0.05","232.5","6.091","238.6","0.0003188"
"0.055","240.6","5.834","246.5","0.0003394"
"0.06","248.2","5.602","253.8","0.0003594"
"0.065","255.4","5.39","260.8","0.0003788"
"0.07","262.3","5.196","267.5","0.0003978"
"0.075","268.8","5.019","273.8","0.0004162"
"0.08","275","4.855","279.9","0.0004343"
"0.085","281","4.703","285.7","0.000452"
"0.09","286.7","4.562","291.3","0.0004693"
"0.095","292.2","4.43","296.7","0.0004863"
"0.1","297.5","4.307","301.8","0.000503"
"0.125","321.6","3.795","325.4","0.0005827"
"0.15","342.3","3.406","345.7","0.0006572"
"0.175","360.5","3.099","363.6","0.0007277"
"0.2","376.7","2.849","379.6","0.0007949"
"0.225","391.2","2.641","393.9","0.0008596"
"0.25","404.4","2.466","406.8","0.000922"
"0.275","416.3","2.315","418.6","0.0009826"
"0.3","427.1","2.183","429.3","0.001042"
"0.35","445.9","1.965","447.9","0.001156"
"0.4","461.6","1.791","463.4","0.001265"
"0.45","474.6","1.633","476.2","0.001372"
"0.5","485.3","1.515","486.8","0.001475"
"0.55","494","1.415","495.4","0.001577"
"0.6","500.9","1.328","502.2","0.001677"
"0.65","506.3","1.252","507.6","0.001776"
"0.7","510.3","1.186","511.5","0.001875"
"0.75","513.1","1.127","514.3","0.001972"
"0.8","514.9","1.074","515.9","0.002069"
"0.85","515.7","1.026","516.7","0.002166"
"0.9","515.6","0.9826","516.6","0.002263"
"0.95","514.9","0.9432","515.8","0.002359"
"1","513.5","0.9071","514.4","0.002457"
"1.25","499.5","0.7642","500.3","0.002949"
"1.5","479.2","0.6631","479.8","0.003459"
"1.75","456.8","0.5874","457.4","0.003992"
"2","434.7","0.5284","435.2","0.004552"
"2.25","414","0.481","414.5","0.005141"
"2.5","395.1","0.442","395.5","0.005759"
"2.75","378","0.4093","378.4","0.006405"
"3","362.7","0.3814","363","0.00708"
"3.5","336.4","0.3364","336.7","0.008511"
"4","314.9","0.3016","315.2","0.01005"
"4.5","296.9","0.2737","297.2","0.01168"
"5","281.7","0.2509","281.9","0.01341"
"5.5","268.5","0.2318","268.7","0.01523"
"6","256.9","0.2157","257.1","0.01713"
"6.5","246.6","0.2017","246.8","0.01912"
"7","237.4","0.1896","237.6","0.02118"
"7.5","229","0.1789","229.2","0.02333"
"8","221.4","0.1695","221.5","0.02555"
"8.5","214.4","0.1611","214.5","0.02784"
"9","207.9","0.1535","208.1","0.03021"
"9.5","201.9","0.1466","202.1","0.03265"
"10","196.3","0.1404","196.5","0.03516"
