"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","54.06","33.04","87.09","1.738E-05"
"0.0015","65.42","33.82","99.24","2.272E-05"
"0.002","74.91","33.84","108.8","2.752E-05"
"0.0025","83.2","33.54","116.7","3.195E-05"
"0.003","90.66","33.08","123.7","3.611E-05"
"0.004","103.8","31.98","135.8","4.381E-05"
"0.005","115.3","30.84","146.1","5.09E-05"
"0.006","125.6","29.74","155.4","5.754E-05"
"0.007","135.1","28.71","163.8","6.38E-05"
"0.008","143.8","27.75","171.6","6.977E-05"
"0.009","152","26.85","178.9","7.547E-05"
"0.01","159.8","26.02","185.8","8.096E-05"
"0.0125","177.4","24.19","201.6","9.386E-05"
"0.015","193.3","22.64","215.9","0.0001058"
"0.0175","207.8","21.31","229.1","0.0001171"
"0.02","221.3","20.15","241.4","0.0001277"
"0.0225","233.9","19.13","253","0.0001378"
"0.025","245.7","18.23","263.9","0.0001475"
"0.0275","256.9","17.42","274.4","0.0001568"
"0.03","267.6","16.7","284.3","0.0001657"
"0.035","287.6","15.44","303.1","0.0001827"
"0.04","306.2","14.38","320.6","0.0001988"
"0.045","323.5","13.48","337","0.000214"
"0.05","339.8","12.7","352.5","0.0002285"
"0.055","355.2","12.02","367.2","0.0002424"
"0.06","369.8","11.41","381.2","0.0002557"
"0.065","383.8","10.88","394.6","0.0002686"
"0.07","397.1","10.39","407.5","0.0002811"
"0.075","410","9.958","419.9","0.0002932"
"0.08","422.3","9.561","431.9","0.0003049"
"0.085","434.2","9.199","443.4","0.0003163"
"0.09","445.7","8.867","454.6","0.0003275"
"0.095","456.9","8.561","465.4","0.0003384"
"0.1","467.6","8.277","475.9","0.000349"
"0.125","517.1","7.128","524.3","0.000399"
"0.15","560.6","6.285","566.9","0.0004448"
"0.175","599.4","5.638","605","0.0004874"
"0.2","634.3","5.123","639.4","0.0005276"
"0.225","665.9","4.702","670.6","0.0005658"
"0.25","694.6","4.351","699","0.0006023"
"0.275","720.8","4.054","724.9","0.0006374"
"0.3","744.8","3.798","748.6","0.0006713"
"0.35","786.6","3.38","790","0.0007363"
"0.4","821.5","3.052","824.6","0.0007982"
"0.45","850.4","2.786","853.2","0.0008577"
"0.5","874.1","2.567","876.6","0.0009155"
"0.55","893.1","2.382","895.5","0.0009719"
"0.6","908.1","2.224","910.4","0.001027"
"0.65","919.6","2.088","921.7","0.001082"
"0.7","928","1.968","930","0.001136"
"0.75","933.6","1.862","935.5","0.001189"
"0.8","936.8","1.769","938.6","0.001243"
"0.85","938","1.684","939.7","0.001296"
"0.9","937.3","1.608","938.9","0.001349"
"0.95","935.1","1.54","936.6","0.001403"
"1","931.5","1.477","933","0.001456"
"1.25","899.9","1.231","901.2","0.001728"
"1.5","856.7","1.059","857.7","0.002012"
"1.75","810.9","0.9325","811.8","0.002312"
"2","766.9","0.8343","767.7","0.002629"
"2.25","727.3","0.756","728.1","0.002963"
"2.5","691.9","0.692","692.6","0.003315"
"2.75","660.2","0.6386","660.8","0.003685"
"3","631.5","0.5934","632.1","0.004072"
"3.5","581.8","0.5207","582.3","0.004897"
"4","540.1","0.4647","540.5","0.005789"
"4.5","504.6","0.4203","505","0.006747"
"5","473.9","0.384","474.3","0.007769"
"5.5","447.2","0.3538","447.6","0.008854"
"6","423.6","0.3283","423.9","0.01"
"6.5","402.6","0.3064","402.9","0.01121"
"7","383.5","0.2874","383.8","0.01249"
"7.5","366.9","0.2707","367.2","0.01382"
"8","352","0.256","352.2","0.01521"
"8.5","338.3","0.2429","338.5","0.01666"
"9","325.7","0.2311","325.9","0.01816"
"9.5","314.1","0.2205","314.3","0.01972"
"10","303.6","0.2109","303.8","0.02134"
