"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","26.9","24.46","51.36","2.762E-05"
"0.0015","33.26","25.38","58.64","3.671E-05"
"0.002","38.66","25.68","64.34","4.484E-05"
"0.0025","43.46","25.67","69.13","5.233E-05"
"0.003","47.81","25.51","73.31","5.934E-05"
"0.004","55.58","24.94","80.52","7.234E-05"
"0.005","62.47","24.24","86.71","8.429E-05"
"0.006","68.72","23.52","92.24","9.547E-05"
"0.007","74.5","22.81","97.3","0.000106"
"0.008","79.89","22.12","102","0.0001161"
"0.009","84.97","21.46","106.4","0.0001256"
"0.01","89.79","20.85","110.6","0.0001349"
"0.0125","100.9","19.45","120.4","0.0001565"
"0.015","111","18.25","129.2","0.0001765"
"0.0175","120.3","17.2","137.5","0.0001953"
"0.02","129","16.29","145.3","0.000213"
"0.0225","137.2","15.48","152.7","0.0002297"
"0.025","145","14.76","159.7","0.0002457"
"0.0275","152.3","14.12","166.5","0.0002611"
"0.03","159.4","13.54","173","0.0002758"
"0.035","172.8","12.53","185.3","0.0003037"
"0.04","185.2","11.68","196.9","0.0003299"
"0.045","196.9","10.96","207.8","0.0003546"
"0.05","207.9","10.34","218.3","0.0003781"
"0.055","218.4","9.787","228.2","0.0004005"
"0.06","228.5","9.303","237.8","0.0004219"
"0.065","238.1","8.871","247","0.0004425"
"0.07","247.4","8.484","255.9","0.0004624"
"0.075","256.3","8.133","264.4","0.0004817"
"0.08","264.9","7.815","272.7","0.0005003"
"0.085","273.2","7.524","280.8","0.0005183"
"0.09","281.3","7.257","288.6","0.0005359"
"0.095","289.1","7.011","296.2","0.000553"
"0.1","296.8","6.783","303.5","0.0005697"
"0.125","331.9","5.857","337.8","0.0006477"
"0.15","363.1","5.178","368.3","0.0007185"
"0.175","391.1","4.655","395.7","0.0007839"
"0.2","416.4","4.238","420.7","0.0008451"
"0.225","439.5","3.861","443.3","0.000903"
"0.25","460.5","3.58","464.1","0.0009581"
"0.275","479.7","3.34","483.1","0.001011"
"0.3","497.3","3.134","500.4","0.001062"
"0.35","528.1","2.796","530.9","0.001159"
"0.4","553.9","2.529","556.4","0.001251"
"0.45","575.4","2.313","577.7","0.001339"
"0.5","593.2","2.134","595.3","0.001424"
"0.55","607.7","1.983","609.7","0.001507"
"0.6","619.6","1.854","621.5","0.001588"
"0.65","629.1","1.742","630.9","0.001668"
"0.7","636.6","1.644","638.3","0.001747"
"0.75","642.4","1.557","644","0.001825"
"0.8","646.8","1.48","648.3","0.001902"
"0.85","649.9","1.41","651.3","0.001979"
"0.9","651.9","1.348","653.3","0.002056"
"0.95","653.1","1.291","654.4","0.002132"
"1","653.4","1.239","654.7","0.002208"
"1.25","647.2","1.036","648.2","0.002592"
"1.5","633.3","0.8933","634.1","0.002981"
"1.75","615.9","0.7875","616.7","0.003381"
"2","597.3","0.7057","598","0.003793"
"2.25","578.4","0.6403","579","0.004217"
"2.5","559.8","0.5867","560.4","0.004656"
"2.75","541.9","0.542","542.4","0.00511"
"3","524.6","0.504","525.1","0.005578"
"3.5","492.5","0.4429","493","0.006561"
"4","463.7","0.3959","464.1","0.007607"
"4.5","437.8","0.3584","438.1","0.008716"
"5","414.5","0.3278","414.8","0.00989"
"5.5","393.6","0.3023","393.9","0.01113"
"6","374.7","0.2807","374.9","0.01243"
"6.5","357.5","0.2622","357.8","0.01379"
"7","341.9","0.2461","342.1","0.01522"
"7.5","327.6","0.2319","327.9","0.01672"
"8","314.6","0.2194","314.8","0.01827"
"8.5","302.5","0.2083","302.7","0.01989"
"9","291.4","0.1983","291.6","0.02158"
"9.5","281.2","0.1893","281.4","0.02332"
"10","271.6","0.1811","271.8","0.02513"
