"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","38.11","7.993","46.11","3.711E-05"
"0.0015","45.4","8.647","54.05","4.703E-05"
"0.002","51.41","9.03","60.44","5.576E-05"
"0.0025","56.61","9.267","65.88","6.368E-05"
"0.003","61.25","9.415","70.66","7.1E-05"
"0.004","69.34","9.555","78.9","8.436E-05"
"0.005","76.36","9.576","85.93","9.649E-05"
"0.006","82.61","9.535","92.14","0.0001077"
"0.007","88.29","9.458","97.75","0.0001183"
"0.008","93.53","9.361","102.9","0.0001282"
"0.009","98.41","9.251","107.7","0.0001377"
"0.01","103","9.136","112.1","0.0001468"
"0.0125","113.4","8.838","122.2","0.0001681"
"0.015","122.7","8.545","131.2","0.0001879"
"0.0175","131.1","8.266","139.4","0.0002063"
"0.02","138.9","8.004","146.9","0.0002238"
"0.0225","146.1","7.759","153.9","0.0002404"
"0.025","152.9","7.53","160.4","0.0002563"
"0.0275","159.3","7.316","166.6","0.0002716"
"0.03","165.4","7.116","172.5","0.0002864"
"0.035","176.7","6.753","183.4","0.0003145"
"0.04","187.1","6.431","193.5","0.000341"
"0.045","196.8","6.144","202.9","0.0003662"
"0.05","205.9","5.886","211.8","0.0003903"
"0.055","214.4","5.653","220.1","0.0004135"
"0.06","222.5","5.441","228","0.0004358"
"0.065","230.3","5.247","235.5","0.0004574"
"0.07","237.6","5.068","242.7","0.0004783"
"0.075","244.7","4.904","249.6","0.0004986"
"0.08","251.5","4.752","256.2","0.0005184"
"0.085","258","4.61","262.6","0.0005376"
"0.09","264.3","4.478","268.7","0.0005565"
"0.095","270.3","4.354","274.7","0.0005749"
"0.1","276.2","4.239","280.5","0.0005929"
"0.125","303.1","3.753","306.8","0.000678"
"0.15","326.6","3.379","329.9","0.0007565"
"0.175","347.4","3.082","350.5","0.0008299"
"0.2","366.1","2.839","369","0.0008994"
"0.225","383.1","2.636","385.7","0.0009657"
"0.25","398.5","2.463","401","0.001029"
"0.275","412.5","2.314","414.9","0.00109"
"0.3","425.4","2.183","427.6","0.00115"
"0.35","447.8","1.967","449.8","0.001264"
"0.4","466.5","1.794","468.3","0.001373"
"0.45","482.1","1.651","483.7","0.001478"
"0.5","494.8","1.532","496.3","0.00158"
"0.55","505.1","1.43","506.5","0.001679"
"0.6","513.2","1.343","514.6","0.001777"
"0.65","519.4","1.266","520.7","0.001874"
"0.7","523.9","1.198","525.1","0.001969"
"0.75","526.9","1.138","528","0.002064"
"0.8","528.6","1.085","529.7","0.002159"
"0.85","529.1","1.036","530.1","0.002253"
"0.9","528.6","0.9925","529.6","0.002348"
"0.95","527.3","0.9525","528.2","0.002442"
"1","525.2","0.916","526.1","0.002537"
"1.25","505.6","0.7712","506.4","0.00302"
"1.5","481","0.6687","481.7","0.003526"
"1.75","456.8","0.592","457.4","0.004059"
"2","434.6","0.5323","435.1","0.00462"
"2.25","414.6","0.4843","415.1","0.005208"
"2.5","396.6","0.4448","397.1","0.005824"
"2.75","380.5","0.4117","381","0.006467"
"3","366","0.3836","366.4","0.007136"
"3.5","340.9","0.3381","341.2","0.008552"
"4","319.7","0.3029","320","0.01007"
"4.5","301.6","0.2748","301.8","0.01168"
"5","285.8","0.2517","286.1","0.01338"
"5.5","272","0.2325","272.2","0.01517"
"6","259.8","0.2162","260","0.01705"
"6.5","248.8","0.2021","249","0.01902"
"7","239","0.1899","239.2","0.02107"
"7.5","230.1","0.1792","230.3","0.0232"
"8","222","0.1697","222.2","0.02541"
"8.5","214.6","0.1612","214.7","0.0277"
"9","207.7","0.1536","207.9","0.03006"
"9.5","201.4","0.1467","201.5","0.03251"
"10","195.6","0.1404","195.7","0.03503"
