"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","47.66","23.14","70.79","2.217E-05"
"0.0015","57.57","24.01","81.58","2.869E-05"
"0.002","65.83","24.28","90.11","3.451E-05"
"0.0025","73.05","24.26","97.31","3.985E-05"
"0.003","79.53","24.1","103.6","4.482E-05"
"0.004","90.94","23.57","114.5","5.398E-05"
"0.005","100.9","22.93","123.8","6.237E-05"
"0.006","109.9","22.28","132.1","7.018E-05"
"0.007","118","21.63","139.7","7.754E-05"
"0.008","125.6","21.02","146.6","8.453E-05"
"0.009","132.7","20.44","153.1","9.12E-05"
"0.01","139.4","19.89","159.2","9.76E-05"
"0.0125","154.6","18.66","173.3","0.0001126"
"0.015","168.3","17.59","185.9","0.0001266"
"0.0175","180.8","16.65","197.4","0.0001396"
"0.02","192.3","15.83","208.2","0.0001519"
"0.0225","203.1","15.1","218.2","0.0001637"
"0.025","213.3","14.44","227.7","0.0001749"
"0.0275","222.9","13.85","236.7","0.0001856"
"0.03","232","13.32","245.3","0.000196"
"0.035","249.1","12.38","261.5","0.0002157"
"0.04","264.8","11.59","276.4","0.0002343"
"0.045","279.5","10.91","290.4","0.000252"
"0.05","293.2","10.31","303.5","0.0002688"
"0.055","306.1","9.786","315.9","0.0002849"
"0.06","318.4","9.319","327.7","0.0003005"
"0.065","330","8.902","338.9","0.0003155"
"0.07","341.1","8.525","349.6","0.00033"
"0.075","351.7","8.183","359.8","0.0003441"
"0.08","361.8","7.871","369.7","0.0003578"
"0.085","371.5","7.586","379.1","0.0003712"
"0.09","380.8","7.323","388.1","0.0003842"
"0.095","389.8","7.08","396.9","0.0003969"
"0.1","398.4","6.855","405.3","0.0004094"
"0.125","437.2","5.934","443.1","0.0004683"
"0.15","469.9","5.254","475.1","0.0005227"
"0.175","497.8","4.727","502.5","0.0005739"
"0.2","521.7","4.306","526","0.0006224"
"0.225","542.3","3.961","546.3","0.0006691"
"0.25","560.1","3.672","563.8","0.0007141"
"0.275","575.5","3.427","579","0.0007578"
"0.3","588.9","3.215","592.1","0.0008005"
"0.35","610.8","2.867","613.6","0.0008834"
"0.4","627.4","2.594","630","0.0009638"
"0.45","640.1","2.372","642.5","0.001042"
"0.5","649.9","2.188","652.1","0.00112"
"0.55","657.3","2.033","659.3","0.001196"
"0.6","662.8","1.9","664.7","0.001271"
"0.65","666.8","1.785","668.6","0.001346"
"0.7","669.6","1.684","671.3","0.001421"
"0.75","671.4","1.595","673","0.001495"
"0.8","672.3","1.515","673.8","0.00157"
"0.85","672.4","1.444","673.8","0.001644"
"0.9","671.9","1.379","673.3","0.001718"
"0.95","670.9","1.321","672.2","0.001792"
"1","669.4","1.268","670.7","0.001867"
"1.25","656.9","1.059","658","0.002243"
"1.5","639.5","0.9125","640.4","0.002628"
"1.75","619.8","0.804","620.6","0.003024"
"2","599.4","0.7201","600.1","0.003434"
"2.25","578.4","0.653","579.1","0.003858"
"2.5","557.6","0.5981","558.2","0.004298"
"2.75","537.5","0.5523","538.1","0.004754"
"3","518.5","0.5134","519","0.005227"
"3.5","483.6","0.4509","484","0.006225"
"4","452.9","0.4028","453.3","0.007293"
"4.5","425.8","0.3644","426.1","0.008431"
"5","401.8","0.3332","402.2","0.00964"
"5.5","380.5","0.3071","380.8","0.01092"
"6","361.5","0.2851","361.8","0.01227"
"6.5","344.3","0.2662","344.5","0.01368"
"7","328.6","0.2498","328.8","0.01517"
"7.5","315.1","0.2354","315.4","0.01672"
"8","303.1","0.2226","303.3","0.01834"
"8.5","292.1","0.2113","292.3","0.02002"
"9","282","0.2011","282.2","0.02176"
"9.5","272.6","0.1919","272.8","0.02356"
"10","263.8","0.1835","264","0.02543"
