"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","212","1052","1264","7.48E-07"
"0.0015","275.4","926.2","1202","1.154E-06"
"0.002","331.7","831.2","1163","1.577E-06"
"0.0025","383","756.8","1140","2.012E-06"
"0.003","430.9","696.5","1127","2.453E-06"
"0.004","518.8","604.4","1123","3.344E-06"
"0.005","599.2","536.7","1136","4.23E-06"
"0.006","674","484.3","1158","5.102E-06"
"0.007","744.5","442.5","1187","5.955E-06"
"0.008","811.5","408.2","1220","6.786E-06"
"0.009","875.6","379.4","1255","7.595E-06"
"0.01","937.1","354.9","1292","8.38E-06"
"0.0125","1082","306.8","1389","1.025E-05"
"0.015","1217","271.3","1488","1.198E-05"
"0.0175","1344","243.9","1588","1.361E-05"
"0.02","1465","222","1687","1.514E-05"
"0.0225","1580","204.1","1784","1.658E-05"
"0.025","1691","189.1","1880","1.794E-05"
"0.0275","1798","176.4","1974","1.924E-05"
"0.03","1901","165.4","2066","2.048E-05"
"0.035","2098","147.5","2246","2.28E-05"
"0.04","2285","133.3","2418","2.494E-05"
"0.045","2463","121.9","2585","2.694E-05"
"0.05","2634","112.4","2746","2.882E-05"
"0.055","2798","104.4","2902","3.059E-05"
"0.06","2956","97.52","3053","3.227E-05"
"0.065","3108","91.59","3200","3.387E-05"
"0.07","3256","86.39","3342","3.54E-05"
"0.075","3399","81.8","3481","3.686E-05"
"0.08","3538","77.71","3616","3.827E-05"
"0.085","3674","74.05","3748","3.963E-05"
"0.09","3805","70.74","3876","4.094E-05"
"0.095","3933","67.73","4001","4.221E-05"
"0.1","4058","65","4123","4.344E-05"
"0.125","4637","54.25","4691","4.911E-05"
"0.15","5152","46.74","5198","5.417E-05"
"0.175","5610","41.17","5652","5.878E-05"
"0.2","6019","36.86","6056","6.305E-05"
"0.225","6383","33.42","6416","6.706E-05"
"0.25","6705","30.61","6735","7.086E-05"
"0.275","6988","28.26","7016","7.449E-05"
"0.3","7235","26.26","7261","7.799E-05"
"0.35","7632","23.06","7655","8.469E-05"
"0.4","7915","20.59","7935","9.11E-05"
"0.45","8100","18.63","8118","9.732E-05"
"0.5","8203","17.03","8220","0.0001034"
"0.55","8240","15.7","8255","0.0001095"
"0.6","8222","14.57","8237","0.0001156"
"0.65","8161","13.6","8175","0.0001217"
"0.7","8067","12.76","8079","0.0001278"
"0.75","7947","12.02","7959","0.000134"
"0.8","7808","11.37","7819","0.0001404"
"0.85","7655","10.79","7666","0.0001468"
"0.9","7494","10.27","7504","0.0001534"
"0.95","7327","9.801","7337","0.0001602"
"1","7157","9.374","7167","0.0001671"
"1.25","6345","7.719","6352","0.0002041"
"1.5","5647","6.582","5654","0.0002459"
"1.75","5068","5.75","5074","0.0002926"
"2","4588","5.113","4593","0.0003445"
"2.25","4188","4.609","4193","0.0004015"
"2.5","3860","4.199","3865","0.0004637"
"2.75","3585","3.859","3589","0.0005309"
"3","3351","3.573","3354","0.000603"
"3.5","2971","3.115","2974","0.0007616"
"4","2675","2.766","2678","0.0009391"
"4.5","2438","2.49","2440","0.001135"
"5","2242","2.266","2244","0.001349"
"5.5","2078","2.08","2080","0.00158"
"6","1939","1.924","1941","0.001829"
"6.5","1818","1.79","1820","0.002096"
"7","1713","1.674","1715","0.002379"
"7.5","1620","1.573","1622","0.002679"
"8","1538","1.484","1539","0.002995"
"8.5","1464","1.405","1466","0.003328"
"9","1398","1.334","1399","0.003678"
"9.5","1337","1.27","1339","0.004043"
"10","1283","1.213","1284","0.004424"
