"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","87.26","294.9","382.2","2.488E-06"
"0.0015","110.8","257","367.8","3.822E-06"
"0.002","131.3","229","360.3","5.197E-06"
"0.0025","149.8","207.4","357.2","6.592E-06"
"0.003","166.8","190.1","356.9","7.993E-06"
"0.004","197.7","163.9","361.6","1.078E-05"
"0.005","225.5","144.8","370.3","1.352E-05"
"0.006","251.1","130.2","381.4","1.618E-05"
"0.007","275","118.7","393.7","1.876E-05"
"0.008","297.5","109.2","406.7","2.126E-05"
"0.009","318.9","101.3","420.2","2.368E-05"
"0.01","339.4","94.58","433.9","2.602E-05"
"0.0125","387.1","81.49","468.5","3.156E-05"
"0.015","430.9","71.89","502.8","3.671E-05"
"0.0175","471.8","64.5","536.3","4.152E-05"
"0.02","510.4","58.62","569","4.605E-05"
"0.0225","547","53.82","600.8","5.032E-05"
"0.025","581.9","49.82","631.7","5.438E-05"
"0.0275","615.3","46.42","661.8","5.825E-05"
"0.03","647.5","43.5","691","6.194E-05"
"0.035","708.7","38.72","747.4","6.889E-05"
"0.04","766.1","34.96","801.1","7.535E-05"
"0.045","820.5","31.93","852.5","8.14E-05"
"0.05","872.3","29.42","901.7","8.71E-05"
"0.055","921.8","27.3","949.1","9.251E-05"
"0.06","969.3","25.49","994.8","9.765E-05"
"0.065","1015","23.93","1039","0.0001026"
"0.07","1059","22.56","1082","0.0001073"
"0.075","1102","21.35","1123","0.0001118"
"0.08","1143","20.28","1163","0.0001162"
"0.085","1183","19.31","1202","0.0001204"
"0.09","1221","18.44","1240","0.0001245"
"0.095","1259","17.66","1277","0.0001285"
"0.1","1296","16.94","1313","0.0001324"
"0.125","1465","14.12","1479","0.0001503"
"0.15","1614","12.15","1627","0.0001664"
"0.175","1748","10.7","1759","0.0001811"
"0.2","1867","9.573","1877","0.0001949"
"0.225","1975","8.676","1983","0.0002078"
"0.25","2071","7.942","2078","0.0002201"
"0.275","2156","7.329","2164","0.0002319"
"0.3","2233","6.81","2240","0.0002433"
"0.35","2361","5.977","2367","0.000265"
"0.4","2460","5.335","2466","0.0002856"
"0.45","2535","4.825","2540","0.0003056"
"0.5","2588","4.409","2593","0.0003251"
"0.55","2624","4.062","2628","0.0003442"
"0.6","2644","3.769","2648","0.0003632"
"0.65","2652","3.518","2656","0.000382"
"0.7","2650","3.3","2653","0.0004008"
"0.75","2639","3.109","2642","0.0004197"
"0.8","2621","2.94","2624","0.0004387"
"0.85","2598","2.789","2601","0.0004578"
"0.9","2571","2.654","2574","0.0004772"
"0.95","2540","2.532","2543","0.0004967"
"1","2507","2.422","2510","0.0005165"
"1.25","2323","1.993","2325","0.0006199"
"1.5","2139","1.699","2141","0.000732"
"1.75","1976","1.483","1977","0.0008536"
"2","1832","1.319","1834","0.000985"
"2.25","1706","1.188","1707","0.001126"
"2.5","1593","1.082","1594","0.001278"
"2.75","1492","0.9946","1493","0.00144"
"3","1402","0.9206","1403","0.001613"
"3.5","1249","0.8025","1250","0.001991"
"4","1130","0.7123","1130","0.002412"
"4.5","1033","0.641","1034","0.002875"
"5","953.8","0.5831","954.4","0.003379"
"5.5","886.8","0.5352","887.3","0.003923"
"6","829.5","0.4948","830","0.004506"
"6.5","779.8","0.4604","780.3","0.005128"
"7","736.4","0.4306","736.8","0.005787"
"7.5","697.9","0.4045","698.3","0.006485"
"8","663.7","0.3815","664","0.007219"
"8.5","632.9","0.3611","633.3","0.00799"
"9","605.2","0.3429","605.5","0.008798"
"9.5","580","0.3264","580.3","0.009642"
"10","557","0.3115","557.3","0.01052"
