"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","20.08","6.664","26.74","6.505E-05"
"0.0015","24.61","7.25","31.86","8.214E-05"
"0.002","28.43","7.609","36.04","9.686E-05"
"0.0025","31.79","7.845","39.64","0.0001101"
"0.003","34.84","8.004","42.84","0.0001222"
"0.004","40.24","8.183","48.43","0.0001441"
"0.005","45.01","8.255","53.26","0.0001638"
"0.006","49.32","8.264","57.58","0.0001818"
"0.007","53.28","8.236","61.52","0.0001986"
"0.008","56.97","8.185","65.16","0.0002144"
"0.009","60.44","8.118","68.56","0.0002293"
"0.01","63.72","8.041","71.76","0.0002436"
"0.0125","71.26","7.825","79.08","0.0002767"
"0.015","78.07","7.597","85.67","0.0003071"
"0.0175","84.34","7.372","91.71","0.0003353"
"0.02","90.17","7.154","97.33","0.0003617"
"0.0225","95.65","6.946","102.6","0.0003867"
"0.025","100.8","6.75","107.6","0.0004105"
"0.0275","105.7","6.564","112.3","0.0004333"
"0.03","110.5","6.389","116.8","0.0004551"
"0.035","119.3","6.067","125.4","0.0004964"
"0.04","127.5","5.781","133.3","0.000535"
"0.045","135.2","5.523","140.7","0.0005715"
"0.05","142.5","5.291","147.8","0.0006062"
"0.055","149.4","5.081","154.5","0.0006393"
"0.06","156","4.89","160.9","0.000671"
"0.065","162.3","4.714","167","0.0007015"
"0.07","168.3","4.553","172.9","0.0007309"
"0.075","174.1","4.405","178.5","0.0007594"
"0.08","179.7","4.267","184","0.0007869"
"0.085","185.2","4.14","189.3","0.0008137"
"0.09","190.4","4.021","194.4","0.0008398"
"0.095","195.5","3.909","199.4","0.0008652"
"0.1","200.4","3.805","204.2","0.00089"
"0.125","223.2","3.368","226.5","0.001006"
"0.15","243.2","3.034","246.3","0.001112"
"0.175","261.2","2.768","264","0.00121"
"0.2","277.4","2.55","280","0.001302"
"0.225","292.1","2.369","294.5","0.001389"
"0.25","305.4","2.215","307.6","0.001472"
"0.275","317.6","2.082","319.6","0.001551"
"0.3","328.6","1.966","330.5","0.001628"
"0.35","347.7","1.773","349.5","0.001775"
"0.4","363.3","1.619","364.9","0.001915"
"0.45","376","1.492","377.5","0.00205"
"0.5","386","1.386","387.4","0.00218"
"0.55","393.9","1.283","395.2","0.002308"
"0.6","399.8","1.206","401","0.002434"
"0.65","404","1.138","405.1","0.002558"
"0.7","406.8","1.079","407.9","0.002681"
"0.75","408.5","1.026","409.5","0.002803"
"0.8","409.1","0.9779","410.1","0.002925"
"0.85","409","0.935","409.9","0.003047"
"0.9","408.2","0.896","409.1","0.003169"
"0.95","406.8","0.8605","407.7","0.003291"
"1","405","0.828","405.8","0.003414"
"1.25","392.1","0.6988","392.8","0.00404"
"1.5","376.9","0.6072","377.6","0.004689"
"1.75","362","0.5385","362.6","0.005365"
"2","348.2","0.4848","348.7","0.006068"
"2.25","335.6","0.4416","336.1","0.006798"
"2.5","324.1","0.4061","324.5","0.007556"
"2.75","313.6","0.3763","314","0.008339"
"3","303.9","0.3508","304.3","0.009148"
"3.5","286.7","0.3097","287","0.01084"
"4","271.7","0.2778","272","0.01263"
"4.5","258.4","0.2523","258.7","0.01452"
"5","246.6","0.2314","246.8","0.0165"
"5.5","235.9","0.2139","236.2","0.01857"
"6","226.3","0.199","226.5","0.02073"
"6.5","217.5","0.1862","217.7","0.02298"
"7","209.4","0.1751","209.6","0.02532"
"7.5","202","0.1653","202.1","0.02775"
"8","195.1","0.1566","195.3","0.03027"
"8.5","188.8","0.1489","188.9","0.03287"
"9","182.8","0.1419","183","0.03556"
"9.5","177.3","0.1356","177.5","0.03834"
"10","172.2","0.1299","172.3","0.0412"
