"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","8.682","5.617","14.3","0.0001094"
"0.0015","11.18","6.143","17.33","0.0001411"
"0.002","13.38","6.474","19.86","0.000168"
"0.0025","15.38","6.697","22.08","0.0001918"
"0.003","17.23","6.853","24.09","0.0002135"
"0.004","20.62","7.041","27.66","0.0002521"
"0.005","23.7","7.131","30.83","0.0002863"
"0.006","26.56","7.165","33.72","0.0003173"
"0.007","29.24","7.163","36.4","0.0003458"
"0.008","31.78","7.138","38.92","0.0003724"
"0.009","34.2","7.098","41.3","0.0003973"
"0.01","36.53","7.047","43.57","0.0004209"
"0.0125","41.98","6.893","48.87","0.000475"
"0.015","47.04","6.722","53.76","0.0005237"
"0.0175","51.78","6.546","58.33","0.0005683"
"0.02","56.28","6.374","62.65","0.0006097"
"0.0225","60.56","6.206","66.77","0.0006483"
"0.025","64.67","6.046","70.72","0.0006847"
"0.0275","68.63","5.893","74.52","0.0007191"
"0.03","72.45","5.748","78.19","0.0007519"
"0.035","79.74","5.479","85.22","0.0008131"
"0.04","86.64","5.236","91.88","0.0008695"
"0.045","93.22","5.016","98.24","0.0009222"
"0.05","99.52","4.817","104.3","0.0009715"
"0.055","105.6","4.635","110.2","0.001018"
"0.06","111.4","4.469","115.9","0.001062"
"0.065","117.1","4.316","121.4","0.001105"
"0.07","122.5","4.175","126.7","0.001145"
"0.075","127.9","4.044","131.9","0.001183"
"0.08","133.1","3.923","137","0.001221"
"0.085","138.1","3.81","141.9","0.001257"
"0.09","143","3.704","146.7","0.001291"
"0.095","147.8","3.605","151.4","0.001325"
"0.1","152.5","3.512","156","0.001357"
"0.125","174.6","3.121","177.7","0.001507"
"0.15","194.7","2.819","197.5","0.00164"
"0.175","213.1","2.578","215.7","0.001761"
"0.2","230.1","2.38","232.5","0.001873"
"0.225","245.9","2.214","248.1","0.001977"
"0.25","260.4","2.073","262.5","0.002075"
"0.275","273.9","1.951","275.9","0.002168"
"0.3","286.4","1.844","288.3","0.002256"
"0.35","308.6","1.666","310.3","0.002423"
"0.4","327.4","1.524","328.9","0.00258"
"0.45","343.1","1.406","344.5","0.002728"
"0.5","356","1.307","357.4","0.002871"
"0.55","366.5","1.223","367.7","0.003008"
"0.6","374.8","1.139","375.9","0.003143"
"0.65","381.1","1.076","382.2","0.003275"
"0.7","385.8","1.02","386.8","0.003405"
"0.75","389.1","0.9706","390","0.003533"
"0.8","391.1","0.926","392","0.003661"
"0.85","392.1","0.8858","393","0.003789"
"0.9","392.3","0.8493","393.1","0.003916"
"0.95","391.7","0.8159","392.5","0.004043"
"1","390.6","0.7854","391.4","0.004171"
"1.25","379.5","0.664","380.2","0.004818"
"1.5","364.8","0.5776","365.4","0.005488"
"1.75","349.8","0.5127","350.3","0.006187"
"2","335.8","0.4619","336.2","0.006916"
"2.25","322.9","0.4211","323.3","0.007674"
"2.5","311.2","0.3874","311.6","0.008462"
"2.75","300.5","0.3591","300.9","0.009278"
"3","290.7","0.335","291.1","0.01012"
"3.5","273.3","0.2959","273.6","0.0119"
"4","258.3","0.2656","258.6","0.01378"
"4.5","245.1","0.2413","245.4","0.01576"
"5","233.4","0.2214","233.6","0.01785"
"5.5","222.9","0.2047","223.1","0.02004"
"6","213.5","0.1906","213.6","0.02233"
"6.5","204.9","0.1784","205","0.02472"
"7","197","0.1677","197.2","0.02721"
"7.5","189.8","0.1584","190","0.02979"
"8","183.2","0.1501","183.3","0.03247"
"8.5","177","0.1427","177.2","0.03525"
"9","171.3","0.136","171.5","0.03812"
"9.5","166","0.13","166.2","0.04108"
"10","161.1","0.1245","161.2","0.04414"
