"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","32.68","7.469","40.14","4.438E-05"
"0.0015","38.91","8.097","47","5.586E-05"
"0.002","44.03","8.474","52.51","6.59E-05"
"0.0025","48.47","8.716","57.19","7.501E-05"
"0.003","52.43","8.874","61.3","8.345E-05"
"0.004","59.34","9.042","68.38","9.886E-05"
"0.005","65.32","9.095","74.41","0.0001129"
"0.006","70.65","9.083","79.73","0.0001258"
"0.007","75.49","9.032","84.53","0.000138"
"0.008","79.96","8.958","88.92","0.0001495"
"0.009","84.11","8.869","92.98","0.0001605"
"0.01","88.01","8.77","96.78","0.0001711"
"0.0125","96.88","8.505","105.4","0.0001958"
"0.015","104.8","8.233","113","0.0002187"
"0.0175","112","7.968","119.9","0.0002402"
"0.02","118.6","7.716","126.3","0.0002605"
"0.0225","124.7","7.477","132.2","0.0002798"
"0.025","130.5","7.253","137.7","0.0002983"
"0.0275","135.9","7.043","143","0.0003161"
"0.03","141.1","6.845","147.9","0.0003333"
"0.035","150.7","6.485","157.2","0.0003661"
"0.04","159.6","6.165","165.8","0.000397"
"0.045","167.8","5.88","173.7","0.0004265"
"0.05","175.6","5.625","181.2","0.0004547"
"0.055","182.8","5.394","188.2","0.0004817"
"0.06","189.7","5.184","194.9","0.0005078"
"0.065","196.3","4.993","201.3","0.0005331"
"0.07","202.5","4.818","207.4","0.0005576"
"0.075","208.5","4.656","213.2","0.0005813"
"0.08","214.3","4.507","218.8","0.0006045"
"0.085","219.8","4.369","224.2","0.0006271"
"0.09","225.2","4.24","229.4","0.0006491"
"0.095","230.3","4.12","234.5","0.0006707"
"0.1","235.3","4.008","239.3","0.0006918"
"0.125","258.2","3.539","261.7","0.0007916"
"0.15","278.1","3.181","281.3","0.0008836"
"0.175","295.9","2.898","298.7","0.0009698"
"0.2","311.8","2.667","314.5","0.001051"
"0.225","326.2","2.475","328.7","0.001129"
"0.25","339.3","2.312","341.6","0.001204"
"0.275","351.3","2.171","353.5","0.001276"
"0.3","362.2","2.049","364.3","0.001345"
"0.35","381.4","1.846","383.3","0.001479"
"0.4","397.5","1.684","399.2","0.001607"
"0.45","410.9","1.551","412.5","0.00173"
"0.5","422","1.426","423.4","0.001849"
"0.55","431","1.332","432.3","0.001966"
"0.6","438.2","1.251","439.5","0.002081"
"0.65","443.8","1.18","445","0.002194"
"0.7","448","1.118","449.2","0.002306"
"0.75","451","1.063","452.1","0.002417"
"0.8","452.9","1.013","453.9","0.002527"
"0.85","453.9","0.9681","454.8","0.002637"
"0.9","454","0.9275","454.9","0.002747"
"0.95","453.4","0.8905","454.3","0.002857"
"1","452.2","0.8566","453","0.002967"
"1.25","439.8","0.7223","440.6","0.003526"
"1.5","422.1","0.6271","422.7","0.004105"
"1.75","403.2","0.5558","403.7","0.00471"
"2","385","0.5001","385.5","0.005344"
"2.25","368.2","0.4554","368.6","0.006007"
"2.5","352.9","0.4186","353.4","0.0067"
"2.75","339.3","0.3877","339.6","0.007422"
"3","326.9","0.3614","327.3","0.008172"
"3.5","305.7","0.3189","306","0.009753"
"4","288","0.286","288.3","0.01144"
"4.5","272.9","0.2596","273.2","0.01322"
"5","259.8","0.238","260.1","0.0151"
"5.5","248.3","0.22","248.6","0.01706"
"6","238.1","0.2047","238.3","0.01912"
"6.5","228.8","0.1915","229","0.02126"
"7","220.5","0.18","220.6","0.02349"
"7.5","212.8","0.1699","213","0.02579"
"8","205.8","0.161","205.9","0.02818"
"8.5","199.2","0.153","199.4","0.03065"
"9","193.2","0.1458","193.4","0.0332"
"9.5","187.6","0.1393","187.7","0.03582"
"10","182.3","0.1334","182.5","0.03852"
