"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","18.88","12.58","31.46","5.137E-05"
"0.0015","24.28","13.41","37.69","6.585E-05"
"0.002","29.02","13.86","42.87","7.826E-05"
"0.0025","33.32","14.1","47.42","8.933E-05"
"0.003","37.31","14.22","51.53","9.944E-05"
"0.004","44.59","14.26","58.86","0.0001176"
"0.005","51.21","14.16","65.37","0.0001337"
"0.006","57.33","13.98","71.32","0.0001483"
"0.007","63.08","13.77","76.85","0.0001618"
"0.008","68.52","13.53","82.05","0.0001744"
"0.009","73.7","13.29","87","0.0001862"
"0.01","78.67","13.05","91.72","0.0001974"
"0.0125","90.32","12.46","102.8","0.0002231"
"0.015","101.1","11.9","113","0.0002463"
"0.0175","111.2","11.4","122.6","0.0002675"
"0.02","120.7","10.93","131.7","0.0002872"
"0.0225","129.8","10.51","140.3","0.0003056"
"0.025","138.5","10.12","148.6","0.0003229"
"0.0275","146.8","9.759","156.6","0.0003393"
"0.03","154.9","9.43","164.3","0.0003548"
"0.035","170.1","8.843","179","0.000384"
"0.04","184.5","8.336","192.8","0.0004109"
"0.045","198","7.893","205.9","0.000436"
"0.05","210.9","7.502","218.4","0.0004595"
"0.055","223.1","7.154","230.3","0.0004818"
"0.06","234.8","6.842","241.6","0.000503"
"0.065","246","6.56","252.5","0.0005233"
"0.07","256.7","6.305","263","0.0005427"
"0.075","267","6.071","273","0.0005613"
"0.08","276.8","5.857","282.7","0.0005793"
"0.085","286.3","5.66","292","0.0005967"
"0.09","295.4","5.478","300.9","0.0006136"
"0.095","304.2","5.309","309.5","0.00063"
"0.1","312.6","5.152","317.8","0.0006459"
"0.125","350.6","4.504","355.1","0.0007202"
"0.15","382.6","4.018","386.6","0.0007876"
"0.175","409.9","3.638","413.6","0.0008501"
"0.2","433.6","3.332","437","0.0009088"
"0.225","454.3","3.079","457.4","0.0009647"
"0.25","472.6","2.866","475.5","0.001018"
"0.275","488.8","2.684","491.5","0.00107"
"0.3","503.3","2.526","505.8","0.00112"
"0.35","527.7","2.245","530","0.001217"
"0.4","547.4","2.041","549.5","0.001309"
"0.45","563.3","1.874","565.1","0.001399"
"0.5","575.9","1.735","577.7","0.001486"
"0.55","586","1.616","587.6","0.001572"
"0.6","593.8","1.515","595.3","0.001657"
"0.65","599.8","1.427","601.2","0.00174"
"0.7","604.2","1.349","605.5","0.001823"
"0.75","607.2","1.28","608.5","0.001905"
"0.8","609.1","1.218","610.3","0.001987"
"0.85","610","1.163","611.2","0.002069"
"0.9","610.1","1.113","611.2","0.002151"
"0.95","609.4","1.067","610.5","0.002233"
"1","608.2","1.026","609.2","0.002315"
"1.25","595.3","0.8615","596.2","0.002729"
"1.5","576.4","0.7457","577.1","0.003155"
"1.75","555.1","0.6593","555.7","0.003597"
"2","533.3","0.5922","533.9","0.004055"
"2.25","512","0.5384","512.5","0.004533"
"2.5","491.6","0.4942","492.1","0.005031"
"2.75","472.3","0.4572","472.7","0.00555"
"3","454.2","0.4257","454.6","0.006089"
"3.5","421.5","0.375","421.9","0.007232"
"4","392.9","0.3357","393.3","0.00846"
"4.5","368","0.3044","368.3","0.009774"
"5","346.1","0.2788","346.4","0.01117"
"5.5","326.7","0.2574","327","0.01266"
"6","309.5","0.2393","309.7","0.01423"
"6.5","294.1","0.2237","294.3","0.01589"
"7","280.2","0.2101","280.4","0.01763"
"7.5","267.7","0.1982","267.9","0.01946"
"8","256.3","0.1877","256.5","0.02136"
"8.5","245.9","0.1783","246.1","0.02335"
"9","236.4","0.1698","236.6","0.02543"
"9.5","227.7","0.1622","227.8","0.02758"
"10","219.6","0.1553","219.7","0.02982"
