"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","12.02","5.981","18","9.144E-05"
"0.0015","15.18","6.529","21.71","0.0001167"
"0.002","17.92","6.871","24.79","0.0001382"
"0.0025","20.38","7.099","27.48","0.0001573"
"0.003","22.64","7.256","29.9","0.0001747"
"0.004","26.72","7.442","34.17","0.0002059"
"0.005","30.39","7.526","37.92","0.0002337"
"0.006","33.76","7.552","41.31","0.0002589"
"0.007","36.9","7.542","44.44","0.0002822"
"0.008","39.85","7.508","47.36","0.000304"
"0.009","42.65","7.459","50.11","0.0003246"
"0.01","45.32","7.399","52.72","0.000344"
"0.0125","51.54","7.224","58.76","0.0003889"
"0.015","57.25","7.033","64.28","0.0004295"
"0.0175","62.56","6.841","69.4","0.0004669"
"0.02","67.56","6.653","74.21","0.0005017"
"0.0225","72.3","6.471","78.77","0.0005344"
"0.025","76.82","6.298","83.12","0.0005653"
"0.0275","81.15","6.134","87.28","0.0005946"
"0.03","85.31","5.978","91.29","0.0006226"
"0.035","93.22","5.691","98.91","0.0006752"
"0.04","100.6","5.432","106.1","0.000724"
"0.045","107.7","5.199","112.9","0.0007697"
"0.05","114.4","4.988","119.4","0.0008128"
"0.055","120.8","4.796","125.6","0.0008536"
"0.06","126.9","4.621","131.6","0.0008925"
"0.065","132.9","4.46","137.3","0.0009297"
"0.07","138.6","4.312","142.9","0.0009653"
"0.075","144.2","4.175","148.3","0.0009997"
"0.08","149.5","4.048","153.6","0.001033"
"0.085","154.8","3.929","158.7","0.001065"
"0.09","159.8","3.819","163.7","0.001096"
"0.095","164.8","3.716","168.5","0.001126"
"0.1","169.6","3.619","173.2","0.001155"
"0.125","192.1","3.211","195.4","0.001291"
"0.15","212.4","2.897","215.3","0.001413"
"0.175","230.9","2.647","233.5","0.001524"
"0.2","247.8","2.442","250.3","0.001627"
"0.225","263.4","2.271","265.6","0.001724"
"0.25","277.7","2.125","279.8","0.001816"
"0.275","290.9","1.999","292.9","0.001903"
"0.3","303.1","1.889","305","0.001987"
"0.35","324.7","1.706","326.4","0.002145"
"0.4","342.9","1.559","344.4","0.002294"
"0.45","358","1.438","359.4","0.002436"
"0.5","370.4","1.336","371.8","0.002573"
"0.55","380.4","1.249","381.7","0.002705"
"0.6","388.3","1.164","389.5","0.002835"
"0.65","394.3","1.099","395.4","0.002962"
"0.7","398.7","1.042","399.7","0.003088"
"0.75","401.6","0.9908","402.6","0.003213"
"0.8","403.4","0.9452","404.3","0.003337"
"0.85","404.1","0.9039","405","0.00346"
"0.9","404","0.8665","404.9","0.003584"
"0.95","403.2","0.8324","404","0.003707"
"1","401.7","0.8011","402.5","0.003831"
"1.25","389.1","0.6769","389.8","0.004462"
"1.5","372.8","0.5886","373.3","0.005117"
"1.75","356.3","0.5222","356.9","0.005802"
"2","341.1","0.4704","341.6","0.006518"
"2.25","327.3","0.4287","327.7","0.007265"
"2.5","314.9","0.3943","315.3","0.008043"
"2.75","303.7","0.3655","304","0.008851"
"3","293.5","0.3408","293.8","0.009688"
"3.5","275.6","0.301","275.9","0.01145"
"4","260.4","0.2701","260.6","0.01331"
"4.5","247.1","0.2454","247.3","0.01528"
"5","235.4","0.2251","235.6","0.01735"
"5.5","224.9","0.2081","225.1","0.01952"
"6","215.5","0.1937","215.7","0.02179"
"6.5","207","0.1813","207.1","0.02416"
"7","199.2","0.1705","199.3","0.02662"
"7.5","192","0.161","192.2","0.02918"
"8","185.4","0.1525","185.6","0.03182"
"8.5","179.3","0.145","179.5","0.03456"
"9","173.7","0.1382","173.8","0.0374"
"9.5","168.4","0.1321","168.6","0.04032"
"10","163.5","0.1265","163.6","0.04333"
