"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","71.97","9.511","81.48","2.137E-05"
"0.0015","83.86","10.22","94.08","2.706E-05"
"0.002","93.48","10.63","104.1","3.21E-05"
"0.0025","101.7","10.87","112.6","3.672E-05"
"0.003","108.9","11.02","119.9","4.102E-05"
"0.004","121.4","11.14","132.5","4.893E-05"
"0.005","132.1","11.13","143.2","5.618E-05"
"0.006","141.5","11.05","152.5","6.294E-05"
"0.007","149.9","10.93","160.9","6.932E-05"
"0.008","157.7","10.79","168.5","7.54E-05"
"0.009","164.8","10.64","175.5","8.121E-05"
"0.01","171.5","10.48","182","8.68E-05"
"0.0125","186.6","10.08","196.7","0.0001"
"0.015","199.8","9.697","209.5","0.0001123"
"0.0175","211.8","9.332","221.1","0.0001239"
"0.02","222.7","8.992","231.7","0.000135"
"0.0225","232.8","8.676","241.4","0.0001455"
"0.025","242.2","8.384","250.5","0.0001557"
"0.0275","251","8.113","259.1","0.0001655"
"0.03","259.3","7.861","267.2","0.000175"
"0.035","274.7","7.407","282.1","0.0001932"
"0.04","288.8","7.01","295.8","0.0002105"
"0.045","301.8","6.66","308.4","0.0002271"
"0.05","313.8","6.349","320.2","0.000243"
"0.055","325.2","6.071","331.2","0.0002583"
"0.06","335.8","5.819","341.6","0.0002732"
"0.065","345.9","5.591","351.5","0.0002876"
"0.07","355.5","5.383","360.9","0.0003016"
"0.075","364.6","5.193","369.8","0.0003153"
"0.08","373.3","5.018","378.4","0.0003287"
"0.085","381.7","4.856","386.6","0.0003418"
"0.09","389.7","4.706","394.4","0.0003546"
"0.095","397.5","4.566","402","0.0003671"
"0.1","404.9","4.436","409.4","0.0003794"
"0.125","438.6","3.896","442.5","0.0004381"
"0.15","467.5","3.488","471","0.0004928"
"0.175","492.8","3.167","495.9","0.0005445"
"0.2","515.1","2.907","518","0.0005938"
"0.225","535","2.692","537.7","0.0006412"
"0.25","552.8","2.509","555.3","0.0006869"
"0.275","568.8","2.353","571.1","0.0007313"
"0.3","583.1","2.218","585.4","0.0007745"
"0.35","607.6","1.993","609.6","0.0008582"
"0.4","627.3","1.814","629.1","0.0009389"
"0.45","642.8","1.653","644.5","0.001017"
"0.5","654.9","1.532","656.4","0.001094"
"0.55","663.9","1.43","665.3","0.00117"
"0.6","670.3","1.341","671.6","0.001245"
"0.65","674.3","1.264","675.6","0.001319"
"0.7","676.4","1.196","677.6","0.001393"
"0.75","676.8","1.136","677.9","0.001466"
"0.8","675.7","1.082","676.7","0.00154"
"0.85","673.2","1.033","674.3","0.001614"
"0.9","669.7","0.9894","670.7","0.001689"
"0.95","665.3","0.9493","666.2","0.001763"
"1","660.1","0.9127","661","0.001839"
"1.25","626.5","0.7679","627.3","0.002227"
"1.5","587.8","0.6657","588.5","0.002638"
"1.75","549.8","0.5892","550.4","0.003077"
"2","514.9","0.5297","515.4","0.003547"
"2.25","483.8","0.4819","484.2","0.004047"
"2.5","456.5","0.4426","456.9","0.004579"
"2.75","432.6","0.4097","433","0.005142"
"3","411.7","0.3817","412.1","0.005734"
"3.5","377","0.3365","377.4","0.007003"
"4","349.6","0.3015","349.9","0.008381"
"4.5","327.2","0.2735","327.5","0.00986"
"5","308.6","0.2506","308.9","0.01143"
"5.5","292.8","0.2315","293","0.0131"
"6","279.1","0.2153","279.3","0.01484"
"6.5","267.1","0.2013","267.3","0.01667"
"7","256.4","0.1892","256.6","0.01858"
"7.5","246.8","0.1785","247","0.02057"
"8","238.1","0.1691","238.2","0.02263"
"8.5","230.1","0.1606","230.3","0.02477"
"9","222.9","0.1531","223","0.02697"
"9.5","216.1","0.1462","216.3","0.02925"
"10","209.9","0.14","210","0.0316"
