"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","123.2","190","313.2","1.543E-06"
"0.0015","150.3","167","317.3","3.129E-06"
"0.002","173","149.5","322.5","4.693E-06"
"0.0025","193","135.8","328.8","6.229E-06"
"0.003","211","124.7","335.7","7.734E-06"
"0.004","243","107.8","350.8","1.065E-05"
"0.005","271","95.53","366.6","1.344E-05"
"0.006","296.4","86.1","382.5","1.611E-05"
"0.007","319.6","78.59","398.2","1.867E-05"
"0.008","341.2","72.45","413.6","2.113E-05"
"0.009","361.4","67.32","428.8","2.351E-05"
"0.01","380.6","62.96","443.5","2.58E-05"
"0.0125","424.4","54.43","478.9","3.122E-05"
"0.015","464","48.15","512.2","3.627E-05"
"0.0175","500.3","43.32","543.6","4.1E-05"
"0.02","534","39.46","573.4","4.548E-05"
"0.0225","565.5","35.96","601.5","4.974E-05"
"0.025","595.3","33.36","628.7","5.38E-05"
"0.0275","623.6","31.14","654.7","5.77E-05"
"0.03","650.5","29.22","679.7","6.144E-05"
"0.035","701","26.08","727.1","6.855E-05"
"0.04","747.8","23.61","771.4","7.522E-05"
"0.045","791.5","21.6","813.1","8.153E-05"
"0.05","832.7","19.93","852.6","8.754E-05"
"0.055","871.6","18.53","890.1","9.328E-05"
"0.06","908.6","17.32","925.9","9.878E-05"
"0.065","943.8","16.28","960.1","0.0001041"
"0.07","977.5","15.36","992.9","0.0001092"
"0.075","1010","14.56","1024","0.0001142"
"0.08","1041","13.84","1055","0.000119"
"0.085","1071","13.19","1084","0.0001236"
"0.09","1100","12.61","1112","0.0001282"
"0.095","1128","12.08","1140","0.0001326"
"0.1","1154","11.59","1166","0.000137"
"0.125","1277","9.693","1287","0.0001574"
"0.15","1383","8.362","1391","0.000176"
"0.175","1476","7.374","1483","0.0001934"
"0.2","1557","6.609","1564","0.0002098"
"0.225","1629","5.998","1635","0.0002254"
"0.25","1693","5.497","1698","0.0002404"
"0.275","1749","5.079","1754","0.0002549"
"0.3","1798","4.723","1803","0.000269"
"0.35","1879","4.152","1883","0.0002961"
"0.4","1939","3.711","1943","0.0003222"
"0.45","1982","3.36","1986","0.0003476"
"0.5","2011","3.074","2015","0.0003726"
"0.55","2029","2.835","2031","0.0003973"
"0.6","2036","2.633","2038","0.0004219"
"0.65","2035","2.459","2037","0.0004464"
"0.7","2027","2.308","2029","0.000471"
"0.75","2014","2.176","2016","0.0004957"
"0.8","1996","2.059","1998","0.0005206"
"0.85","1975","1.955","1977","0.0005458"
"0.9","1952","1.861","1954","0.0005712"
"0.95","1926","1.776","1928","0.000597"
"1","1899","1.7","1901","0.0006231"
"1.25","1755","1.402","1757","0.0007599"
"1.5","1615","1.196","1616","0.0009083"
"1.75","1490","1.046","1491","0.001069"
"2","1382","0.9311","1383","0.001244"
"2.25","1288","0.8399","1289","0.001431"
"2.5","1207","0.7658","1208","0.001631"
"2.75","1137","0.7043","1137","0.001845"
"3","1075","0.6524","1076","0.002071"
"3.5","972","0.5696","972.6","0.002561"
"4","889.3","0.5062","889.8","0.003099"
"4.5","821.3","0.4561","821.7","0.003684"
"5","764.1","0.4154","764.5","0.004315"
"5.5","715.3","0.3817","715.6","0.004992"
"6","673","0.3533","673.3","0.005712"
"6.5","635.9","0.329","636.3","0.006477"
"7","603.2","0.308","603.5","0.007284"
"7.5","574","0.2896","574.3","0.008133"
"8","547.8","0.2734","548.1","0.009025"
"8.5","524.1","0.259","524.4","0.009958"
"9","502.6","0.2461","502.8","0.01093"
"9.5","482.9","0.2345","483.1","0.01195"
"10","464.8","0.224","465.1","0.013"
