"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","58.22","16.2","74.43","2.229E-05"
"0.0015","68.98","17.11","86.08","2.848E-05"
"0.002","77.79","17.53","95.32","3.399E-05"
"0.0025","85.39","17.71","103.1","3.903E-05"
"0.003","92.16","17.75","109.9","4.372E-05"
"0.004","103.9","17.62","121.6","5.236E-05"
"0.005","114.1","17.35","131.4","6.026E-05"
"0.006","123.1","17.02","140.1","6.762E-05"
"0.007","131.3","16.67","148","7.456E-05"
"0.008","138.8","16.31","155.2","8.116E-05"
"0.009","145.8","15.96","161.8","8.747E-05"
"0.01","152.4","15.62","168","9.353E-05"
"0.0125","167.3","14.83","182.1","0.0001078"
"0.015","180.5","14.12","194.6","0.0001211"
"0.0175","192.5","13.48","206","0.0001336"
"0.02","203.5","12.9","216.4","0.0001454"
"0.0225","213.8","12.39","226.2","0.0001567"
"0.025","223.4","11.91","235.3","0.0001675"
"0.0275","232.4","11.48","243.9","0.000178"
"0.03","241","11.09","252.1","0.000188"
"0.035","256.9","10.39","267.3","0.0002073"
"0.04","271.6","9.789","281.3","0.0002255"
"0.045","285.1","9.264","294.4","0.0002429"
"0.05","297.8","8.801","306.6","0.0002595"
"0.055","309.8","8.39","318.2","0.0002755"
"0.06","321.1","8.021","329.1","0.000291"
"0.065","331.8","7.689","339.5","0.0003059"
"0.07","342.1","7.387","349.5","0.0003204"
"0.075","351.9","7.111","359","0.0003345"
"0.08","361.3","6.858","368.1","0.0003483"
"0.085","370.3","6.626","376.9","0.0003617"
"0.09","379","6.41","385.4","0.0003748"
"0.095","387.4","6.211","393.6","0.0003877"
"0.1","395.5","6.025","401.5","0.0004003"
"0.125","432.4","5.258","437.7","0.0004598"
"0.15","464.5","4.683","469.2","0.0005149"
"0.175","492.9","4.234","497.1","0.0005667"
"0.2","518.2","3.872","522.1","0.0006157"
"0.225","541","3.573","544.6","0.0006626"
"0.25","561.6","3.322","565","0.0007076"
"0.275","580.4","3.107","583.5","0.0007512"
"0.3","597.4","2.921","600.3","0.0007934"
"0.35","626.9","2.614","629.5","0.0008747"
"0.4","651.2","2.371","653.6","0.0009526"
"0.45","671.2","2.173","673.3","0.001028"
"0.5","687.3","2.009","689.3","0.001101"
"0.55","700.1","1.869","702","0.001173"
"0.6","710","1.75","711.7","0.001244"
"0.65","717.3","1.646","718.9","0.001314"
"0.7","722.3","1.555","723.9","0.001383"
"0.75","725.4","1.474","726.8","0.001452"
"0.8","726.7","1.402","728.1","0.001521"
"0.85","726.5","1.337","727.8","0.001589"
"0.9","725","1.279","726.3","0.001658"
"0.95","722.4","1.225","723.6","0.001727"
"1","718.8","1.177","719.9","0.001796"
"1.25","690.9","0.9856","691.9","0.00215"
"1.5","655","0.8512","655.8","0.002521"
"1.75","617.8","0.7513","618.6","0.002913"
"2","582.6","0.6737","583.3","0.00333"
"2.25","552.1","0.6117","552.8","0.00377"
"2.5","525.7","0.5608","526.2","0.004234"
"2.75","502.3","0.5183","502.8","0.00472"
"3","481.5","0.4822","481.9","0.005228"
"3.5","445.5","0.424","446","0.006308"
"4","415.5","0.3792","415.9","0.00747"
"4.5","389.9","0.3434","390.2","0.008712"
"5","367.7","0.3142","368","0.01003"
"5.5","348.1","0.2898","348.4","0.01143"
"6","330.6","0.2692","330.9","0.0129"
"6.5","314.8","0.2515","315.1","0.01445"
"7","300.9","0.2361","301.2","0.01607"
"7.5","288.6","0.2225","288.8","0.01777"
"8","277.3","0.2106","277.5","0.01954"
"8.5","266.9","0.1999","267.1","0.02137"
"9","257.6","0.1904","257.8","0.02328"
"9.5","249","0.1817","249.1","0.02525"
"10","241.2","0.1739","241.3","0.02729"
