"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","82.8","138.4","221.2","5.31E-06"
"0.0015","103.7","129.4","233.1","7.502E-06"
"0.002","121.6","121.2","242.8","9.603E-06"
"0.0025","137.7","114","251.7","1.162E-05"
"0.003","152.3","107.7","260.1","1.358E-05"
"0.004","178.7","97.32","276","1.731E-05"
"0.005","202.3","89.05","291.3","2.084E-05"
"0.006","223.8","82.3","306.1","2.418E-05"
"0.007","243.8","76.66","320.4","2.738E-05"
"0.008","262.5","71.85","334.4","3.043E-05"
"0.009","280.2","67.71","347.9","3.336E-05"
"0.01","297.1","64.08","361.2","3.618E-05"
"0.0125","336.2","56.73","392.9","4.281E-05"
"0.015","372","51.08","423","4.894E-05"
"0.0175","405.1","46.58","451.7","5.466E-05"
"0.02","436.2","42.9","479.1","6.003E-05"
"0.0225","465.5","39.82","505.4","6.511E-05"
"0.025","493.4","37.21","530.6","6.994E-05"
"0.0275","520.1","34.95","555.1","7.454E-05"
"0.03","545.7","32.99","578.7","7.895E-05"
"0.035","594.1","29.71","623.8","8.727E-05"
"0.04","639.3","27.09","666.4","9.502E-05"
"0.045","682","24.94","706.9","0.0001023"
"0.05","722.5","23.14","745.6","0.0001092"
"0.055","761","21.6","782.6","0.0001157"
"0.06","797.9","20.27","818.2","0.000122"
"0.065","833.4","19.12","852.5","0.000128"
"0.07","867.4","18.1","885.5","0.0001337"
"0.075","900.3","17.19","917.5","0.0001393"
"0.08","932","16.38","948.4","0.0001446"
"0.085","962.8","15.65","978.4","0.0001498"
"0.09","992.5","14.99","1008","0.0001548"
"0.095","1021","14.38","1036","0.0001597"
"0.1","1049","13.83","1063","0.0001645"
"0.125","1179","11.64","1190","0.0001867"
"0.15","1293","10.1","1303","0.0002067"
"0.175","1395","8.937","1404","0.0002252"
"0.2","1486","8.035","1494","0.0002425"
"0.225","1567","7.31","1574","0.0002588"
"0.25","1640","6.714","1647","0.0002743"
"0.275","1706","6.215","1712","0.0002892"
"0.3","1765","5.79","1771","0.0003035"
"0.35","1864","5.103","1869","0.000331"
"0.4","1940","4.572","1945","0.0003572"
"0.45","1999","4.147","2003","0.0003825"
"0.5","2041","3.799","2045","0.0004072"
"0.55","2069","3.509","2073","0.0004314"
"0.6","2086","3.263","2089","0.0004555"
"0.65","2093","3.051","2096","0.0004794"
"0.7","2091","2.866","2094","0.0005032"
"0.75","2083","2.704","2086","0.0005271"
"0.8","2069","2.561","2072","0.0005512"
"0.85","2051","2.433","2054","0.0005754"
"0.9","2030","2.318","2032","0.0005999"
"0.95","2005","2.214","2007","0.0006246"
"1","1978","2.119","1980","0.0006497"
"1.25","1819","1.752","1820","0.0007812"
"1.5","1660","1.498","1662","0.000925"
"1.75","1522","1.312","1524","0.001082"
"2","1406","1.169","1407","0.001253"
"2.25","1308","1.055","1309","0.001437"
"2.5","1224","0.9629","1225","0.001635"
"2.75","1151","0.8862","1151","0.001846"
"3","1088","0.8214","1089","0.002069"
"3.5","982.9","0.7178","983.6","0.002553"
"4","898.5","0.6385","899.2","0.003085"
"4.5","829.5","0.5757","830.1","0.003665"
"5","771.1","0.5246","771.6","0.00429"
"5.5","721.3","0.4823","721.8","0.00496"
"6","678.5","0.4466","678.9","0.005675"
"6.5","641","0.416","641.4","0.006433"
"7","608","0.3895","608.4","0.007234"
"7.5","578.6","0.3664","579","0.008077"
"8","552.3","0.3459","552.6","0.008961"
"8.5","528.5","0.3277","528.8","0.009886"
"9","506.9","0.3115","507.2","0.01085"
"9.5","487.2","0.2968","487.5","0.01186"
"10","469.1","0.2835","469.4","0.0129"
