"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","259.2","87.09","346.3","2.415E-06"
"0.0015","293.6","84.11","377.7","3.795E-06"
"0.002","320.8","80.5","401.3","5.077E-06"
"0.0025","343.6","76.93","420.6","6.293E-06"
"0.003","363.5","73.58","437","7.459E-06"
"0.004","397.1","67.65","464.7","9.675E-06"
"0.005","425.2","62.67","487.9","1.177E-05"
"0.006","449.7","58.46","508.1","1.378E-05"
"0.007","471.4","54.86","526.3","1.571E-05"
"0.008","491.1","51.74","542.8","1.758E-05"
"0.009","509.1","49.01","558.1","1.94E-05"
"0.01","525.7","46.6","572.3","2.117E-05"
"0.0125","562.5","41.64","604.2","2.542E-05"
"0.015","594.4","37.77","632.2","2.946E-05"
"0.0175","622.6","34.65","657.2","3.334E-05"
"0.02","647.9","32.08","680","3.708E-05"
"0.0225","670.9","29.91","700.8","4.07E-05"
"0.025","692.1","28.06","720.1","4.422E-05"
"0.0275","711.6","26.45","738.1","4.765E-05"
"0.03","729.8","25.04","754.9","5.099E-05"
"0.035","762.8","22.69","785.5","5.748E-05"
"0.04","792.1","20.78","812.9","6.374E-05"
"0.045","818.4","19.21","837.7","6.98E-05"
"0.05","842.4","17.89","860.3","7.569E-05"
"0.055","864.3","16.75","881","8.143E-05"
"0.06","884.5","15.77","900.3","8.704E-05"
"0.065","903.2","14.91","918.1","9.254E-05"
"0.07","920.7","14.02","934.7","9.794E-05"
"0.075","937","13.35","950.3","0.0001032"
"0.08","952.3","12.74","965","0.0001085"
"0.085","966.7","12.2","978.9","0.0001136"
"0.09","980.3","11.7","992","0.0001187"
"0.095","993.2","11.25","1004","0.0001237"
"0.1","1005","10.84","1016","0.0001286"
"0.125","1058","9.182","1067","0.0001526"
"0.15","1101","8.002","1109","0.0001756"
"0.175","1135","7.112","1142","0.0001978"
"0.2","1164","6.415","1170","0.0002194"
"0.225","1187","5.853","1193","0.0002406"
"0.25","1207","5.389","1213","0.0002613"
"0.275","1224","4.998","1229","0.0002818"
"0.3","1238","4.665","1243","0.000302"
"0.35","1259","4.125","1263","0.0003419"
"0.4","1274","3.706","1277","0.0003813"
"0.45","1282","3.369","1286","0.0004203"
"0.5","1287","3.093","1290","0.0004591"
"0.55","1289","2.862","1292","0.0004978"
"0.6","1287","2.665","1290","0.0005365"
"0.65","1284","2.495","1287","0.0005753"
"0.7","1279","2.347","1282","0.0006143"
"0.75","1273","2.217","1275","0.0006534"
"0.8","1265","2.102","1267","0.0006927"
"0.85","1257","1.999","1259","0.0007323"
"0.9","1248","1.906","1250","0.0007721"
"0.95","1238","1.822","1240","0.0008123"
"1","1228","1.746","1230","0.0008528"
"1.25","1174","1.448","1175","0.001061"
"1.5","1117","1.242","1119","0.001279"
"1.75","1063","1.09","1064","0.001508"
"2","1012","0.9726","1013","0.001749"
"2.25","964.5","0.8795","965.4","0.002002"
"2.5","920.5","0.8037","921.3","0.002267"
"2.75","880","0.7406","880.7","0.002544"
"3","842.6","0.6872","843.3","0.002834"
"3.5","776.2","0.6017","776.8","0.003453"
"4","719.4","0.5361","719.9","0.004122"
"4.5","670.3","0.4841","670.8","0.004842"
"5","627.6","0.4417","628","0.005613"
"5.5","590.1","0.4065","590.5","0.006434"
"6","556.9","0.3768","557.3","0.007306"
"6.5","527.4","0.3514","527.8","0.008228"
"7","501","0.3293","501.3","0.009201"
"7.5","477.2","0.31","477.5","0.01022"
"8","455.6","0.293","455.9","0.01129"
"8.5","436","0.2778","436.3","0.01242"
"9","418.1","0.2642","418.3","0.01359"
"9.5","401.6","0.2519","401.9","0.01481"
"10","386.5","0.2408","386.7","0.01608"
