"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","105.8","124.3","230.1","5.405E-06"
"0.0015","128.3","117.3","245.6","7.497E-06"
"0.002","147.1","110.5","257.6","9.484E-06"
"0.0025","163.6","104.5","268.1","1.139E-05"
"0.003","178.4","99.12","277.5","1.322E-05"
"0.004","204.6","90.12","294.7","1.671E-05"
"0.005","227.5","82.86","310.4","2.002E-05"
"0.006","248.1","76.87","325","2.317E-05"
"0.007","267","71.83","338.8","2.618E-05"
"0.008","284.5","67.51","352","2.907E-05"
"0.009","300.9","63.76","364.7","3.186E-05"
"0.01","316.3","60.47","376.8","3.456E-05"
"0.0125","351.8","53.75","405.5","4.095E-05"
"0.015","383.6","48.55","432.1","4.692E-05"
"0.0175","412.7","44.39","457.1","5.254E-05"
"0.02","439.8","40.96","480.7","5.788E-05"
"0.0225","465","38.09","503.1","6.296E-05"
"0.025","488.9","35.65","524.5","6.782E-05"
"0.0275","511.4","33.53","545","7.25E-05"
"0.03","533","31.68","564.7","7.7E-05"
"0.035","573.3","28.59","601.9","8.558E-05"
"0.04","610.6","26.11","636.7","9.365E-05"
"0.045","645.5","24.07","669.6","0.0001013"
"0.05","678.3","22.35","700.7","0.0001086"
"0.055","709.4","20.89","730.3","0.0001156"
"0.06","738.9","19.62","758.6","0.0001223"
"0.065","767.1","18.52","785.7","0.0001288"
"0.07","794.1","17.54","811.7","0.000135"
"0.075","820","16.67","836.7","0.0001411"
"0.08","845","15.89","860.9","0.000147"
"0.085","869","15.19","884.2","0.0001527"
"0.09","892.3","14.56","906.8","0.0001583"
"0.095","914.7","13.97","928.7","0.0001638"
"0.1","936.5","13.44","950","0.0001691"
"0.125","1036","11.34","1048","0.0001941"
"0.15","1124","9.84","1134","0.000217"
"0.175","1202","8.719","1211","0.0002383"
"0.2","1272","7.845","1280","0.0002584"
"0.225","1335","7.142","1342","0.0002775"
"0.25","1392","6.563","1399","0.0002957"
"0.275","1444","6.078","1450","0.0003133"
"0.3","1491","5.664","1497","0.0003302"
"0.35","1573","4.996","1578","0.0003627"
"0.4","1639","4.478","1644","0.0003938"
"0.45","1693","4.064","1697","0.0004237"
"0.5","1735","3.725","1739","0.0004528"
"0.55","1768","3.441","1771","0.0004812"
"0.6","1792","3.201","1795","0.0005093"
"0.65","1808","2.994","1811","0.000537"
"0.7","1818","2.813","1820","0.0005645"
"0.75","1821","2.655","1824","0.000592"
"0.8","1820","2.515","1822","0.0006194"
"0.85","1814","2.389","1817","0.0006468"
"0.9","1805","2.277","1807","0.0006744"
"0.95","1792","2.175","1794","0.0007022"
"1","1777","2.082","1779","0.0007302"
"1.25","1667","1.722","1669","0.000875"
"1.5","1544","1.474","1545","0.001031"
"1.75","1430","1.291","1431","0.001199"
"2","1329","1.151","1330","0.00138"
"2.25","1241","1.039","1242","0.001575"
"2.5","1164","0.9484","1165","0.001783"
"2.75","1097","0.8731","1098","0.002004"
"3","1038","0.8094","1039","0.002238"
"3.5","939.5","0.7076","940.2","0.002745"
"4","860.2","0.6295","860.9","0.003301"
"4.5","794.7","0.5677","795.2","0.003906"
"5","739.5","0.5175","740.1","0.004559"
"5.5","692.4","0.4759","692.9","0.005257"
"6","651.9","0.4407","652.3","0.006001"
"6.5","616.1","0.4106","616.5","0.00679"
"7","584.5","0.3845","584.9","0.007623"
"7.5","556.4","0.3617","556.8","0.0085"
"8","531.3","0.3416","531.7","0.009419"
"8.5","508.6","0.3237","508.9","0.01038"
"9","488","0.3076","488.3","0.01138"
"9.5","469.2","0.2932","469.5","0.01243"
"10","452","0.2801","452.3","0.01351"
