"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","12.73","6.062","18.79","8.816E-05"
"0.0015","16.03","6.613","22.64","0.0001123"
"0.002","18.87","6.956","25.83","0.000133"
"0.0025","21.42","7.184","28.6","0.0001513"
"0.003","23.76","7.34","31.1","0.0001681"
"0.004","27.98","7.524","35.5","0.0001981"
"0.005","31.76","7.605","39.36","0.0002248"
"0.006","35.22","7.628","42.85","0.0002492"
"0.007","38.44","7.615","46.06","0.0002717"
"0.008","41.47","7.578","49.05","0.0002927"
"0.009","44.34","7.526","51.87","0.0003125"
"0.01","47.08","7.463","54.54","0.0003313"
"0.0125","53.44","7.282","60.72","0.0003747"
"0.015","59.26","7.086","66.35","0.000414"
"0.0175","64.68","6.889","71.57","0.0004503"
"0.02","69.77","6.696","76.47","0.0004841"
"0.0225","74.6","6.512","81.11","0.0005158"
"0.025","79.19","6.336","85.52","0.0005458"
"0.0275","83.59","6.169","89.75","0.0005743"
"0.03","87.81","6.01","93.82","0.0006016"
"0.035","95.82","5.719","101.5","0.0006528"
"0.04","103.3","5.457","108.8","0.0007003"
"0.045","110.5","5.221","115.7","0.0007449"
"0.05","117.2","5.008","122.2","0.0007869"
"0.055","123.7","4.814","128.5","0.0008268"
"0.06","129.9","4.637","134.5","0.0008648"
"0.065","135.9","4.474","140.4","0.0009012"
"0.07","141.7","4.325","146","0.0009361"
"0.075","147.2","4.187","151.4","0.0009697"
"0.08","152.6","4.059","156.7","0.001002"
"0.085","157.9","3.939","161.8","0.001034"
"0.09","163","3.828","166.8","0.001064"
"0.095","168","3.724","171.7","0.001094"
"0.1","172.8","3.627","176.5","0.001122"
"0.125","195.4","3.217","198.6","0.001256"
"0.15","215.7","2.901","218.6","0.001375"
"0.175","234.1","2.65","236.8","0.001485"
"0.2","251","2.444","253.5","0.001587"
"0.225","266.5","2.272","268.8","0.001683"
"0.25","280.7","2.126","282.9","0.001774"
"0.275","293.9","2","295.9","0.00186"
"0.3","305.9","1.889","307.8","0.001943"
"0.35","327.2","1.706","328.9","0.0021"
"0.4","345.1","1.558","346.7","0.002248"
"0.45","359.9","1.437","361.4","0.002389"
"0.5","372","1.335","373.4","0.002525"
"0.55","381.7","1.249","382.9","0.002657"
"0.6","389.3","1.163","390.4","0.002786"
"0.65","395","1.098","396.1","0.002913"
"0.7","399","1.041","400.1","0.003039"
"0.75","401.7","0.9899","402.7","0.003164"
"0.8","403.2","0.9442","404.2","0.003287"
"0.85","403.8","0.9029","404.7","0.003411"
"0.9","403.5","0.8655","404.3","0.003535"
"0.95","402.5","0.8314","403.3","0.003658"
"1","400.9","0.8001","401.7","0.003783"
"1.25","388","0.6759","388.7","0.004415"
"1.5","371.8","0.5876","372.4","0.005071"
"1.75","355.7","0.5213","356.2","0.005758"
"2","340.9","0.4696","341.3","0.006475"
"2.25","327.4","0.4279","327.9","0.007223"
"2.5","315.4","0.3935","315.8","0.008"
"2.75","304.5","0.3647","304.9","0.008806"
"3","294.6","0.3401","295","0.009639"
"3.5","277.3","0.3004","277.6","0.01139"
"4","262.4","0.2695","262.7","0.01324"
"4.5","249.5","0.2448","249.7","0.01519"
"5","238","0.2246","238.2","0.01724"
"5.5","227.7","0.2076","227.9","0.01939"
"6","218.5","0.1932","218.7","0.02163"
"6.5","210","0.1808","210.2","0.02396"
"7","202.3","0.1701","202.5","0.02639"
"7.5","195.2","0.1606","195.4","0.0289"
"8","188.7","0.1521","188.8","0.0315"
"8.5","182.6","0.1446","182.8","0.0342"
"9","177","0.1379","177.1","0.03698"
"9.5","171.7","0.1317","171.9","0.03984"
"10","166.8","0.1262","167","0.04279"
