"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","14.1","4.558","18.65","9.083E-05"
"0.0015","17.84","5.017","22.86","0.000115"
"0.002","21.09","5.313","26.4","0.0001353"
"0.0025","24.01","5.518","29.53","0.0001532"
"0.003","26.69","5.666","32.36","0.0001693"
"0.004","31.55","5.855","37.4","0.000198"
"0.005","35.91","5.959","41.87","0.0002232"
"0.006","39.93","6.012","45.94","0.000246"
"0.007","43.67","6.033","49.7","0.0002669"
"0.008","47.19","6.032","53.22","0.0002864"
"0.009","50.53","6.016","56.55","0.0003046"
"0.01","53.72","5.99","59.71","0.0003218"
"0.0125","61.15","5.895","67.05","0.0003612"
"0.015","67.98","5.778","73.76","0.0003968"
"0.0175","74.35","5.653","80","0.0004293"
"0.02","80.34","5.526","85.86","0.0004594"
"0.0225","86.02","5.399","91.42","0.0004876"
"0.025","91.44","5.277","96.72","0.0005142"
"0.0275","96.63","5.158","101.8","0.0005394"
"0.03","101.6","5.044","106.7","0.0005634"
"0.035","111.1","4.829","115.9","0.0006083"
"0.04","120","4.633","124.7","0.0006499"
"0.045","128.5","4.454","132.9","0.0006887"
"0.05","136.5","4.289","140.8","0.0007252"
"0.055","144.3","4.138","148.4","0.0007598"
"0.06","151.7","3.999","155.7","0.0007927"
"0.065","158.8","3.87","162.7","0.0008241"
"0.07","165.7","3.751","169.4","0.0008542"
"0.075","172.3","3.64","176","0.0008832"
"0.08","178.8","3.536","182.4","0.0009111"
"0.085","185.1","3.44","188.5","0.000938"
"0.09","191.2","3.349","194.6","0.0009641"
"0.095","197.2","3.264","200.4","0.0009895"
"0.1","203","3.183","206.1","0.001014"
"0.125","230","2.843","232.9","0.001128"
"0.15","254.3","2.578","256.9","0.00123"
"0.175","276.5","2.364","278.8","0.001323"
"0.2","296.7","2.188","298.8","0.00141"
"0.225","315.2","2.04","317.2","0.001491"
"0.25","332.2","1.913","334.1","0.001568"
"0.275","347.8","1.803","349.6","0.001641"
"0.3","362.2","1.707","363.9","0.001711"
"0.35","387.4","1.546","388.9","0.001844"
"0.4","408.3","1.416","409.7","0.001969"
"0.45","425.5","1.308","426.8","0.002088"
"0.5","439.3","1.218","440.5","0.002204"
"0.55","450.1","1.141","451.2","0.002316"
"0.6","458.2","1.074","459.3","0.002426"
"0.65","464","1.015","465","0.002534"
"0.7","467.8","0.9541","468.8","0.002641"
"0.75","469.8","0.9084","470.8","0.002747"
"0.8","470.4","0.8674","471.3","0.002853"
"0.85","469.7","0.8302","470.5","0.002959"
"0.9","468","0.7965","468.8","0.003066"
"0.95","465.4","0.7657","466.2","0.003173"
"1","462.1","0.7374","462.8","0.00328"
"1.25","439.5","0.6247","440.1","0.003834"
"1.5","413.5","0.5443","414.1","0.004419"
"1.75","388.8","0.4837","389.3","0.005042"
"2","366.6","0.4362","367.1","0.005704"
"2.25","347.2","0.398","347.6","0.006404"
"2.5","330.3","0.3664","330.7","0.007142"
"2.75","315.4","0.3398","315.8","0.007916"
"3","302.3","0.3172","302.6","0.008725"
"3.5","280","0.2804","280.3","0.01044"
"4","261.7","0.2519","262","0.01229"
"4.5","246.4","0.229","246.6","0.01426"
"5","233.2","0.2102","233.4","0.01634"
"5.5","221.6","0.1945","221.8","0.01854"
"6","211.4","0.1811","211.6","0.02085"
"6.5","202.3","0.1696","202.5","0.02327"
"7","194.1","0.1595","194.3","0.02579"
"7.5","186.6","0.1507","186.8","0.02841"
"8","179.8","0.1428","180","0.03114"
"8.5","173.6","0.1358","173.7","0.03397"
"9","167.8","0.1295","167.9","0.0369"
"9.5","162.4","0.1238","162.6","0.03993"
"10","157.5","0.1186","157.6","0.04305"
