"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","17.96","5.342","23.3","7.305E-05"
"0.0015","22.18","5.854","28.03","9.24E-05"
"0.002","25.76","6.176","31.93","0.0001091"
"0.0025","28.92","6.393","35.32","0.000124"
"0.003","31.8","6.543","38.34","0.0001375"
"0.004","36.93","6.721","43.65","0.0001619"
"0.005","41.47","6.805","48.28","0.0001837"
"0.006","45.6","6.833","52.43","0.0002035"
"0.007","49.4","6.828","56.23","0.0002219"
"0.008","52.95","6.802","59.75","0.0002392"
"0.009","56.3","6.762","63.06","0.0002555"
"0.01","59.46","6.712","66.18","0.0002709"
"0.0125","66.77","6.566","73.34","0.0003068"
"0.015","73.41","6.407","79.81","0.0003394"
"0.0175","79.52","6.246","85.77","0.0003696"
"0.02","85.23","6.089","91.32","0.0003978"
"0.0225","90.6","5.938","96.54","0.0004245"
"0.025","95.69","5.794","101.5","0.0004497"
"0.0275","100.5","5.657","106.2","0.0004738"
"0.03","105.2","5.527","110.7","0.0004968"
"0.035","113.9","5.285","119.2","0.0005403"
"0.04","122","5.068","127.1","0.0005809"
"0.045","129.7","4.87","134.5","0.0006192"
"0.05","136.9","4.69","141.6","0.0006554"
"0.055","143.8","4.525","148.3","0.0006899"
"0.06","150.3","4.373","154.7","0.0007229"
"0.065","156.6","4.234","160.9","0.0007545"
"0.07","162.7","4.104","166.8","0.0007851"
"0.075","168.5","3.984","172.5","0.0008145"
"0.08","174.1","3.872","178","0.0008431"
"0.085","179.5","3.767","183.3","0.0008708"
"0.09","184.8","3.668","188.5","0.0008977"
"0.095","189.9","3.576","193.5","0.0009238"
"0.1","194.9","3.489","198.3","0.0009494"
"0.125","217.7","3.119","220.8","0.001069"
"0.15","237.9","2.829","240.7","0.001177"
"0.175","256","2.596","258.6","0.001277"
"0.2","272.3","2.403","274.7","0.001371"
"0.225","287","2.24","289.3","0.001459"
"0.25","300.4","2.1","302.5","0.001544"
"0.275","312.6","1.979","314.5","0.001625"
"0.3","323.6","1.873","325.5","0.001703"
"0.35","342.6","1.695","344.3","0.001852"
"0.4","358.2","1.552","359.7","0.001994"
"0.45","370.7","1.433","372.1","0.002131"
"0.5","380.6","1.333","382","0.002263"
"0.55","388.4","1.247","389.6","0.002393"
"0.6","394.2","1.173","395.4","0.00252"
"0.65","398.4","1.108","399.5","0.002646"
"0.7","401.3","1.051","402.4","0.002771"
"0.75","403.1","0.9995","404.1","0.002895"
"0.8","404","0.9536","404.9","0.003018"
"0.85","404.1","0.9121","405","0.003142"
"0.9","403.5","0.8745","404.4","0.003265"
"0.95","402.4","0.8401","403.3","0.003389"
"1","401","0.8086","401.8","0.003513"
"1.25","392.5","0.6833","393.2","0.004142"
"1.5","380.4","0.5942","381","0.004787"
"1.75","365.3","0.5272","365.8","0.005456"
"2","348.6","0.4748","349.1","0.006156"
"2.25","332","0.4327","332.4","0.00689"
"2.5","317.6","0.3979","318","0.007659"
"2.75","304.9","0.3687","305.3","0.008462"
"3","293.7","0.3438","294","0.009296"
"3.5","274.4","0.3036","274.7","0.01106"
"4","258.3","0.2723","258.6","0.01294"
"4.5","244.7","0.2473","244.9","0.01492"
"5","232.9","0.2268","233.1","0.01702"
"5.5","222.5","0.2096","222.7","0.01921"
"6","213.2","0.1951","213.4","0.02151"
"6.5","205","0.1825","205.1","0.0239"
"7","197.5","0.1716","197.6","0.02638"
"7.5","190.7","0.162","190.8","0.02896"
"8","184.4","0.1535","184.6","0.03162"
"8.5","178.7","0.1458","178.8","0.03437"
"9","173.4","0.139","173.5","0.03721"
"9.5","168.4","0.1328","168.6","0.04014"
"10","163.9","0.1272","164","0.04314"
