"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","14.45","5.853","20.3","8.253E-05"
"0.0015","17.87","6.398","24.27","0.0001048"
"0.002","20.78","6.736","27.52","0.0001241"
"0.0025","23.37","6.961","30.33","0.0001414"
"0.003","25.71","7.114","32.82","0.0001572"
"0.004","29.9","7.291","37.19","0.0001858"
"0.005","33.61","7.366","40.98","0.0002114"
"0.006","36.99","7.385","44.37","0.0002348"
"0.007","40.1","7.368","47.47","0.0002566"
"0.008","43.01","7.33","50.34","0.000277"
"0.009","45.75","7.279","53.03","0.0002964"
"0.01","48.35","7.218","55.57","0.0003148"
"0.0125","54.36","7.045","61.4","0.0003575"
"0.015","59.81","6.861","66.67","0.0003966"
"0.0175","64.84","6.679","71.52","0.0004328"
"0.02","69.54","6.502","76.05","0.0004666"
"0.0225","73.97","6.333","80.31","0.0004986"
"0.025","78.17","6.173","84.34","0.000529"
"0.0275","82.17","6.021","88.19","0.000558"
"0.03","86","5.877","91.88","0.0005857"
"0.035","93.22","5.612","98.83","0.0006382"
"0.04","99.96","5.373","105.3","0.0006871"
"0.045","106.3","5.157","111.5","0.0007333"
"0.05","112.3","4.961","117.3","0.000777"
"0.055","118","4.782","122.8","0.0008186"
"0.06","123.5","4.618","128.1","0.0008585"
"0.065","128.7","4.467","133.2","0.0008968"
"0.07","133.8","4.327","138.1","0.0009336"
"0.075","138.7","4.198","142.9","0.0009692"
"0.08","143.4","4.077","147.5","0.001004"
"0.085","147.9","3.964","151.9","0.001037"
"0.09","152.4","3.858","156.2","0.00107"
"0.095","156.7","3.759","160.4","0.001101"
"0.1","160.8","3.666","164.5","0.001132"
"0.125","180.3","3.27","183.5","0.001276"
"0.15","197.6","2.962","200.6","0.001406"
"0.175","213.3","2.715","216","0.001526"
"0.2","227.7","2.51","230.2","0.001638"
"0.225","240.9","2.338","243.2","0.001743"
"0.25","253","2.191","255.2","0.001844"
"0.275","264.3","2.063","266.3","0.001939"
"0.3","274.7","1.951","276.6","0.002032"
"0.35","293.2","1.764","295","0.002206"
"0.4","309","1.613","310.6","0.002371"
"0.45","322.4","1.489","323.9","0.002529"
"0.5","333.7","1.384","335.1","0.002681"
"0.55","343.1","1.295","344.4","0.002828"
"0.6","350.7","1.217","351.9","0.002971"
"0.65","356.8","1.149","358","0.003112"
"0.7","361.6","1.09","362.6","0.003251"
"0.75","365.1","1.036","366.1","0.003388"
"0.8","367.6","0.9883","368.5","0.003524"
"0.85","369.1","0.9451","370","0.00366"
"0.9","369.8","0.9058","370.7","0.003795"
"0.95","369.9","0.87","370.8","0.003929"
"1","369.3","0.8372","370.2","0.004064"
"1.25","364.7","0.707","365.4","0.004744"
"1.5","357","0.6144","357.7","0.005435"
"1.75","347.3","0.5449","347.9","0.006143"
"2","336.6","0.4906","337.1","0.006873"
"2.25","325.5","0.4469","325.9","0.007627"
"2.5","314.4","0.4108","314.8","0.008408"
"2.75","303.6","0.3806","304","0.009216"
"3","293.2","0.3549","293.6","0.01005"
"3.5","274.3","0.3132","274.6","0.01182"
"4","258.5","0.2809","258.8","0.01369"
"4.5","245.1","0.255","245.3","0.01568"
"5","233.4","0.2338","233.6","0.01777"
"5.5","223.1","0.2161","223.3","0.01996"
"6","214","0.201","214.2","0.02224"
"6.5","205.8","0.1881","206","0.02462"
"7","198.4","0.1768","198.6","0.0271"
"7.5","191.6","0.1669","191.8","0.02966"
"8","185.4","0.1581","185.6","0.03231"
"8.5","179.7","0.1502","179.8","0.03505"
"9","174.4","0.1432","174.5","0.03787"
"9.5","169.5","0.1368","169.6","0.04078"
"10","164.9","0.131","165.1","0.04377"
