"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","4.747","4.783","9.529","0.0001436"
"0.0015","6.415","5.25","11.66","0.000191"
"0.002","7.943","5.548","13.49","0.0002307"
"0.0025","9.375","5.752","15.13","0.0002657"
"0.003","10.73","5.897","16.63","0.0002971"
"0.004","13.29","6.078","19.37","0.0003528"
"0.005","15.69","6.173","21.86","0.0004013"
"0.006","17.96","6.217","24.18","0.0004447"
"0.007","20.14","6.228","26.37","0.0004843"
"0.008","22.24","6.219","28.46","0.0005208"
"0.009","24.27","6.194","30.47","0.0005548"
"0.01","26.25","6.159","32.41","0.0005866"
"0.0125","30.98","6.045","37.02","0.0006587"
"0.015","35.47","5.912","41.38","0.0007225"
"0.0175","39.77","5.773","45.54","0.00078"
"0.02","43.91","5.633","49.54","0.0008326"
"0.0225","47.92","5.496","53.42","0.0008812"
"0.025","51.82","5.363","57.18","0.0009264"
"0.0275","55.62","5.236","60.85","0.0009688"
"0.03","59.32","5.114","64.44","0.001009"
"0.035","66.51","4.887","71.39","0.001082"
"0.04","73.42","4.68","78.1","0.001149"
"0.045","80.12","4.492","84.61","0.001211"
"0.05","86.61","4.321","90.93","0.001268"
"0.055","92.93","4.164","97.1","0.001321"
"0.06","99.1","4.02","103.1","0.001371"
"0.065","105.1","3.887","109","0.001418"
"0.07","111","3.763","114.8","0.001463"
"0.075","116.8","3.649","120.5","0.001505"
"0.08","122.5","3.543","126","0.001546"
"0.085","128.1","3.444","131.5","0.001585"
"0.09","133.5","3.351","136.9","0.001622"
"0.095","138.9","3.264","142.2","0.001658"
"0.1","144.2","3.182","147.4","0.001692"
"0.125","169.6","2.835","172.4","0.001849"
"0.15","193.2","2.566","195.8","0.001985"
"0.175","215.3","2.35","217.7","0.002106"
"0.2","236.1","2.173","238.3","0.002215"
"0.225","255.6","2.024","257.7","0.002316"
"0.25","273.9","1.897","275.8","0.00241"
"0.275","291","1.786","292.7","0.002498"
"0.3","306.8","1.69","308.5","0.002581"
"0.35","335.2","1.529","336.7","0.002736"
"0.4","359.1","1.399","360.5","0.002879"
"0.45","378.8","1.292","380.1","0.003014"
"0.5","394.7","1.202","395.9","0.003143"
"0.55","407","1.125","408.2","0.003267"
"0.6","416.2","1.059","417.3","0.003388"
"0.65","422.6","0.9911","423.6","0.003507"
"0.7","426.7","0.9403","427.6","0.003625"
"0.75","428.7","0.8949","429.6","0.003741"
"0.8","429.1","0.8542","430","0.003858"
"0.85","428.2","0.8174","429","0.003974"
"0.9","426.3","0.7839","427","0.004091"
"0.95","423.5","0.7534","424.2","0.004208"
"1","420.1","0.7254","420.8","0.004327"
"1.25","398.3","0.614","399","0.004936"
"1.5","375.6","0.5345","376.2","0.005582"
"1.75","355.4","0.4748","355.9","0.006265"
"2","338.2","0.428","338.6","0.006986"
"2.25","323.5","0.3903","323.9","0.007741"
"2.5","310.9","0.3592","311.3","0.008529"
"2.75","299.9","0.3331","300.3","0.009347"
"3","290.2","0.3108","290.5","0.01019"
"3.5","273.7","0.2747","273.9","0.01197"
"4","259.9","0.2467","260.1","0.01384"
"4.5","248","0.2242","248.2","0.01581"
"5","237.5","0.2057","237.7","0.01787"
"5.5","228.2","0.1903","228.4","0.02002"
"6","219.8","0.1772","219.9","0.02225"
"6.5","212.1","0.1659","212.3","0.02456"
"7","205.1","0.156","205.2","0.02696"
"7.5","198.6","0.1474","198.7","0.02943"
"8","192.6","0.1397","192.7","0.03199"
"8.5","187","0.1328","187.1","0.03462"
"9","181.8","0.1266","181.9","0.03733"
"9.5","176.9","0.121","177","0.04012"
"10","172.3","0.1159","172.4","0.04298"
