"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","26.33","64.88","91.21","1.242E-05"
"0.0015","34.68","64.43","99.11","1.767E-05"
"0.002","42.16","62.99","105.1","2.256E-05"
"0.0025","49.06","61.23","110.3","2.72E-05"
"0.003","55.52","59.39","114.9","3.164E-05"
"0.004","67.5","55.84","123.3","4.004E-05"
"0.005","78.54","52.62","131.2","4.79E-05"
"0.006","88.89","49.76","138.7","5.531E-05"
"0.007","98.7","47.22","145.9","6.234E-05"
"0.008","108.1","44.96","153","6.903E-05"
"0.009","117.1","42.93","160","7.542E-05"
"0.01","125.7","41.11","166.8","8.154E-05"
"0.0125","146.3","37.25","183.6","9.582E-05"
"0.015","165.6","34.16","199.7","0.0001089"
"0.0175","183.8","31.61","215.4","0.0001209"
"0.02","201.2","29.47","230.7","0.0001321"
"0.0225","217.9","27.65","245.6","0.0001426"
"0.025","234.1","26.07","260.1","0.0001525"
"0.0275","249.7","24.69","274.3","0.0001619"
"0.03","264.8","23.46","288.3","0.0001708"
"0.035","293.9","21.4","315.3","0.0001873"
"0.04","321.6","19.71","341.3","0.0002026"
"0.045","348.1","18.3","366.4","0.0002167"
"0.05","373.7","17.1","390.8","0.0002299"
"0.055","398.4","16.07","414.4","0.0002423"
"0.06","422.2","15.18","437.4","0.0002541"
"0.065","445.4","14.39","459.8","0.0002652"
"0.07","467.9","13.68","481.6","0.0002758"
"0.075","489.9","13.06","502.9","0.000286"
"0.08","511.2","12.49","523.7","0.0002957"
"0.085","532.1","11.98","544.1","0.0003051"
"0.09","552.4","11.51","563.9","0.0003141"
"0.095","572.3","11.08","583.4","0.0003229"
"0.1","591.8","10.68","602.5","0.0003313"
"0.125","683.1","9.025","692.1","0.00037"
"0.15","765.6","7.901","773.5","0.0004041"
"0.175","840.5","7.048","847.6","0.0004349"
"0.2","908.5","6.375","914.9","0.0004633"
"0.225","970","5.831","975.9","0.0004897"
"0.25","1026","5.38","1031","0.0005146"
"0.275","1075","4.999","1080","0.0005383"
"0.3","1120","4.673","1125","0.000561"
"0.35","1194","4.143","1198","0.000604"
"0.4","1251","3.73","1255","0.0006447"
"0.45","1292","3.397","1296","0.0006839"
"0.5","1321","3.123","1324","0.000722"
"0.55","1339","2.894","1342","0.0007595"
"0.6","1348","2.698","1350","0.0007966"
"0.65","1350","2.529","1352","0.0008336"
"0.7","1346","2.381","1348","0.0008707"
"0.75","1338","2.251","1341","0.0009078"
"0.8","1327","2.136","1330","0.0009453"
"0.85","1314","2.032","1316","0.0009831"
"0.9","1299","1.939","1301","0.001021"
"0.95","1283","1.855","1285","0.00106"
"1","1266","1.778","1268","0.001099"
"1.25","1180","1.479","1181","0.001303"
"1.5","1100","1.27","1101","0.001523"
"1.75","1030","1.116","1031","0.001758"
"2","969.1","0.9976","970.1","0.002008"
"2.25","916.4","0.9031","917.3","0.002273"
"2.5","870.1","0.826","870.9","0.002553"
"2.75","829","0.7617","829.7","0.002847"
"3","792.2","0.7073","792.9","0.003155"
"3.5","729","0.6201","729.6","0.003813"
"4","676.3","0.553","676.9","0.004525"
"4.5","631.7","0.4997","632.2","0.00529"
"5","593.2","0.4564","593.6","0.006107"
"5.5","559.6","0.4203","560.1","0.006975"
"6","530.1","0.3898","530.5","0.007892"
"6.5","503.8","0.3637","504.2","0.008859"
"7","480.3","0.341","480.7","0.009875"
"7.5","459.1","0.3211","459.5","0.01094"
"8","439.9","0.3036","440.2","0.01205"
"8.5","422.4","0.288","422.7","0.01321"
"9","406.4","0.274","406.7","0.01442"
"9.5","391.7","0.2613","392","0.01567"
"10","378.1","0.2499","378.4","0.01697"
