"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","47.32","73.96","121.3","1.066E-05"
"0.0015","61.63","72.54","134.2","1.455E-05"
"0.002","74.34","70.31","144.7","1.814E-05"
"0.0025","85.98","67.94","153.9","2.149E-05"
"0.003","96.82","65.62","162.4","2.465E-05"
"0.004","116.8","61.37","178.2","3.052E-05"
"0.005","135.1","57.67","192.7","3.592E-05"
"0.006","152.1","54.45","206.6","4.092E-05"
"0.007","168.2","51.63","219.8","4.562E-05"
"0.008","183.4","49.13","232.6","5.004E-05"
"0.009","198.1","46.91","245","5.423E-05"
"0.01","212.1","44.92","257","5.821E-05"
"0.0125","245.3","40.72","286","6.742E-05"
"0.015","276.1","37.35","313.5","7.577E-05"
"0.0175","305.2","34.57","339.7","8.342E-05"
"0.02","332.7","32.24","365","9.052E-05"
"0.0225","359.1","30.24","389.3","9.715E-05"
"0.025","384.4","28.51","412.9","0.0001034"
"0.0275","408.7","27","435.7","0.0001093"
"0.03","432.2","25.66","457.9","0.0001149"
"0.035","477","23.39","500.4","0.0001253"
"0.04","519.3","21.53","540.8","0.0001349"
"0.045","559.4","19.98","579.3","0.0001438"
"0.05","597.5","18.66","616.2","0.0001522"
"0.055","633.9","17.53","651.4","0.0001601"
"0.06","668.6","16.54","685.2","0.0001676"
"0.065","701.9","15.67","717.6","0.0001747"
"0.07","733.7","14.89","748.6","0.0001815"
"0.075","764.3","14.2","778.5","0.0001881"
"0.08","793.5","13.57","807.1","0.0001944"
"0.085","821.6","13.01","834.6","0.0002005"
"0.09","848.5","12.49","861","0.0002064"
"0.095","874.4","12.02","886.4","0.0002121"
"0.1","899.1","11.59","910.7","0.0002177"
"0.125","1008","9.85","1018","0.0002436"
"0.15","1097","8.603","1105","0.0002671"
"0.175","1168","7.66","1175","0.000289"
"0.2","1225","6.918","1232","0.0003097"
"0.225","1270","6.318","1277","0.0003297"
"0.25","1307","5.822","1312","0.000349"
"0.275","1336","5.405","1341","0.0003678"
"0.3","1359","5.047","1364","0.0003863"
"0.35","1390","4.468","1395","0.0004225"
"0.4","1408","4.016","1412","0.0004581"
"0.45","1416","3.653","1420","0.0004934"
"0.5","1417","3.355","1420","0.0005286"
"0.55","1413","3.105","1416","0.0005639"
"0.6","1405","2.893","1408","0.0005993"
"0.65","1395","2.709","1398","0.0006349"
"0.7","1383","2.549","1386","0.0006708"
"0.75","1370","2.409","1372","0.0007071"
"0.8","1356","2.284","1358","0.0007437"
"0.85","1341","2.172","1343","0.0007807"
"0.9","1326","2.071","1328","0.0008181"
"0.95","1310","1.98","1312","0.000856"
"1","1295","1.897","1296","0.0008944"
"1.25","1218","1.574","1219","0.001093"
"1.5","1146","1.35","1148","0.001305"
"1.75","1081","1.185","1082","0.001529"
"2","1023","1.058","1024","0.001767"
"2.25","970.6","0.9568","971.5","0.002017"
"2.5","923.9","0.8743","924.8","0.002281"
"2.75","881.4","0.8057","882.2","0.002558"
"3","842.4","0.7476","843.2","0.002848"
"3.5","773.1","0.6546","773.8","0.003468"
"4","713.1","0.5832","713.7","0.004141"
"4.5","661.2","0.5266","661.8","0.004869"
"5","617.4","0.4805","617.9","0.005651"
"5.5","579.7","0.4422","580.2","0.006487"
"6","547","0.4098","547.4","0.007375"
"6.5","518.2","0.3821","518.6","0.008314"
"7","492.7","0.3581","493.1","0.009303"
"7.5","470","0.3371","470.3","0.01034"
"8","449.5","0.3185","449.8","0.01143"
"8.5","430.9","0.302","431.2","0.01256"
"9","414","0.2872","414.3","0.01375"
"9.5","398.6","0.2738","398.9","0.01498"
"10","384.4","0.2617","384.7","0.01625"
