"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","39.27","8.561","47.83","3.679E-05"
"0.0015","46.95","9.243","56.19","4.641E-05"
"0.002","53.3","9.643","62.94","5.48E-05"
"0.0025","58.81","9.893","68.7","6.239E-05"
"0.003","63.73","10.05","73.78","6.941E-05"
"0.004","72.34","10.2","82.54","8.22E-05"
"0.005","79.82","10.23","90.05","9.378E-05"
"0.006","86.49","10.19","96.68","0.0001045"
"0.007","92.57","10.11","102.7","0.0001145"
"0.008","98.18","10","108.2","0.000124"
"0.009","103.4","9.883","113.3","0.000133"
"0.01","108.3","9.756","118.1","0.0001417"
"0.0125","119.5","9.424","128.9","0.0001619"
"0.015","129.5","9.094","138.6","0.0001806"
"0.0175","138.6","8.778","147.4","0.0001981"
"0.02","147","8.479","155.4","0.0002146"
"0.0225","154.8","8.2","163","0.0002303"
"0.025","162.1","7.94","170","0.0002453"
"0.0275","169","7.696","176.7","0.0002597"
"0.03","175.6","7.469","183.1","0.0002736"
"0.035","187.9","7.058","194.9","0.0003001"
"0.04","199.2","6.695","205.9","0.000325"
"0.045","209.7","6.374","216.1","0.0003487"
"0.05","219.5","6.087","225.6","0.0003714"
"0.055","228.8","5.829","234.7","0.0003931"
"0.06","237.6","5.595","243.2","0.000414"
"0.065","246","5.382","251.4","0.0004342"
"0.07","254","5.188","259.2","0.0004538"
"0.075","261.7","5.009","266.7","0.0004728"
"0.08","269","4.845","273.9","0.0004913"
"0.085","276.1","4.692","280.8","0.0005094"
"0.09","282.9","4.551","287.5","0.000527"
"0.095","289.5","4.419","293.9","0.0005442"
"0.1","295.9","4.296","300.2","0.000561"
"0.125","324.9","3.783","328.7","0.0006405"
"0.15","350.2","3.394","353.6","0.0007138"
"0.175","372.6","3.087","375.7","0.0007823"
"0.2","392.5","2.837","395.3","0.0008471"
"0.225","410.4","2.63","413","0.000909"
"0.25","426.5","2.454","429","0.0009683"
"0.275","441.1","2.304","443.4","0.001026"
"0.3","454.2","2.172","456.4","0.001081"
"0.35","476.8","1.955","478.7","0.001188"
"0.4","495.1","1.781","496.8","0.001291"
"0.45","509.7","1.624","511.3","0.00139"
"0.5","521.2","1.506","522.7","0.001486"
"0.55","529.9","1.407","531.3","0.001581"
"0.6","536.3","1.32","537.6","0.001675"
"0.65","540.7","1.245","542","0.001767"
"0.7","543.4","1.179","544.6","0.001859"
"0.75","544.6","1.12","545.7","0.001951"
"0.8","544.5","1.067","545.5","0.002043"
"0.85","543.3","1.019","544.4","0.002134"
"0.9","541.3","0.9764","542.3","0.002226"
"0.95","538.6","0.9372","539.5","0.002319"
"1","535.3","0.9013","536.2","0.002412"
"1.25","513.2","0.7592","513.9","0.002888"
"1.5","487.8","0.6586","488.5","0.003386"
"1.75","463.1","0.5833","463.7","0.003912"
"2","440.5","0.5247","441","0.004465"
"2.25","420.2","0.4775","420.7","0.005045"
"2.5","402.1","0.4388","402.5","0.005653"
"2.75","385.9","0.4063","386.3","0.006287"
"3","371.3","0.3786","371.7","0.006947"
"3.5","346.1","0.334","346.4","0.008342"
"4","324.9","0.2993","325.2","0.009833"
"4.5","306.8","0.2717","307.1","0.01142"
"5","291","0.249","291.3","0.01309"
"5.5","277.1","0.2301","277.3","0.01485"
"6","264.7","0.214","264.9","0.01669"
"6.5","253.5","0.2002","253.7","0.01862"
"7","243.4","0.1881","243.6","0.02063"
"7.5","234.1","0.1775","234.3","0.02273"
"8","225.7","0.1682","225.9","0.0249"
"8.5","217.9","0.1598","218.1","0.02716"
"9","210.7","0.1523","210.9","0.02949"
"9.5","204","0.1455","204.2","0.0319"
"10","197.8","0.1393","198","0.03439"
