"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","27.39","11.95","39.34","4.139E-05"
"0.0015","33.96","12.75","46.71","5.294E-05"
"0.002","39.55","13.17","52.72","6.3E-05"
"0.0025","44.52","13.39","57.91","7.203E-05"
"0.003","49.04","13.5","62.54","8.033E-05"
"0.004","57.11","13.53","70.64","9.535E-05"
"0.005","64.28","13.42","77.7","0.0001088"
"0.006","70.8","13.24","84.04","0.0001212"
"0.007","76.82","13.04","89.86","0.0001327"
"0.008","82.45","12.82","95.27","0.0001435"
"0.009","87.76","12.6","100.4","0.0001537"
"0.01","92.79","12.38","105.2","0.0001634"
"0.0125","104.4","11.84","116.3","0.000186"
"0.015","115","11.34","126.3","0.0002066"
"0.0175","124.8","10.89","135.7","0.0002257"
"0.02","133.9","10.47","144.4","0.0002436"
"0.0225","142.5","10.09","152.6","0.0002604"
"0.025","150.6","9.744","160.4","0.0002764"
"0.0275","158.4","9.423","167.8","0.0002916"
"0.03","165.8","9.126","175","0.0003062"
"0.035","179.8","8.595","188.4","0.0003337"
"0.04","192.9","8.133","201","0.0003594"
"0.045","205.2","7.726","212.9","0.0003836"
"0.05","216.8","7.365","224.2","0.0004064"
"0.055","227.8","7.042","234.9","0.0004282"
"0.06","238.4","6.751","245.1","0.0004491"
"0.065","248.4","6.486","254.9","0.0004691"
"0.07","258.1","6.245","264.4","0.0004883"
"0.075","267.4","6.024","273.5","0.0005069"
"0.08","276.4","5.821","282.3","0.0005249"
"0.085","285.1","5.633","290.7","0.0005424"
"0.09","293.5","5.458","299","0.0005593"
"0.095","301.6","5.296","306.9","0.0005758"
"0.1","309.5","5.144","314.7","0.0005919"
"0.125","345.7","4.515","350.2","0.0006671"
"0.15","377.3","4.039","381.3","0.0007354"
"0.175","405.3","3.664","408.9","0.0007987"
"0.2","430.1","3.36","433.4","0.000858"
"0.225","452.1","3.108","455.2","0.0009143"
"0.25","471.8","2.895","474.7","0.000968"
"0.275","489.3","2.712","492","0.00102"
"0.3","504.8","2.554","507.3","0.00107"
"0.35","530.7","2.291","533","0.001166"
"0.4","550.9","2.082","553","0.001258"
"0.45","566.3","1.912","568.2","0.001347"
"0.5","577.9","1.77","579.6","0.001434"
"0.55","586.3","1.649","588","0.00152"
"0.6","592.2","1.545","593.8","0.001604"
"0.65","596.1","1.455","597.6","0.001688"
"0.7","598.4","1.375","599.7","0.001772"
"0.75","599.3","1.305","600.6","0.001855"
"0.8","599.1","1.242","600.4","0.001938"
"0.85","598.1","1.185","599.3","0.002022"
"0.9","596.4","1.134","597.6","0.002105"
"0.95","594.2","1.088","595.3","0.002189"
"1","591.5","1.045","592.5","0.002273"
"1.25","573.8","0.8769","574.6","0.002701"
"1.5","552.8","0.7585","553.6","0.003144"
"1.75","531.2","0.6703","531.9","0.003605"
"2","510.1","0.6017","510.7","0.004085"
"2.25","488.3","0.5467","488.9","0.004585"
"2.5","467","0.5016","467.5","0.005108"
"2.75","447","0.4639","447.5","0.005655"
"3","428.6","0.4318","429","0.006225"
"3.5","396.3","0.3801","396.7","0.007439"
"4","369.4","0.3401","369.7","0.008745"
"4.5","346.8","0.3082","347.1","0.01014"
"5","327.7","0.2821","328","0.01162"
"5.5","311.4","0.2604","311.7","0.01319"
"6","297.1","0.2419","297.3","0.01483"
"6.5","283.9","0.2261","284.2","0.01655"
"7","271.9","0.2123","272.1","0.01835"
"7.5","260.8","0.2002","261","0.02023"
"8","250.6","0.1895","250.8","0.02218"
"8.5","241.7","0.18","241.9","0.02421"
"9","233.6","0.1714","233.7","0.02632"
"9.5","226","0.1636","226.2","0.02849"
"10","218.9","0.1566","219.1","0.03074"
