"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","48.98","18.07","67.05","2.226E-05"
"0.0015","59.51","18.98","78.49","2.914E-05"
"0.002","68.33","19.39","87.72","3.515E-05"
"0.0025","76.06","19.54","95.6","4.06E-05"
"0.003","83.02","19.55","102.6","4.565E-05"
"0.004","95.32","19.34","114.7","5.485E-05"
"0.005","106.1","18.98","125.1","6.319E-05"
"0.006","115.8","18.56","134.4","7.09E-05"
"0.007","124.7","18.12","142.8","7.811E-05"
"0.008","133","17.68","150.7","8.492E-05"
"0.009","140.7","17.25","158","9.14E-05"
"0.01","148","16.83","164.8","9.76E-05"
"0.0125","164.7","15.87","180.6","0.0001121"
"0.015","179.8","15","194.8","0.0001254"
"0.0175","193.6","14.24","207.8","0.0001378"
"0.02","206.4","13.56","219.9","0.0001495"
"0.0225","218.3","12.95","231.3","0.0001606"
"0.025","229.6","12.4","242","0.0001711"
"0.0275","240.3","11.9","252.2","0.0001813"
"0.03","250.5","11.45","262","0.000191"
"0.035","269.6","10.66","280.3","0.0002094"
"0.04","287.3","9.981","297.3","0.0002267"
"0.045","303.9","9.4","313.3","0.0002431"
"0.05","319.4","8.893","328.3","0.0002587"
"0.055","334.2","8.446","342.6","0.0002736"
"0.06","348.2","8.049","356.2","0.0002879"
"0.065","361.5","7.693","369.2","0.0003017"
"0.07","374.3","7.372","381.7","0.000315"
"0.075","386.6","7.081","393.7","0.0003279"
"0.08","398.4","6.815","405.2","0.0003404"
"0.085","409.7","6.572","416.3","0.0003526"
"0.09","420.7","6.347","427.1","0.0003645"
"0.095","431.3","6.14","437.5","0.000376"
"0.1","441.6","5.948","447.5","0.0003873"
"0.125","488.5","5.163","493.7","0.0004404"
"0.15","529.5","4.581","534","0.0004891"
"0.175","565.6","4.131","569.7","0.0005344"
"0.2","597.7","3.77","601.4","0.0005771"
"0.225","626.3","3.474","629.8","0.0006177"
"0.25","651.9","3.226","655.1","0.0006566"
"0.275","674.8","2.987","677.8","0.0006941"
"0.3","695.2","2.806","698","0.0007304"
"0.35","729.5","2.509","732","0.0008003"
"0.4","756.2","2.275","758.5","0.0008673"
"0.45","776.5","2.084","778.6","0.0009323"
"0.5","791.3","1.925","793.2","0.0009959"
"0.55","801.4","1.791","803.2","0.001059"
"0.6","807.6","1.676","809.3","0.001121"
"0.65","810.4","1.576","812","0.001182"
"0.7","810.5","1.489","812","0.001244"
"0.75","808.4","1.411","809.8","0.001305"
"0.8","804.4","1.342","805.7","0.001367"
"0.85","798.9","1.28","800.2","0.00143"
"0.9","792.3","1.224","793.5","0.001492"
"0.95","784.7","1.173","785.9","0.001556"
"1","776.5","1.126","777.6","0.00162"
"1.25","730.4","0.9432","731.4","0.001951"
"1.5","684.2","0.8147","685","0.002304"
"1.75","642.3","0.7192","643","0.002681"
"2","605.5","0.645","606.2","0.003082"
"2.25","573.4","0.5857","574","0.003506"
"2.5","545.4","0.5371","545.9","0.003952"
"2.75","520.6","0.4965","521.1","0.004421"
"3","498.6","0.462","499.1","0.004912"
"3.5","461","0.4064","461.4","0.005955"
"4","429.9","0.3635","430.3","0.007078"
"4.5","403.6","0.3293","403.9","0.008278"
"5","380.8","0.3013","381.1","0.009553"
"5.5","360.9","0.278","361.2","0.0109"
"6","343.4","0.2583","343.6","0.01232"
"6.5","327.7","0.2413","327.9","0.01381"
"7","313.5","0.2266","313.8","0.01537"
"7.5","300.7","0.2136","300.9","0.017"
"8","289.1","0.2022","289.3","0.01869"
"8.5","278.4","0.192","278.6","0.02045"
"9","268.6","0.1828","268.8","0.02228"
"9.5","259.5","0.1745","259.7","0.02418"
"10","251.1","0.167","251.3","0.02613"
