"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","24.94","6.538","31.48","5.661E-05"
"0.0015","29.96","7.118","37.08","7.121E-05"
"0.002","34.13","7.475","41.6","8.391E-05"
"0.0025","37.75","7.71","45.46","9.539E-05"
"0.003","41","7.869","48.87","0.000106"
"0.004","46.69","8.05","54.75","0.0001253"
"0.005","51.65","8.125","59.78","0.0001427"
"0.006","56.09","8.138","64.23","0.0001589"
"0.007","60.14","8.114","68.26","0.000174"
"0.008","63.88","8.067","71.95","0.0001882"
"0.009","67.38","8.003","75.38","0.0002018"
"0.01","70.67","7.93","78.59","0.0002148"
"0.0125","78.16","7.722","85.89","0.0002452"
"0.015","84.88","7.502","92.38","0.0002732"
"0.0175","91","7.283","98.28","0.0002994"
"0.02","96.66","7.07","103.7","0.0003242"
"0.0225","101.9","6.868","108.8","0.0003477"
"0.025","106.9","6.676","113.6","0.0003702"
"0.0275","111.6","6.494","118.1","0.0003918"
"0.03","116.1","6.322","122.4","0.0004126"
"0.035","124.4","6.007","130.4","0.0004521"
"0.04","132.1","5.725","137.8","0.0004894"
"0.045","139.3","5.472","144.8","0.0005248"
"0.05","146.1","5.244","151.3","0.0005586"
"0.055","152.4","5.037","157.5","0.0005909"
"0.06","158.5","4.848","163.3","0.0006221"
"0.065","164.3","4.676","168.9","0.0006522"
"0.07","169.8","4.517","174.3","0.0006813"
"0.075","175.1","4.37","179.5","0.0007096"
"0.08","180.2","4.235","184.4","0.0007371"
"0.085","185.1","4.109","189.2","0.0007638"
"0.09","189.9","3.991","193.9","0.0007899"
"0.095","194.5","3.881","198.3","0.0008154"
"0.1","198.9","3.778","202.7","0.0008404"
"0.125","219.3","3.346","222.7","0.0009579"
"0.15","237.3","3.015","240.3","0.001066"
"0.175","253.4","2.751","256.2","0.001167"
"0.2","268","2.536","270.5","0.001261"
"0.225","281.2","2.356","283.5","0.001352"
"0.25","293.3","2.203","295.5","0.001438"
"0.275","304.3","2.071","306.4","0.001521"
"0.3","314.5","1.956","316.5","0.001601"
"0.35","332.5","1.765","334.3","0.001755"
"0.4","347.7","1.611","349.3","0.001901"
"0.45","360.5","1.485","362","0.002042"
"0.5","371.2","1.38","372.6","0.002178"
"0.55","380","1.278","381.3","0.00231"
"0.6","387.2","1.201","388.4","0.00244"
"0.65","392.8","1.134","394","0.002568"
"0.7","397.2","1.074","398.3","0.002694"
"0.75","400.4","1.021","401.4","0.002819"
"0.8","402.5","0.9741","403.5","0.002944"
"0.85","403.8","0.9314","404.7","0.003067"
"0.9","404.3","0.8927","405.2","0.003191"
"0.95","404.1","0.8573","404.9","0.003314"
"1","403.3","0.8249","404.1","0.003438"
"1.25","393.3","0.6964","394","0.004063"
"1.5","378.1","0.6052","378.7","0.00471"
"1.75","361.6","0.5368","362.2","0.005385"
"2","345.8","0.4833","346.3","0.006091"
"2.25","331.3","0.4403","331.7","0.006829"
"2.5","318.2","0.4049","318.6","0.007598"
"2.75","306.4","0.3752","306.8","0.008398"
"3","295.9","0.3498","296.2","0.009227"
"3.5","277.8","0.3089","278.1","0.01097"
"4","262.7","0.2771","263","0.01282"
"4.5","249.9","0.2517","250.2","0.01477"
"5","238.8","0.2308","239","0.01682"
"5.5","229","0.2134","229.2","0.01895"
"6","220.2","0.1985","220.4","0.02118"
"6.5","212.3","0.1858","212.5","0.02349"
"7","205.1","0.1747","205.2","0.02588"
"7.5","198.4","0.1649","198.6","0.02836"
"8","192.3","0.1563","192.5","0.03092"
"8.5","186.6","0.1485","186.8","0.03356"
"9","181.3","0.1416","181.5","0.03627"
"9.5","176.4","0.1353","176.5","0.03907"
"10","171.8","0.1296","171.9","0.04194"
