"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","35.13","7.894","43.03","4.124E-05"
"0.0015","41.9","8.544","50.45","5.194E-05"
"0.002","47.48","8.931","56.41","6.13E-05"
"0.0025","52.32","9.177","61.49","6.977E-05"
"0.003","56.63","9.335","65.96","7.762E-05"
"0.004","64.17","9.498","73.66","9.194E-05"
"0.005","70.7","9.542","80.24","0.0001049"
"0.006","76.52","9.519","86.04","0.0001169"
"0.007","81.82","9.458","91.28","0.0001282"
"0.008","86.71","9.372","96.08","0.0001389"
"0.009","91.26","9.272","100.5","0.0001491"
"0.01","95.53","9.162","104.7","0.0001588"
"0.0125","105.2","8.871","114.1","0.0001817"
"0.015","113.9","8.577","122.5","0.0002028"
"0.0175","121.8","8.293","130.1","0.0002226"
"0.02","129.1","8.022","137.1","0.0002413"
"0.0225","135.8","7.768","143.6","0.0002591"
"0.025","142.2","7.53","149.7","0.0002762"
"0.0275","148.1","7.306","155.5","0.0002925"
"0.03","153.8","7.097","160.9","0.0003083"
"0.035","164.4","6.717","171.2","0.0003385"
"0.04","174.2","6.38","180.6","0.0003669"
"0.045","183.3","6.081","189.4","0.0003939"
"0.05","191.8","5.813","197.6","0.0004198"
"0.055","199.8","5.571","205.4","0.0004446"
"0.06","207.4","5.352","212.7","0.0004685"
"0.065","214.6","5.152","219.8","0.0004916"
"0.07","221.5","4.969","226.5","0.000514"
"0.075","228.1","4.801","232.9","0.0005358"
"0.08","234.5","4.646","239.1","0.000557"
"0.085","240.6","4.502","245.1","0.0005776"
"0.09","246.5","4.368","250.9","0.0005978"
"0.095","252.2","4.243","256.4","0.0006175"
"0.1","257.7","4.126","261.8","0.0006368"
"0.125","282.9","3.64","286.5","0.000728"
"0.15","304.9","3.269","308.1","0.000812"
"0.175","324.4","2.976","327.4","0.0008907"
"0.2","341.9","2.738","344.6","0.0009651"
"0.225","357.7","2.539","360.3","0.001036"
"0.25","372.1","2.371","374.4","0.001104"
"0.275","385.1","2.227","387.4","0.00117"
"0.3","397","2.101","399.1","0.001233"
"0.35","417.8","1.892","419.7","0.001355"
"0.4","435","1.725","436.8","0.001472"
"0.45","449.2","1.588","450.8","0.001585"
"0.5","460.8","1.46","462.3","0.001694"
"0.55","470.1","1.363","471.4","0.001801"
"0.6","477.3","1.28","478.6","0.001906"
"0.65","482.8","1.208","484","0.00201"
"0.7","486.7","1.144","487.8","0.002113"
"0.75","489.2","1.087","490.3","0.002215"
"0.8","490.6","1.036","491.6","0.002317"
"0.85","490.9","0.9898","491.9","0.002419"
"0.9","490.3","0.9482","491.3","0.00252"
"0.95","489","0.9102","489.9","0.002622"
"1","487.1","0.8755","488","0.002725"
"1.25","470.9","0.7379","471.7","0.003245"
"1.5","449.8","0.6405","450.4","0.003787"
"1.75","428.1","0.5675","428.6","0.004356"
"2","407.6","0.5106","408.1","0.004954"
"2.25","389","0.4648","389.4","0.005581"
"2.5","372.3","0.4272","372.7","0.006238"
"2.75","357.4","0.3957","357.8","0.006923"
"3","344","0.3688","344.4","0.007635"
"3.5","321.1","0.3254","321.4","0.009139"
"4","302.1","0.2917","302.4","0.01074"
"4.5","285.9","0.2648","286.2","0.01245"
"5","272","0.2427","272.2","0.01424"
"5.5","259.7","0.2243","259.9","0.01612"
"6","248.8","0.2087","249","0.01808"
"6.5","238.9","0.1952","239.1","0.02013"
"7","230","0.1835","230.2","0.02227"
"7.5","221.9","0.1732","222.1","0.02448"
"8","214.4","0.1641","214.6","0.02677"
"8.5","207.5","0.1559","207.7","0.02914"
"9","201.1","0.1486","201.3","0.03158"
"9.5","195.2","0.142","195.3","0.03411"
"10","189.6","0.1359","189.8","0.0367"
