"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","17.23","10.62","27.84","5.811E-05"
"0.0015","22.33","11.36","33.68","7.44E-05"
"0.002","26.84","11.76","38.6","8.823E-05"
"0.0025","30.96","11.99","42.96","0.0001005"
"0.003","34.8","12.12","46.91","0.0001116"
"0.004","41.83","12.19","54.02","0.0001314"
"0.005","48.25","12.13","60.38","0.0001489"
"0.006","54.22","12.01","66.23","0.0001647"
"0.007","59.84","11.84","71.68","0.0001792"
"0.008","65.18","11.66","76.84","0.0001927"
"0.009","70.28","11.47","81.75","0.0002053"
"0.01","75.17","11.28","86.45","0.0002172"
"0.0125","86.7","10.8","97.5","0.0002444"
"0.015","97.41","10.34","107.8","0.0002688"
"0.0175","107.5","9.923","117.4","0.000291"
"0.02","117.1","9.534","126.6","0.0003115"
"0.0225","126.2","9.177","135.4","0.0003306"
"0.025","134.9","8.849","143.8","0.0003485"
"0.0275","143.4","8.546","151.9","0.0003654"
"0.03","151.5","8.267","159.8","0.0003814"
"0.035","167.1","7.767","174.9","0.0004113"
"0.04","181.8","7.332","189.2","0.0004388"
"0.045","195.9","6.952","202.8","0.0004643"
"0.05","209.3","6.615","215.9","0.0004882"
"0.055","222.1","6.314","228.4","0.0005107"
"0.06","234.5","6.044","240.6","0.000532"
"0.065","246.4","5.8","252.2","0.0005523"
"0.07","258","5.578","263.5","0.0005717"
"0.075","269.1","5.375","274.5","0.0005903"
"0.08","279.9","5.189","285.1","0.0006082"
"0.085","290.4","5.017","295.4","0.0006254"
"0.09","300.5","4.858","305.4","0.000642"
"0.095","310.3","4.71","315","0.0006582"
"0.1","319.9","4.573","324.5","0.0006738"
"0.125","363.7","4.004","367.7","0.0007461"
"0.15","401.7","3.577","405.3","0.0008107"
"0.175","434.6","3.242","437.8","0.00087"
"0.2","462.9","2.972","465.9","0.0009253"
"0.225","487.2","2.749","489.9","0.0009776"
"0.25","507.8","2.56","510.4","0.001028"
"0.275","525.3","2.399","527.7","0.001076"
"0.3","540","2.259","542.3","0.001122"
"0.35","562.5","2.027","564.6","0.001213"
"0.4","577.9","1.827","579.7","0.0013"
"0.45","588","1.678","589.7","0.001385"
"0.5","594.3","1.554","595.9","0.00147"
"0.55","597.9","1.449","599.4","0.001553"
"0.6","599.5","1.359","600.8","0.001637"
"0.65","599.6","1.28","600.8","0.00172"
"0.7","598.5","1.211","599.7","0.001803"
"0.75","596.6","1.149","597.8","0.001887"
"0.8","594.1","1.094","595.2","0.00197"
"0.85","591.1","1.045","592.1","0.002055"
"0.9","587.7","0.9998","588.7","0.002139"
"0.95","583.9","0.9591","584.9","0.002225"
"1","580","0.9218","580.9","0.00231"
"1.25","558","0.7747","558.8","0.002749"
"1.5","534.9","0.6709","535.5","0.003206"
"1.75","512.1","0.5935","512.7","0.003683"
"2","490.3","0.5332","490.8","0.004182"
"2.25","469.8","0.4849","470.3","0.004702"
"2.5","450.7","0.4452","451.2","0.005245"
"2.75","433","0.4119","433.4","0.00581"
"3","416.5","0.3837","416.9","0.006398"
"3.5","387","0.338","387.3","0.007644"
"4","361.4","0.3028","361.7","0.00898"
"4.5","339.1","0.2746","339.4","0.01041"
"5","319.6","0.2515","319.8","0.01193"
"5.5","302.3","0.2323","302.5","0.01353"
"6","286.9","0.2159","287.1","0.01523"
"6.5","273.1","0.2019","273.3","0.01702"
"7","260.7","0.1897","260.9","0.01889"
"7.5","249.4","0.179","249.6","0.02085"
"8","239.2","0.1695","239.4","0.0229"
"8.5","229.9","0.161","230","0.02503"
"9","221.3","0.1534","221.4","0.02724"
"9.5","213.4","0.1465","213.5","0.02954"
"10","206.1","0.1402","206.2","0.03193"
