"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","59.24","39.07","98.31","1.506E-05"
"0.0015","72.81","39.54","112.4","1.978E-05"
"0.002","84.28","39.23","123.5","2.402E-05"
"0.0025","94.41","38.6","133","2.791E-05"
"0.003","103.6","37.86","141.4","3.156E-05"
"0.004","119.9","36.26","156.2","3.827E-05"
"0.005","134.3","34.72","169","4.442E-05"
"0.006","147.4","33.28","180.6","5.014E-05"
"0.007","159.4","31.96","191.3","5.552E-05"
"0.008","170.6","30.76","201.3","6.061E-05"
"0.009","181.1","29.65","210.8","6.546E-05"
"0.01","191.1","28.64","219.7","7.011E-05"
"0.0125","214","26.43","240.4","8.098E-05"
"0.015","234.7","24.59","259.3","9.098E-05"
"0.0175","253.8","23.04","276.9","0.0001003"
"0.02","271.6","21.7","293.3","0.0001091"
"0.0225","288.3","20.53","308.9","0.0001174"
"0.025","304.1","19.5","323.6","0.0001253"
"0.0275","319.1","18.59","337.7","0.0001328"
"0.03","333.5","17.77","351.3","0.0001401"
"0.035","360.5","16.36","376.8","0.0001538"
"0.04","385.5","15.18","400.7","0.0001667"
"0.045","409","14.19","423.2","0.0001788"
"0.05","431.2","13.33","444.5","0.0001904"
"0.055","452.2","12.59","464.8","0.0002014"
"0.06","472.2","11.93","484.2","0.0002119"
"0.065","491.4","11.35","502.7","0.000222"
"0.07","509.7","10.83","520.5","0.0002318"
"0.075","527.3","10.36","537.7","0.0002412"
"0.08","544.3","9.932","554.2","0.0002504"
"0.085","560.6","9.544","570.2","0.0002593"
"0.09","576.4","9.189","585.6","0.000268"
"0.095","591.7","8.862","600.5","0.0002764"
"0.1","606.5","8.561","615","0.0002846"
"0.125","674.2","7.343","681.5","0.0003232"
"0.15","733.1","6.455","739.6","0.0003583"
"0.175","785","5.777","790.8","0.000391"
"0.2","831","5.239","836.2","0.0004217"
"0.225","871.7","4.802","876.5","0.0004509"
"0.25","907.9","4.438","912.3","0.0004788"
"0.275","940","4.13","944.1","0.0005058"
"0.3","968.3","3.865","972.2","0.0005319"
"0.35","1015","3.434","1019","0.000582"
"0.4","1051","3.096","1054","0.0006303"
"0.45","1077","2.824","1080","0.0006771"
"0.5","1095","2.599","1097","0.000723"
"0.55","1106","2.41","1109","0.0007683"
"0.6","1112","2.248","1115","0.0008133"
"0.65","1114","2.109","1116","0.0008581"
"0.7","1112","1.987","1114","0.0009029"
"0.75","1107","1.879","1109","0.0009479"
"0.8","1100","1.784","1102","0.0009931"
"0.85","1092","1.698","1093","0.001039"
"0.9","1082","1.621","1083","0.001085"
"0.95","1071","1.551","1072","0.001131"
"1","1059","1.487","1060","0.001178"
"1.25","995.6","1.238","996.8","0.001421"
"1.5","933.7","1.064","934.7","0.00168"
"1.75","877.6","0.936","878.6","0.001956"
"2","827.9","0.8369","828.8","0.002249"
"2.25","785.2","0.7579","786","0.002559"
"2.5","747.8","0.6934","748.5","0.002885"
"2.75","714.5","0.6396","715.2","0.003227"
"3","684.5","0.5941","685","0.003584"
"3.5","631.9","0.5209","632.4","0.004345"
"4","587.1","0.4647","587.6","0.005165"
"4.5","548.3","0.42","548.7","0.006046"
"5","514.3","0.3836","514.7","0.006988"
"5.5","484.2","0.3534","484.6","0.007989"
"6","457.3","0.3278","457.6","0.009052"
"6.5","433.4","0.3058","433.7","0.01017"
"7","412.5","0.2868","412.8","0.01136"
"7.5","393.7","0.2701","393.9","0.0126"
"8","376.7","0.2554","377","0.01389"
"8.5","361.5","0.2422","361.7","0.01525"
"9","347.6","0.2304","347.8","0.01666"
"9.5","334.9","0.2198","335.1","0.01812"
"10","323.2","0.2102","323.5","0.01964"
