"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","13.93","5.45","19.38","8.676E-05"
"0.0015","17.43","5.965","23.39","0.0001102"
"0.002","20.43","6.289","26.72","0.0001301"
"0.0025","23.11","6.508","29.61","0.0001479"
"0.003","25.55","6.662","32.21","0.0001641"
"0.004","29.95","6.848","36.8","0.000193"
"0.005","33.88","6.939","40.82","0.0002188"
"0.006","37.47","6.975","44.44","0.0002423"
"0.007","40.8","6.976","47.77","0.0002639"
"0.008","43.92","6.954","50.87","0.0002842"
"0.009","46.87","6.917","53.78","0.0003033"
"0.01","49.67","6.869","56.54","0.0003215"
"0.0125","56.18","6.723","62.91","0.0003633"
"0.015","62.13","6.559","68.69","0.0004013"
"0.0175","67.64","6.391","74.04","0.0004364"
"0.02","72.81","6.224","79.04","0.000469"
"0.0225","77.7","6.063","83.76","0.0004997"
"0.025","82.34","5.908","88.25","0.0005288"
"0.0275","86.78","5.76","92.54","0.0005565"
"0.03","91.04","5.62","96.66","0.0005829"
"0.035","99.1","5.359","104.5","0.0006326"
"0.04","106.7","5.123","111.8","0.0006789"
"0.045","113.8","4.91","118.7","0.0007223"
"0.05","120.5","4.716","125.3","0.0007632"
"0.055","127","4.539","131.5","0.0008022"
"0.06","133.2","4.377","137.6","0.0008393"
"0.065","139.2","4.228","143.4","0.0008749"
"0.07","144.9","4.091","149","0.0009091"
"0.075","150.4","3.963","154.4","0.0009421"
"0.08","155.8","3.845","159.6","0.0009739"
"0.085","161","3.735","164.7","0.001005"
"0.09","166.1","3.632","169.7","0.001035"
"0.095","171","3.535","174.5","0.001064"
"0.1","175.8","3.445","179.2","0.001092"
"0.125","198","3.062","201.1","0.001224"
"0.15","217.9","2.767","220.7","0.001342"
"0.175","236","2.531","238.5","0.001451"
"0.2","252.5","2.337","254.8","0.001552"
"0.225","267.6","2.175","269.8","0.001648"
"0.25","281.5","2.036","283.5","0.001738"
"0.275","294.3","1.917","296.2","0.001824"
"0.3","306","1.812","307.8","0.001907"
"0.35","326.7","1.638","328.4","0.002064"
"0.4","344.1","1.498","345.6","0.002212"
"0.45","358.6","1.382","359.9","0.002354"
"0.5","370.4","1.285","371.7","0.002491"
"0.55","379.9","1.202","381.1","0.002623"
"0.6","387.4","1.12","388.5","0.002753"
"0.65","393.1","1.058","394.1","0.002881"
"0.7","397.2","1.003","398.2","0.003007"
"0.75","399.9","0.9547","400.9","0.003132"
"0.8","401.5","0.9109","402.4","0.003257"
"0.85","402.2","0.8714","403","0.003381"
"0.9","402","0.8355","402.8","0.003505"
"0.95","401.1","0.8028","401.9","0.003629"
"1","399.6","0.7728","400.4","0.003754"
"1.25","386.9","0.6534","387.6","0.004388"
"1.5","370.6","0.5685","371.2","0.005046"
"1.75","354.1","0.5047","354.6","0.005736"
"2","338.8","0.4548","339.3","0.006456"
"2.25","325","0.4146","325.4","0.007209"
"2.5","312.5","0.3814","312.8","0.007993"
"2.75","301.2","0.3536","301.5","0.008807"
"3","290.9","0.3298","291.3","0.009651"
"3.5","273","0.2914","273.3","0.01142"
"4","257.8","0.2616","258","0.01331"
"4.5","244.5","0.2377","244.7","0.0153"
"5","232.8","0.2181","233","0.01739"
"5.5","222.4","0.2017","222.6","0.01959"
"6","213","0.1877","213.2","0.02189"
"6.5","204.5","0.1757","204.7","0.02428"
"7","196.8","0.1652","197","0.02677"
"7.5","189.7","0.156","189.8","0.02936"
"8","183.2","0.1479","183.3","0.03204"
"8.5","177.1","0.1406","177.3","0.03481"
"9","171.5","0.134","171.6","0.03768"
"9.5","166.3","0.1281","166.4","0.04064"
"10","161.4","0.1227","161.5","0.04369"
