"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","30.2","7.247","37.45","4.774E-05"
"0.0015","36.11","7.868","43.97","6.003E-05"
"0.002","40.98","8.244","49.23","7.075E-05"
"0.0025","45.22","8.488","53.7","8.046E-05"
"0.003","49","8.649","57.65","8.944E-05"
"0.004","55.62","8.826","64.44","0.0001058"
"0.005","61.36","8.888","70.25","0.0001207"
"0.006","66.49","8.885","75.38","0.0001344"
"0.007","71.16","8.844","80","0.0001473"
"0.008","75.47","8.778","84.25","0.0001594"
"0.009","79.49","8.697","88.18","0.000171"
"0.01","83.26","8.606","91.87","0.0001821"
"0.0125","91.85","8.358","100.2","0.0002082"
"0.015","99.52","8.101","107.6","0.0002322"
"0.0175","106.5","7.848","114.4","0.0002547"
"0.02","112.9","7.607","120.5","0.000276"
"0.0225","118.9","7.378","126.3","0.0002963"
"0.025","124.6","7.161","131.7","0.0003157"
"0.0275","129.9","6.958","136.9","0.0003343"
"0.03","135","6.766","141.7","0.0003522"
"0.035","144.4","6.417","150.8","0.0003864"
"0.04","153.1","6.106","159.2","0.0004187"
"0.045","161.2","5.828","167","0.0004493"
"0.05","168.7","5.578","174.3","0.0004786"
"0.055","175.9","5.352","181.2","0.0005067"
"0.06","182.7","5.147","187.8","0.0005338"
"0.065","189.1","4.959","194.1","0.00056"
"0.07","195.3","4.787","200.1","0.0005854"
"0.075","201.2","4.628","205.8","0.00061"
"0.08","206.9","4.482","211.4","0.000634"
"0.085","212.3","4.345","216.7","0.0006573"
"0.09","217.6","4.219","221.8","0.0006801"
"0.095","222.7","4.1","226.8","0.0007024"
"0.1","227.6","3.99","231.6","0.0007243"
"0.125","250.1","3.526","253.6","0.0008273"
"0.15","269.8","3.172","272.9","0.0009222"
"0.175","287.2","2.892","290.1","0.001011"
"0.2","302.8","2.663","305.5","0.001095"
"0.225","316.9","2.472","319.4","0.001175"
"0.25","329.6","2.31","331.9","0.001252"
"0.275","341.2","2.17","343.4","0.001326"
"0.3","351.7","2.049","353.8","0.001397"
"0.35","370","1.847","371.8","0.001535"
"0.4","385","1.685","386.7","0.001667"
"0.45","397.3","1.552","398.8","0.001794"
"0.5","407.1","1.427","408.6","0.001918"
"0.55","414.9","1.334","416.3","0.002039"
"0.6","421","1.253","422.2","0.002158"
"0.65","425.4","1.183","426.6","0.002276"
"0.7","428.5","1.12","429.6","0.002393"
"0.75","430.4","1.065","431.5","0.002509"
"0.8","431.4","1.015","432.4","0.002625"
"0.85","431.5","0.9704","432.5","0.00274"
"0.9","430.9","0.9298","431.8","0.002856"
"0.95","429.7","0.8928","430.6","0.002972"
"1","428","0.8589","428.9","0.003088"
"1.25","414.8","0.7246","415.6","0.00368"
"1.5","398.3","0.6293","398.9","0.004294"
"1.75","381.6","0.5578","382.2","0.004934"
"2","366","0.5021","366.5","0.005602"
"2.25","351.8","0.4573","352.2","0.006298"
"2.5","338.8","0.4204","339.3","0.007021"
"2.75","327.1","0.3894","327.5","0.007772"
"3","316.5","0.363","316.8","0.008548"
"3.5","297.7","0.3204","298","0.01018"
"4","281.7","0.2874","282","0.0119"
"4.5","267.7","0.2609","268","0.01372"
"5","255.3","0.2392","255.6","0.01563"
"5.5","244.3","0.2211","244.5","0.01763"
"6","234.3","0.2057","234.5","0.01972"
"6.5","225.2","0.1925","225.4","0.0219"
"7","217","0.181","217.1","0.02416"
"7.5","209.3","0.1708","209.5","0.0265"
"8","202.3","0.1618","202.5","0.02893"
"8.5","195.8","0.1538","196","0.03144"
"9","189.8","0.1466","189.9","0.03403"
"9.5","184.1","0.1401","184.3","0.03671"
"10","178.8","0.1341","179","0.03946"
