"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","72.71","35.95","108.7","1.119E-05"
"0.0015","87.35","36.59","123.9","1.549E-05"
"0.002","99.49","36.46","136","1.933E-05"
"0.0025","110.1","36","146.1","2.288E-05"
"0.003","119.5","35.38","154.9","2.62E-05"
"0.004","136.1","33.99","170.1","3.235E-05"
"0.005","150.6","32.58","183.2","3.801E-05"
"0.006","163.5","31.23","194.8","4.33E-05"
"0.007","175.3","29.98","205.3","4.83E-05"
"0.008","186.3","28.82","215.1","5.305E-05"
"0.009","196.4","27.76","224.2","5.761E-05"
"0.01","206","26.77","232.8","6.198E-05"
"0.0125","227.9","24.64","252.5","7.228E-05"
"0.015","247.4","22.86","270.3","8.185E-05"
"0.0175","265.3","21.36","286.6","9.082E-05"
"0.02","281.7","20.07","301.8","9.932E-05"
"0.0225","297.1","18.95","316.1","0.0001074"
"0.025","311.6","17.97","329.5","0.0001152"
"0.0275","325.2","17.1","342.3","0.0001226"
"0.03","338.2","16.33","354.5","0.0001298"
"0.035","362.5","15","377.5","0.0001434"
"0.04","384.8","13.9","398.7","0.0001563"
"0.045","405.7","12.98","418.7","0.0001686"
"0.05","425.2","12.18","437.4","0.0001802"
"0.055","443.7","11.49","455.2","0.0001914"
"0.06","461.2","10.89","472.1","0.0002022"
"0.065","477.9","10.35","488.3","0.0002126"
"0.07","493.8","9.873","503.7","0.0002227"
"0.075","509.1","9.442","518.6","0.0002325"
"0.08","523.8","9.053","532.8","0.000242"
"0.085","537.9","8.698","546.6","0.0002513"
"0.09","551.5","8.374","559.9","0.0002603"
"0.095","564.7","8.076","572.8","0.0002691"
"0.1","577.4","7.801","585.2","0.0002778"
"0.125","635.6","6.693","642.3","0.0003185"
"0.15","686.3","5.832","692.1","0.000356"
"0.175","731.2","5.224","736.5","0.0003909"
"0.2","771.4","4.742","776.1","0.000424"
"0.225","807.5","4.349","811.9","0.0004555"
"0.25","840.2","4.022","844.2","0.0004857"
"0.275","869.7","3.745","873.4","0.0005148"
"0.3","896.5","3.508","900","0.000543"
"0.35","942.7","3.119","945.8","0.0005971"
"0.4","980.5","2.815","983.3","0.0006489"
"0.45","1011","2.569","1014","0.000699"
"0.5","1035","2.366","1038","0.0007477"
"0.55","1054","2.195","1056","0.0007954"
"0.6","1068","2.05","1070","0.0008424"
"0.65","1078","1.923","1080","0.0008889"
"0.7","1085","1.813","1087","0.000935"
"0.75","1088","1.716","1090","0.000981"
"0.8","1089","1.629","1090","0.001027"
"0.85","1087","1.552","1089","0.001073"
"0.9","1083","1.482","1085","0.001119"
"0.95","1078","1.418","1079","0.001165"
"1","1071","1.361","1072","0.001211"
"1.25","1022","1.134","1023","0.00145"
"1.5","962","0.9762","963","0.001702"
"1.75","901.4","0.8593","902.3","0.00197"
"2","844.6","0.769","845.4","0.002256"
"2.25","793.3","0.697","794","0.002561"
"2.5","747.5","0.6381","748.2","0.002886"
"2.75","707","0.5889","707.6","0.00323"
"3","671.1","0.5473","671.6","0.003592"
"3.5","610.6","0.4804","611.1","0.004374"
"4","562","0.4289","562.4","0.005228"
"4.5","521.9","0.3879","522.3","0.006151"
"5","488.4","0.3545","488.7","0.007142"
"5.5","459.7","0.3267","460","0.008197"
"6","434.9","0.3032","435.2","0.009315"
"6.5","413.1","0.2831","413.4","0.01049"
"7","393.8","0.2655","394.1","0.01173"
"7.5","376.6","0.2502","376.8","0.01303"
"8","361","0.2366","361.3","0.01439"
"8.5","346.9","0.2245","347.2","0.0158"
"9","334.1","0.2137","334.3","0.01727"
"9.5","322.2","0.2039","322.4","0.01879"
"10","311.4","0.195","311.6","0.02037"
