"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","20.75","6.388","27.14","6.237E-05"
"0.0015","25.23","6.963","32.2","7.911E-05"
"0.002","28.99","7.316","36.31","9.371E-05"
"0.0025","32.29","7.547","39.83","0.0001068"
"0.003","35.26","7.701","42.96","0.0001189"
"0.004","40.51","7.872","48.38","0.0001408"
"0.005","45.11","7.936","53.05","0.0001605"
"0.006","49.26","7.942","57.2","0.0001787"
"0.007","53.06","7.912","60.97","0.0001956"
"0.008","56.59","7.861","64.45","0.0002115"
"0.009","59.9","7.796","67.69","0.0002267"
"0.01","63.02","7.722","70.74","0.0002411"
"0.0125","70.18","7.519","77.7","0.0002748"
"0.015","76.63","7.309","83.94","0.0003057"
"0.0175","82.54","7.103","89.64","0.0003345"
"0.02","88.02","6.905","94.93","0.0003616"
"0.0225","93.16","6.717","99.88","0.0003873"
"0.025","98.01","6.54","104.5","0.0004117"
"0.0275","102.6","6.372","109","0.0004351"
"0.03","107","6.214","113.2","0.0004576"
"0.035","115.2","5.923","121.2","0.0005003"
"0.04","122.9","5.663","128.5","0.0005404"
"0.045","130","5.429","135.4","0.0005782"
"0.05","136.7","5.217","142","0.0006143"
"0.055","143.1","5.024","148.1","0.0006488"
"0.06","149.2","4.847","154.1","0.0006819"
"0.065","155","4.685","159.7","0.0007137"
"0.07","160.6","4.535","165.1","0.0007445"
"0.075","165.9","4.396","170.3","0.0007743"
"0.08","171.1","4.266","175.4","0.0008032"
"0.085","176.1","4.146","180.2","0.0008314"
"0.09","180.9","4.033","185","0.0008587"
"0.095","185.6","3.928","189.5","0.0008854"
"0.1","190.1","3.828","194","0.0009115"
"0.125","211.1","3.408","214.5","0.001034"
"0.15","229.6","3.082","232.7","0.001146"
"0.175","246.2","2.821","249.1","0.001249"
"0.2","261.3","2.605","263.9","0.001347"
"0.225","275.1","2.425","277.5","0.001439"
"0.25","287.7","2.27","290","0.001527"
"0.275","299.3","2.136","301.5","0.001612"
"0.3","310","2.019","312","0.001693"
"0.35","328.8","1.824","330.7","0.001849"
"0.4","344.7","1.667","346.4","0.001996"
"0.45","358.1","1.537","359.6","0.002138"
"0.5","369.2","1.428","370.6","0.002275"
"0.55","378.3","1.335","379.6","0.002408"
"0.6","385.6","1.255","386.8","0.002539"
"0.65","391.3","1.184","392.5","0.002667"
"0.7","395.6","1.122","396.7","0.002794"
"0.75","398.7","1.067","399.7","0.002919"
"0.8","400.6","1.017","401.7","0.003044"
"0.85","401.7","0.9726","402.7","0.003168"
"0.9","401.9","0.932","402.8","0.003292"
"0.95","401.4","0.895","402.3","0.003416"
"1","400.4","0.8611","401.2","0.003541"
"1.25","389.5","0.7265","390.2","0.004172"
"1.5","374.8","0.631","375.4","0.004825"
"1.75","359.5","0.5593","360.1","0.005505"
"2","344.8","0.5034","345.3","0.006214"
"2.25","331","0.4584","331.5","0.006953"
"2.5","318.3","0.4213","318.7","0.007722"
"2.75","306.5","0.3902","306.9","0.008522"
"3","295.7","0.3638","296.1","0.009351"
"3.5","276.7","0.3209","277","0.0111"
"4","260.8","0.2877","261.1","0.01296"
"4.5","247.3","0.2612","247.6","0.01493"
"5","235.5","0.2394","235.8","0.017"
"5.5","225.2","0.2212","225.5","0.01917"
"6","216.1","0.2058","216.3","0.02143"
"6.5","207.8","0.1925","208","0.02379"
"7","200.3","0.1809","200.5","0.02624"
"7.5","193.5","0.1707","193.7","0.02878"
"8","187.3","0.1617","187.4","0.0314"
"8.5","181.5","0.1537","181.7","0.03411"
"9","176.2","0.1464","176.4","0.03691"
"9.5","171.3","0.1399","171.4","0.03978"
"10","166.7","0.134","166.8","0.04274"
