"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","7.922","0.02152","7.943","0.0009285","0.001344","0.001619"
"0.0125","6.942","0.02388","6.965","0.001266","0.001689","0.002096"
"0.015","6.208","0.02586","6.234","0.001646","0.002039","0.002602"
"0.0175","5.637","0.02757","5.664","0.002067","0.002391","0.003138"
"0.02","5.178","0.02908","5.207","0.002528","0.002746","0.003704"
"0.025","4.486","0.03167","4.518","0.003562","0.003456","0.004921"
"0.03","3.986","0.03385","4.02","0.004738","0.004166","0.006245"
"0.035","3.607","0.03575","3.643","0.006047","0.004874","0.007665"
"0.04","3.309","0.03744","3.346","0.007481","0.005577","0.009168"
"0.045","3.067","0.03897","3.106","0.009033","0.006276","0.01074"
"0.05","2.868","0.04039","2.908","0.0107","0.006971","0.01236"
"0.055","2.7","0.0417","2.742","0.01247","0.00766","0.01403"
"0.06","2.557","0.04292","2.6","0.01434","0.008343","0.01572"
"0.07","2.325","0.04517","2.37","0.01838","0.009693","0.01915"
"0.08","2.145","0.04722","2.192","0.02277","0.01102","0.02261"
"0.09","2.002","0.04911","2.051","0.02749","0.01232","0.02605"
"0.1","1.885","0.05087","1.936","0.03252","0.0136","0.02947"
"0.125","1.668","0.05487","1.723","0.04625","0.0167","0.03781"
"0.15","1.521","0.05846","1.579","0.06144","0.01966","0.04586"
"0.175","1.414","0.06176","1.475","0.07785","0.02249","0.05366"
"0.2","1.333","0.06488","1.398","0.09528","0.0252","0.06122"
"0.25","1.221","0.07077","1.291","0.1326","0.0303","0.0758"
"0.3","1.147","0.07643","1.224","0.1724","0.03503","0.08981"
"0.35","1.097","0.08195","1.179","0.2141","0.03946","0.1034"
"0.4","1.061","0.0874","1.148","0.2572","0.04363","0.1166"
"0.45","1.034","0.09283","1.127","0.3011","0.04759","0.1295"
"0.5","1.014","0.09825","1.113","0.3458","0.05137","0.1422"
"0.55","0.9994","0.1037","1.103","0.391","0.05499","0.1546"
"0.6","0.9881","0.1091","1.097","0.4364","0.05847","0.1669"
"0.7","0.9731","0.1199","1.093","0.5278","0.06506","0.1908"
"0.8","0.9647","0.1309","1.096","0.6192","0.07126","0.2141"
"0.9","0.9605","0.1418","1.102","0.7102","0.07713","0.2368"
"1","0.9591","0.1529","1.112","0.8006","0.08273","0.259"
"1.25","0.9625","0.1809","1.143","1.022","0.09578","0.3124"
"1.5","0.9706","0.2094","1.18","1.238","0.1078","0.3633"
"1.75","0.9805","0.2384","1.219","1.446","0.1191","0.4121"
"2","0.991","0.2678","1.259","1.648","0.1297","0.4589"
"2.5","1.012","0.3276","1.339","2.033","0.1495","0.5475"
"3","1.031","0.3889","1.42","2.396","0.1679","0.6306"
"3.5","1.048","0.4514","1.5","2.738","0.185","0.7089"
"4","1.064","0.515","1.579","3.063","0.2011","0.7831"
"4.5","1.078","0.5796","1.657","3.372","0.2163","0.8538"
"5","1.09","0.645","1.735","3.667","0.2308","0.9215"
"5.5","1.102","0.7113","1.813","3.949","0.2445","0.9863"
"6","1.112","0.7781","1.89","4.219","0.2577","1.049"
"7","1.131","0.9139","2.045","4.727","0.2822","1.167"
"8","1.147","1.052","2.199","5.199","0.3048","1.278"
"9","1.161","1.191","2.352","5.638","0.3257","1.382"
"10","1.173","1.333","2.506","6.05","0.3451","1.48"
"12.5","1.199","1.693","2.891","6.978","0.388","1.704"
"15","1.219","2.059","3.278","7.79","0.4246","1.903"
"17.5","1.236","2.432","3.667","8.51","0.4562","2.081"
"20","1.25","2.809","4.058","9.158","0.484","2.243"
"25","1.272","3.573","4.846","10.28","0.5304","2.526"
"30","1.29","4.349","5.64","11.24","0.5678","2.77"
"35","1.305","5.134","6.439","12.07","0.5988","2.985"
"40","1.317","5.926","7.243","12.8","0.625","3.176"
"45","1.328","6.723","8.051","13.46","0.6474","3.349"
"50","1.338","7.526","8.863","14.05","0.6669","3.508"
"55","1.346","8.333","9.679","14.59","0.684","3.654"
"60","1.353","9.144","10.5","15.08","0.6992","3.789"
"70","1.366","10.78","12.14","15.97","0.725","4.034"
"80","1.377","12.42","13.79","16.74","0.7461","4.252"
"90","1.387","14.07","15.45","17.42","0.7638","4.447"
"100","1.395","15.72","17.12","18.04","0.7789","4.625"
"125","1.412","19.89","21.3","19.35","0.8084","5.008"
"150","1.426","24.08","25.5","20.42","0.8302","5.329"
"175","1.437","28.28","29.72","21.32","0.8471","5.604"
"200","1.447","32.5","33.95","22.11","0.8605","5.845"
"250","1.462","40.96","42.42","23.43","0.8808","6.254"
"300","1.475","49.43","50.91","24.5","0.8954","6.594"
"350","1.485","57.92","59.41","25.41","0.9065","6.883"
"400","1.494","66.43","67.92","26.19","0.9152","7.136"
"450","1.502","74.94","76.44","26.89","0.9223","7.361"
"500","1.508","83.45","84.96","27.51","0.9282","7.563"
"550","1.515","91.98","93.49","28.07","0.9332","7.746"
"600","1.52","100.5","102","28.58","0.9375","7.914"
"700","1.53","117.6","119.1","29.49","0.9445","8.213"
"800","1.538","134.6","136.2","30.27","0.9499","8.473"
"900","1.546","151.7","153.3","30.96","0.9543","8.702"
"1000","1.552","168.8","170.4","31.58","0.9579","8.909"
