"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.39","0.0171","10.4","0.0006071","0.0008035","0.0003815"
"0.0125","8.951","0.01848","8.97","0.0008668","0.001013","0.000487"
"0.015","7.911","0.01959","7.931","0.001164","0.001222","0.0005964"
"0.0175","7.119","0.02052","7.14","0.001497","0.001429","0.0007095"
"0.02","6.494","0.02131","6.516","0.001864","0.001635","0.0008265"
"0.025","5.567","0.02261","5.59","0.002695","0.00204","0.001071"
"0.03","4.909","0.02365","4.932","0.00365","0.002437","0.001331"
"0.035","4.415","0.02453","4.44","0.004721","0.002826","0.001604"
"0.04","4.031","0.02529","4.056","0.0059","0.003208","0.001891"
"0.045","3.722","0.02596","3.748","0.007184","0.003583","0.00219"
"0.05","3.469","0.02658","3.495","0.008567","0.003951","0.002503"
"0.055","3.256","0.02714","3.283","0.01004","0.004313","0.002827"
"0.06","3.076","0.02766","3.103","0.01161","0.00467","0.003164"
"0.07","2.785","0.0286","2.814","0.015","0.005366","0.003871"
"0.08","2.562","0.02946","2.591","0.01871","0.006041","0.004623"
"0.09","2.384","0.03023","2.414","0.02271","0.006698","0.005416"
"0.1","2.239","0.03096","2.27","0.02699","0.007337","0.006249"
"0.125","1.973","0.03261","2.006","0.03875","0.008863","0.008493"
"0.15","1.792","0.03409","1.826","0.05184","0.0103","0.01095"
"0.175","1.661","0.03545","1.697","0.06607","0.01166","0.0136"
"0.2","1.563","0.03675","1.6","0.08126","0.01294","0.01643"
"0.25","1.426","0.03931","1.465","0.114","0.01534","0.02259"
"0.3","1.337","0.04187","1.379","0.1493","0.01755","0.02935"
"0.35","1.275","0.04449","1.319","0.1864","0.01962","0.03666"
"0.4","1.231","0.0472","1.278","0.2249","0.02159","0.04446"
"0.45","1.198","0.04999","1.248","0.2645","0.02347","0.05268"
"0.5","1.173","0.05287","1.226","0.305","0.02528","0.06127"
"0.55","1.154","0.05582","1.21","0.346","0.02704","0.07015"
"0.6","1.14","0.05884","1.199","0.3876","0.02875","0.07925"
"0.7","1.12","0.06506","1.185","0.4715","0.03207","0.09795"
"0.8","1.109","0.07149","1.18","0.5561","0.03528","0.117"
"0.9","1.102","0.07811","1.18","0.6409","0.03841","0.1363"
"1","1.099","0.08493","1.184","0.7255","0.04146","0.1555"
"1.25","1.1","0.1026","1.202","0.9352","0.04889","0.2033"
"1.5","1.106","0.1212","1.228","1.141","0.05609","0.2501"
"1.75","1.116","0.1405","1.256","1.342","0.06312","0.2958"
"2","1.126","0.1603","1.286","1.539","0.07002","0.3403"
"2.5","1.146","0.2014","1.348","1.919","0.08344","0.4264"
"3","1.166","0.2438","1.409","2.282","0.09642","0.5089"
"3.5","1.183","0.2873","1.47","2.629","0.109","0.5882"
"4","1.199","0.3318","1.531","2.962","0.1211","0.6642"
"4.5","1.213","0.377","1.59","3.283","0.1329","0.7372"
"5","1.226","0.423","1.649","3.591","0.1443","0.8071"
"5.5","1.238","0.4695","1.707","3.889","0.1553","0.8741"
"6","1.249","0.5166","1.765","4.177","0.1661","0.9383"
"7","1.268","0.6122","1.88","4.726","0.1865","1.059"
"8","1.284","0.7094","1.994","5.243","0.2058","1.171"
"9","1.299","0.808","2.107","5.731","0.2241","1.275"
"10","1.312","0.9079","2.219","6.193","0.2413","1.373"
"12.5","1.338","1.162","2.5","7.254","0.2806","1.593"
"15","1.36","1.421","2.781","8.201","0.3153","1.786"
"17.5","1.377","1.684","3.061","9.058","0.3461","1.96"
"20","1.392","1.95","3.342","9.839","0.3737","2.119"
"25","1.416","2.491","3.907","11.22","0.4213","2.401"
"30","1.434","3.039","4.474","12.42","0.461","2.647"
"35","1.45","3.594","5.044","13.47","0.4947","2.865"
"40","1.462","4.154","5.616","14.41","0.5236","3.061"
"45","1.473","4.718","6.191","15.26","0.5489","3.238"
"50","1.483","5.286","6.768","16.03","0.5712","3.401"
"55","1.491","5.856","7.347","16.74","0.591","3.55"
"60","1.499","6.429","7.927","17.39","0.6088","3.689"
"70","1.512","7.58","9.093","18.57","0.6394","3.939"
"80","1.523","8.739","10.26","19.6","0.6648","4.16"
"90","1.533","9.903","11.44","20.53","0.6864","4.358"
"100","1.542","11.07","12.61","21.36","0.7049","4.538"
"125","1.559","14.01","15.57","23.14","0.7419","4.927"
"150","1.573","16.96","18.53","24.61","0.7695","5.252"
"175","1.584","19.92","21.5","25.86","0.7912","5.531"
"200","1.594","22.89","24.48","26.95","0.8086","5.776"
"250","1.61","28.84","30.45","28.78","0.8352","6.191"
"300","1.623","34.81","36.44","30.28","0.8546","6.534"
"350","1.633","40.8","42.43","31.55","0.8694","6.827"
"400","1.642","46.79","48.43","32.65","0.8812","7.082"
"450","1.65","52.78","54.43","33.62","0.8909","7.308"
"500","1.658","58.79","60.44","34.49","0.8989","7.512"
"550","1.664","64.79","66.46","35.28","0.9057","7.696"
"600","1.67","70.81","72.48","36","0.9116","7.865"
"700","1.68","82.84","84.52","37.28","0.9212","8.165"
"800","1.689","94.89","96.58","38.38","0.9287","8.425"
"900","1.696","106.9","108.6","39.36","0.9348","8.656"
"1000","1.703","119","120.7","40.23","0.9398","8.863"
