"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","7.898","0.02179","7.92","0.0009427","0.001367","0.0009971"
"0.0125","6.925","0.02421","6.949","0.001281","0.001717","0.00127"
"0.015","6.196","0.02625","6.222","0.001662","0.002073","0.001552"
"0.0175","5.628","0.028","5.656","0.002084","0.002432","0.001844"
"0.02","5.172","0.02956","5.201","0.002545","0.002793","0.002146"
"0.025","4.482","0.03223","4.515","0.00358","0.003517","0.00278"
"0.03","3.984","0.03449","4.019","0.004757","0.004241","0.003455"
"0.035","3.606","0.03646","3.643","0.006066","0.004963","0.00417"
"0.04","3.309","0.03822","3.347","0.0075","0.005682","0.004928"
"0.045","3.068","0.03981","3.108","0.009051","0.006397","0.005727"
"0.05","2.869","0.04127","2.91","0.01072","0.007107","0.00657"
"0.055","2.702","0.04263","2.744","0.01249","0.007811","0.007455"
"0.06","2.559","0.0439","2.603","0.01436","0.008511","0.008384"
"0.07","2.327","0.04624","2.374","0.01839","0.009892","0.01037"
"0.08","2.148","0.04837","2.196","0.02277","0.01125","0.01252"
"0.09","2.005","0.05033","2.055","0.02748","0.01258","0.01483"
"0.1","1.888","0.05216","1.94","0.0325","0.0139","0.01729"
"0.125","1.672","0.05632","1.728","0.0462","0.01707","0.024"
"0.15","1.524","0.06005","1.584","0.06134","0.02011","0.0313"
"0.175","1.417","0.0635","1.48","0.07769","0.02301","0.03894"
"0.2","1.336","0.06674","1.403","0.09506","0.02579","0.04674"
"0.25","1.223","0.0729","1.296","0.1323","0.03103","0.06243"
"0.3","1.15","0.07878","1.229","0.1719","0.0359","0.07796"
"0.35","1.099","0.08453","1.184","0.2135","0.04046","0.09321"
"0.4","1.063","0.09019","1.153","0.2563","0.04476","0.1082"
"0.45","1.036","0.09581","1.132","0.3001","0.04884","0.1229"
"0.5","1.016","0.1014","1.118","0.3446","0.05273","0.1373"
"0.55","1.001","0.107","1.108","0.3895","0.05645","0.1514"
"0.6","0.9897","0.1126","1.102","0.4348","0.06003","0.1653"
"0.7","0.9745","0.1238","1.098","0.5257","0.06681","0.1923"
"0.8","0.966","0.135","1.101","0.6167","0.07317","0.2184"
"0.9","0.9617","0.1463","1.108","0.7072","0.0792","0.2437"
"1","0.9602","0.1577","1.118","0.7971","0.08494","0.2682"
"1.25","0.9634","0.1864","1.15","1.018","0.0983","0.3263"
"1.5","0.9714","0.2155","1.187","1.232","0.1106","0.3808"
"1.75","0.9812","0.2451","1.226","1.439","0.122","0.4321"
"2","0.9917","0.275","1.267","1.64","0.1329","0.4808"
"2.5","1.012","0.336","1.348","2.022","0.153","0.5719"
"3","1.032","0.3982","1.43","2.382","0.1715","0.6562"
"3.5","1.049","0.4616","1.51","2.722","0.1887","0.735"
"4","1.064","0.5261","1.591","3.045","0.2049","0.8093"
"4.5","1.079","0.5915","1.67","3.352","0.2202","0.8798"
"5","1.091","0.6577","1.749","3.644","0.2347","0.947"
"5.5","1.103","0.7248","1.828","3.924","0.2485","1.011"
"6","1.114","0.7924","1.906","4.192","0.2617","1.073"
"7","1.132","0.9297","2.062","4.696","0.2862","1.19"
"8","1.149","1.069","2.218","5.163","0.3088","1.299"
"9","1.163","1.21","2.373","5.599","0.3296","1.401"
"10","1.175","1.353","2.529","6.007","0.349","1.498"
"12.5","1.201","1.717","2.918","6.927","0.3918","1.72"
"15","1.221","2.089","3.31","7.731","0.4282","1.916"
"17.5","1.238","2.466","3.704","8.445","0.4597","2.093"
"20","1.252","2.848","4.101","9.086","0.4874","2.253"
"25","1.275","3.625","4.901","10.2","0.5336","2.535"
"30","1.293","4.415","5.709","11.14","0.5709","2.778"
"35","1.308","5.215","6.523","11.96","0.6017","2.991"
"40","1.321","6.023","7.343","12.69","0.6278","3.182"
"45","1.332","6.837","8.169","13.33","0.6501","3.354"
"50","1.341","7.657","8.998","13.91","0.6695","3.512"
"55","1.349","8.482","9.831","14.44","0.6866","3.657"
"60","1.357","9.31","10.67","14.93","0.7017","3.792"
"70","1.37","10.98","12.35","15.8","0.7273","4.036"
"80","1.381","12.65","14.03","16.56","0.7484","4.253"
"90","1.391","14.34","15.73","17.24","0.766","4.447"
"100","1.399","16.03","17.43","17.84","0.781","4.624"
"125","1.416","20.28","21.7","19.12","0.8103","5.007"
"150","1.43","24.56","25.99","20.17","0.8319","5.326"
"175","1.441","28.85","30.29","21.06","0.8487","5.601"
"200","1.451","33.14","34.59","21.84","0.862","5.841"
"250","1.467","41.75","43.22","23.13","0.8821","6.25"
"300","1.479","50.38","51.86","24.18","0.8965","6.588"
"350","1.49","59.03","60.52","25.07","0.9075","6.877"
"400","1.499","67.68","69.18","25.84","0.9162","7.13"
"450","1.506","76.35","77.85","26.53","0.9232","7.354"
"500","1.513","85.01","86.53","27.13","0.9291","7.556"
"550","1.52","93.69","95.21","27.69","0.934","7.739"
"600","1.525","102.4","103.9","28.19","0.9382","7.907"
"700","1.535","119.8","121.3","29.08","0.9451","8.205"
"800","1.544","137.2","138.7","29.85","0.9505","8.465"
"900","1.551","154.6","156.1","30.53","0.9548","8.694"
"1000","1.558","172","173.6","31.13","0.9584","8.9"
