"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","16.51","0.00988","16.52","0.0003557","0.000309","0.00046"
"0.0125","14.02","0.01026","14.03","0.0005206","0.0003802","0.0005988"
"0.015","12.25","0.01054","12.27","0.0007117","0.0004494","0.0007467"
"0.0175","10.93","0.01075","10.94","0.0009279","0.0005168","0.0009036"
"0.02","9.905","0.01093","9.916","0.001168","0.0005825","0.001069"
"0.025","8.4","0.01118","8.412","0.001718","0.0007094","0.001426"
"0.03","7.348","0.01137","7.36","0.002355","0.0008309","0.001815"
"0.035","6.569","0.01151","6.58","0.003075","0.0009476","0.002235"
"0.04","5.966","0.01163","5.978","0.003874","0.00106","0.002686"
"0.045","5.486","0.01173","5.498","0.004747","0.001169","0.003165"
"0.05","5.094","0.01181","5.105","0.005692","0.001274","0.003672"
"0.055","4.767","0.01189","4.779","0.006705","0.001377","0.004205"
"0.06","4.49","0.01195","4.502","0.007783","0.001476","0.004763"
"0.07","4.047","0.01208","4.059","0.01013","0.001668","0.005951"
"0.08","3.707","0.0122","3.719","0.0127","0.001851","0.007228"
"0.09","3.438","0.01232","3.451","0.0155","0.002026","0.008587"
"0.1","3.221","0.01244","3.233","0.0185","0.002194","0.01002"
"0.125","2.822","0.01276","2.834","0.02679","0.002591","0.0139"
"0.15","2.551","0.0131","2.564","0.03608","0.00296","0.01815"
"0.175","2.357","0.01346","2.37","0.04624","0.003308","0.02269"
"0.2","2.21","0.01385","2.224","0.05715","0.003639","0.02749"
"0.25","2.007","0.0147","2.021","0.0808","0.004263","0.03767"
"0.3","1.873","0.01564","1.889","0.1064","0.004849","0.04848"
"0.35","1.781","0.01664","1.797","0.1336","0.005409","0.05976"
"0.4","1.714","0.01771","1.732","0.162","0.005951","0.07141"
"0.45","1.664","0.01885","1.683","0.1913","0.00648","0.08337"
"0.5","1.626","0.02003","1.647","0.2213","0.007","0.09561"
"0.55","1.597","0.02126","1.619","0.252","0.007513","0.1081"
"0.6","1.575","0.02253","1.597","0.2831","0.008022","0.1209"
"0.7","1.542","0.02519","1.568","0.3463","0.009032","0.1471"
"0.8","1.522","0.02798","1.55","0.4105","0.01004","0.1742"
"0.9","1.509","0.03089","1.54","0.4753","0.01104","0.2023"
"1","1.502","0.03391","1.536","0.5403","0.01204","0.2312"
"1.25","1.495","0.04188","1.537","0.7032","0.01456","0.3062"
"1.5","1.498","0.05038","1.548","0.8653","0.01712","0.383"
"1.75","1.504","0.0593","1.564","1.026","0.01971","0.4595"
"2","1.513","0.06858","1.582","1.185","0.02232","0.5343"
"2.5","1.532","0.08797","1.62","1.497","0.02762","0.6764"
"3","1.551","0.1083","1.659","1.802","0.03298","0.8071"
"3.5","1.568","0.1294","1.698","2.1","0.03838","0.927"
"4","1.585","0.151","1.736","2.392","0.04378","1.037"
"4.5","1.6","0.1732","1.773","2.677","0.04918","1.139"
"5","1.613","0.1958","1.809","2.956","0.05456","1.234"
"5.5","1.626","0.2188","1.845","3.229","0.05991","1.323"
"6","1.637","0.2422","1.88","3.498","0.06523","1.407"
"7","1.658","0.29","1.948","4.021","0.07576","1.562"
"8","1.676","0.3387","2.015","4.525","0.08611","1.702"
"9","1.692","0.3883","2.08","5.014","0.09626","1.832"
"10","1.705","0.4388","2.144","5.487","0.1062","1.953"
"12.5","1.734","0.5674","2.302","6.612","0.1301","2.226"
"15","1.757","0.699","2.456","7.664","0.1528","2.467"
"17.5","1.775","0.8329","2.608","8.651","0.1741","2.683"
"20","1.79","0.9686","2.759","9.583","0.1943","2.88"
"25","1.814","1.244","3.058","11.3","0.2314","3.225"
"30","1.833","1.524","3.357","12.86","0.2647","3.52"
"35","1.849","1.806","3.655","14.29","0.2946","3.776"
"40","1.862","2.092","3.954","15.61","0.3218","4.003"
"45","1.873","2.379","4.252","16.82","0.3466","4.206"
"50","1.884","2.668","4.551","17.96","0.3692","4.389"
"55","1.893","2.958","4.851","19.02","0.39","4.557"
"60","1.901","3.25","5.15","20.03","0.4093","4.711"
"70","1.915","3.837","5.752","21.86","0.4436","4.987"
"80","1.927","4.427","6.354","23.52","0.4734","5.228"
"90","1.938","5.02","6.958","25.02","0.4997","5.443"
"100","1.947","5.616","7.563","26.4","0.5229","5.637"
"125","1.966","7.114","9.08","29.41","0.5712","6.051"
"150","1.982","8.621","10.6","31.95","0.6091","6.395"
"175","1.995","10.13","12.13","34.16","0.64","6.688"
"200","2.006","11.65","13.66","36.1","0.6655","6.945"
"250","2.024","14.7","16.72","39.4","0.7058","7.377"
"300","2.039","17.76","19.8","42.15","0.7363","7.734"
"350","2.051","20.83","22.88","44.49","0.7602","8.037"
"400","2.061","23.9","25.96","46.54","0.7797","8.3"
"450","2.071","26.97","29.04","48.36","0.7958","8.533"
"500","2.079","30.05","32.13","50","0.8094","8.742"
"550","2.086","33.14","35.23","51.49","0.8211","8.931"
"600","2.093","36.23","38.32","52.85","0.8313","9.104"
"700","2.105","42.4","44.51","55.27","0.8481","9.411"
"800","2.115","48.59","50.7","57.37","0.8616","9.677"
"900","2.124","54.77","56.9","59.23","0.8726","9.911"
"1000","2.132","60.97","63.1","60.9","0.8818","10.12"
