"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.534","0.01875","9.552","0.0006847","0.0009598","0.002059"
"0.0125","8.262","0.02043","8.282","0.0009666","0.001211","0.002653"
"0.015","7.331","0.02179","7.352","0.001288","0.001462","0.003283"
"0.0175","6.617","0.02293","6.64","0.001646","0.001711","0.003948"
"0.02","6.05","0.02391","6.074","0.00204","0.001959","0.004649"
"0.025","5.204","0.02554","5.23","0.002931","0.00245","0.006164"
"0.03","4.601","0.02687","4.628","0.00395","0.002933","0.007831"
"0.035","4.146","0.028","4.174","0.005089","0.003408","0.009653"
"0.04","3.791","0.029","3.82","0.006343","0.003876","0.01162"
"0.045","3.505","0.02989","3.535","0.007705","0.004337","0.01374"
"0.05","3.269","0.0307","3.3","0.00917","0.004791","0.01599"
"0.055","3.072","0.03145","3.103","0.01073","0.005239","0.01836"
"0.06","2.904","0.03214","2.936","0.01239","0.005681","0.02084"
"0.07","2.633","0.03342","2.666","0.01597","0.006547","0.02604"
"0.08","2.423","0.03458","2.458","0.01988","0.007392","0.03148"
"0.09","2.256","0.03564","2.292","0.0241","0.008217","0.03704"
"0.1","2.12","0.03662","2.157","0.0286","0.009022","0.04266"
"0.125","1.87","0.03884","1.909","0.04097","0.01095","0.05661"
"0.15","1.699","0.04083","1.74","0.05472","0.01278","0.07023"
"0.175","1.576","0.04264","1.619","0.06964","0.01452","0.08343"
"0.2","1.483","0.04435","1.527","0.08555","0.01616","0.09624"
"0.25","1.353","0.04764","1.401","0.1198","0.01924","0.1209"
"0.3","1.269","0.05088","1.319","0.1567","0.02209","0.1445"
"0.35","1.21","0.05415","1.264","0.1954","0.02475","0.1672"
"0.4","1.168","0.05749","1.225","0.2357","0.02727","0.1893"
"0.45","1.137","0.06089","1.197","0.277","0.02967","0.2107"
"0.5","1.113","0.06437","1.177","0.3191","0.03198","0.2316"
"0.55","1.095","0.06792","1.163","0.3618","0.03421","0.252"
"0.6","1.081","0.07153","1.153","0.405","0.03638","0.2718"
"0.7","1.062","0.07891","1.141","0.4923","0.04056","0.3103"
"0.8","1.051","0.08651","1.138","0.5801","0.04456","0.3471"
"0.9","1.045","0.09429","1.139","0.668","0.04844","0.3824"
"1","1.041","0.1023","1.144","0.7556","0.05221","0.4164"
"1.25","1.042","0.1229","1.165","0.9724","0.06127","0.496"
"1.5","1.048","0.1444","1.192","1.185","0.06996","0.5691"
"1.75","1.056","0.1667","1.223","1.392","0.07836","0.6368"
"2","1.066","0.1895","1.255","1.593","0.08652","0.6999"
"2.5","1.085","0.2366","1.322","1.982","0.1022","0.815"
"3","1.103","0.2852","1.389","2.351","0.1173","0.9186"
"3.5","1.12","0.3349","1.455","2.702","0.1316","1.013"
"4","1.135","0.3856","1.521","3.038","0.1454","1.101"
"4.5","1.149","0.4372","1.586","3.36","0.1587","1.183"
"5","1.162","0.4894","1.651","3.669","0.1714","1.261"
"5.5","1.173","0.5423","1.715","3.966","0.1837","1.334"
"6","1.183","0.5959","1.779","4.252","0.1955","1.403"
"7","1.202","0.7045","1.907","4.795","0.2179","1.533"
"8","1.218","0.8149","2.033","5.303","0.2389","1.651"
"9","1.232","0.9268","2.159","5.78","0.2585","1.761"
"10","1.245","1.04","2.285","6.23","0.2769","1.863"
"12.5","1.271","1.328","2.599","7.256","0.3183","2.09"
"15","1.292","1.621","2.914","8.164","0.3543","2.287"
"17.5","1.31","1.919","3.229","8.978","0.386","2.462"
"20","1.325","2.221","3.545","9.717","0.4141","2.62"
"25","1.349","2.833","4.181","11.01","0.4619","2.896"
"30","1.368","3.454","4.821","12.13","0.5012","3.135"
"35","1.383","4.082","5.465","13.1","0.5342","3.346"
"40","1.396","4.716","6.112","13.97","0.5624","3.535"
"45","1.407","5.354","6.761","14.74","0.5868","3.708"
"50","1.417","5.996","7.413","15.45","0.6082","3.866"
"55","1.426","6.642","8.068","16.1","0.6271","4.012"
"60","1.434","7.291","8.724","16.69","0.644","4.147"
"70","1.447","8.595","10.04","17.76","0.6729","4.393"
"80","1.458","9.906","11.36","18.69","0.6968","4.61"
"90","1.468","11.22","12.69","19.53","0.7169","4.805"
"100","1.477","12.55","14.02","20.28","0.7342","4.982"
"125","1.495","15.87","17.37","21.87","0.7684","5.365"
"150","1.509","19.21","20.72","23.19","0.7938","5.685"
"175","1.521","22.57","24.09","24.31","0.8136","5.96"
"200","1.531","25.93","27.46","25.28","0.8295","6.201"
"250","1.547","32.67","34.21","26.91","0.8535","6.611"
"300","1.56","39.42","40.98","28.24","0.871","6.951"
"350","1.57","46.19","47.76","29.37","0.8844","7.241"
"400","1.58","52.97","54.55","30.35","0.895","7.495"
"450","1.588","59.75","61.34","31.21","0.9036","7.72"
"500","1.595","66.54","68.13","31.99","0.9108","7.922"
"550","1.601","73.33","74.94","32.69","0.9169","8.105"
"600","1.607","80.13","81.74","33.32","0.9221","8.273"
"700","1.617","93.74","95.36","34.46","0.9306","8.572"
"800","1.626","107.4","109","35.44","0.9373","8.832"
"900","1.634","121","122.6","36.3","0.9427","9.061"
"1000","1.64","134.6","136.3","37.07","0.9472","9.268"
