"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.39","0.01909","9.409","0.000701","0.0009926","0.00202"
"0.0125","8.147","0.02082","8.167","0.0009871","0.001252","0.00261"
"0.015","7.234","0.02223","7.257","0.001313","0.001511","0.003236"
"0.0175","6.534","0.02341","6.557","0.001676","0.001769","0.003901"
"0.02","5.977","0.02444","6.002","0.002075","0.002026","0.004605"
"0.025","5.146","0.02614","5.172","0.002975","0.002534","0.006138"
"0.03","4.551","0.02753","4.579","0.004005","0.003034","0.007844"
"0.035","4.103","0.02872","4.132","0.005157","0.003527","0.009726"
"0.04","3.753","0.02976","3.783","0.006423","0.004012","0.01178"
"0.045","3.471","0.0307","3.502","0.007799","0.004491","0.01402"
"0.05","3.238","0.03155","3.27","0.009278","0.004963","0.01641"
"0.055","3.043","0.03234","3.076","0.01086","0.005428","0.01895"
"0.06","2.877","0.03308","2.91","0.01253","0.005887","0.02161"
"0.07","2.609","0.03442","2.644","0.01614","0.006789","0.02725"
"0.08","2.402","0.03565","2.438","0.02008","0.007669","0.03316"
"0.09","2.237","0.03677","2.274","0.02434","0.008528","0.03921"
"0.1","2.103","0.03781","2.14","0.02887","0.009367","0.0453"
"0.125","1.855","0.04016","1.895","0.04133","0.01138","0.06037"
"0.15","1.686","0.04225","1.728","0.05518","0.01329","0.07498"
"0.175","1.564","0.04416","1.608","0.0702","0.01511","0.08909"
"0.2","1.472","0.04596","1.518","0.08622","0.01683","0.1027"
"0.25","1.343","0.04942","1.393","0.1207","0.02005","0.1289"
"0.3","1.259","0.05282","1.312","0.1578","0.02303","0.154"
"0.35","1.201","0.05623","1.257","0.1968","0.02581","0.1781"
"0.4","1.159","0.0597","1.219","0.2372","0.02844","0.2015"
"0.45","1.128","0.06325","1.192","0.2787","0.03095","0.2242"
"0.5","1.105","0.06686","1.172","0.321","0.03337","0.2463"
"0.55","1.087","0.07053","1.158","0.364","0.0357","0.2678"
"0.6","1.074","0.07427","1.148","0.4073","0.03796","0.2888"
"0.7","1.055","0.08191","1.137","0.495","0.0423","0.3293"
"0.8","1.044","0.08976","1.133","0.5831","0.04647","0.3681"
"0.9","1.037","0.09779","1.135","0.6713","0.05049","0.4052"
"1","1.034","0.106","1.14","0.7592","0.0544","0.4408"
"1.25","1.034","0.1273","1.162","0.9766","0.06378","0.524"
"1.5","1.041","0.1494","1.19","1.189","0.07275","0.6001"
"1.75","1.049","0.1723","1.221","1.397","0.08141","0.6702"
"2","1.058","0.1957","1.254","1.599","0.08981","0.7354"
"2.5","1.078","0.2441","1.322","1.987","0.1059","0.8536"
"3","1.096","0.2939","1.39","2.356","0.1213","0.9592"
"3.5","1.113","0.3449","1.458","2.707","0.136","1.055"
"4","1.128","0.3968","1.525","3.042","0.1501","1.144"
"4.5","1.142","0.4497","1.591","3.363","0.1636","1.226"
"5","1.154","0.5032","1.657","3.671","0.1765","1.303"
"5.5","1.166","0.5575","1.723","3.967","0.189","1.376"
"6","1.176","0.6123","1.788","4.252","0.201","1.445"
"7","1.195","0.7235","1.918","4.792","0.2237","1.573"
"8","1.211","0.8366","2.048","5.296","0.2449","1.691"
"9","1.225","0.9512","2.176","5.77","0.2647","1.799"
"10","1.238","1.067","2.305","6.216","0.2832","1.9"
"12.5","1.264","1.362","2.626","7.231","0.3249","2.126"
"15","1.286","1.662","2.948","8.129","0.3611","2.321"
"17.5","1.303","1.967","3.27","8.934","0.3929","2.494"
"20","1.318","2.276","3.594","9.663","0.421","2.65"
"25","1.342","2.902","4.245","10.94","0.4687","2.922"
"30","1.362","3.538","4.899","12.04","0.5079","3.157"
"35","1.378","4.18","5.558","13","0.5407","3.364"
"40","1.391","4.829","6.22","13.85","0.5687","3.55"
"45","1.402","5.483","6.885","14.61","0.5929","3.719"
"50","1.412","6.14","7.552","15.3","0.6141","3.874"
"55","1.421","6.801","8.222","15.94","0.6329","4.018"
"60","1.429","7.465","8.893","16.52","0.6496","4.152"
"70","1.443","8.799","10.24","17.57","0.6782","4.394"
"80","1.454","10.14","11.6","18.49","0.7018","4.608"
"90","1.464","11.49","12.96","19.3","0.7217","4.801"
"100","1.473","12.85","14.32","20.03","0.7388","4.977"
"125","1.491","16.25","17.74","21.6","0.7724","5.356"
"150","1.505","19.67","21.17","22.89","0.7975","5.672"
"175","1.517","23.1","24.62","23.98","0.817","5.945"
"200","1.527","26.54","28.07","24.93","0.8326","6.185"
"250","1.544","33.44","34.98","26.53","0.8563","6.591"
"300","1.557","40.35","41.9","27.83","0.8735","6.929"
"350","1.568","47.27","48.84","28.93","0.8867","7.218"
"400","1.577","54.21","55.79","29.89","0.8971","7.47"
"450","1.585","61.15","62.74","30.74","0.9055","7.694"
"500","1.592","68.1","69.69","31.49","0.9126","7.896"
"550","1.598","75.05","76.65","32.18","0.9185","8.079"
"600","1.604","82.01","83.61","32.8","0.9237","8.246"
"700","1.615","95.94","97.55","33.91","0.932","8.544"
"800","1.623","109.9","111.5","34.86","0.9386","8.803"
"900","1.631","123.8","125.4","35.71","0.9439","9.032"
"1000","1.638","137.8","139.4","36.47","0.9483","9.238"
