"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.753","0.01847","9.771","0.0006627","0.0009224","0.002078"
"0.0125","8.44","0.02008","8.46","0.0009386","0.001164","0.002671"
"0.015","7.481","0.0214","7.502","0.001253","0.001406","0.003295"
"0.0175","6.747","0.0225","6.769","0.001604","0.001646","0.00395"
"0.02","6.165","0.02345","6.189","0.001991","0.001885","0.004637"
"0.025","5.299","0.02501","5.324","0.002866","0.002357","0.006106"
"0.03","4.681","0.02628","4.707","0.003867","0.002821","0.007705"
"0.035","4.216","0.02736","4.244","0.004988","0.003278","0.00943"
"0.04","3.853","0.02831","3.882","0.006221","0.003727","0.01128"
"0.045","3.561","0.02916","3.59","0.007562","0.00417","0.01324"
"0.05","3.321","0.02993","3.351","0.009005","0.004605","0.0153"
"0.055","3.12","0.03064","3.15","0.01054","0.005035","0.01746"
"0.06","2.948","0.0313","2.98","0.01218","0.005458","0.0197"
"0.07","2.672","0.03251","2.705","0.01571","0.006288","0.02439"
"0.08","2.459","0.0336","2.492","0.01956","0.007097","0.02926"
"0.09","2.289","0.03461","2.324","0.02372","0.007885","0.03424"
"0.1","2.151","0.03554","2.186","0.02816","0.008655","0.03928"
"0.125","1.896","0.03765","1.934","0.04037","0.0105","0.05187"
"0.15","1.723","0.03952","1.762","0.05394","0.01225","0.06425"
"0.175","1.597","0.04124","1.639","0.06868","0.0139","0.07632"
"0.2","1.503","0.04287","1.546","0.0844","0.01547","0.08808"
"0.25","1.371","0.04601","1.417","0.1183","0.0184","0.1108"
"0.3","1.285","0.04912","1.334","0.1547","0.02111","0.1327"
"0.35","1.225","0.05225","1.278","0.1931","0.02365","0.1538"
"0.4","1.183","0.05547","1.238","0.2329","0.02605","0.1743"
"0.45","1.151","0.05875","1.21","0.2737","0.02835","0.1943"
"0.5","1.127","0.06211","1.189","0.3154","0.03055","0.2138"
"0.55","1.109","0.06553","1.174","0.3578","0.03269","0.2328"
"0.6","1.095","0.06903","1.164","0.4006","0.03476","0.2514"
"0.7","1.075","0.07619","1.152","0.487","0.03876","0.2876"
"0.8","1.064","0.08356","1.148","0.574","0.0426","0.3223"
"0.9","1.057","0.09112","1.149","0.6611","0.04632","0.3556"
"1","1.054","0.09888","1.153","0.7481","0.04994","0.3878"
"1.25","1.054","0.119","1.173","0.9631","0.05868","0.4637"
"1.5","1.06","0.1399","1.2","1.174","0.06707","0.5337"
"1.75","1.069","0.1616","1.231","1.38","0.0752","0.5989"
"2","1.079","0.1839","1.262","1.58","0.08312","0.66"
"2.5","1.098","0.2299","1.328","1.966","0.0984","0.7725"
"3","1.116","0.2773","1.394","2.334","0.113","0.8746"
"3.5","1.133","0.3259","1.459","2.684","0.1271","0.9689"
"4","1.148","0.3754","1.524","3.02","0.1406","1.057"
"4.5","1.162","0.4258","1.588","3.341","0.1535","1.139"
"5","1.174","0.477","1.651","3.65","0.1661","1.217"
"5.5","1.186","0.5288","1.715","3.947","0.1781","1.291"
"6","1.196","0.5811","1.777","4.234","0.1898","1.361"
"7","1.215","0.6874","1.902","4.777","0.2119","1.492"
"8","1.231","0.7954","2.026","5.287","0.2325","1.612"
"9","1.245","0.9049","2.15","5.766","0.2519","1.723"
"10","1.257","1.016","2.273","6.218","0.2701","1.826"
"12.5","1.284","1.298","2.581","7.249","0.3112","2.056"
"15","1.305","1.585","2.889","8.164","0.3471","2.256"
"17.5","1.322","1.877","3.198","8.986","0.3787","2.433"
"20","1.337","2.172","3.508","9.732","0.4068","2.593"
"25","1.36","2.771","4.131","11.04","0.4546","2.875"
"30","1.379","3.379","4.758","12.17","0.4941","3.119"
"35","1.394","3.994","5.388","13.16","0.5272","3.334"
"40","1.407","4.615","6.022","14.04","0.5556","3.528"
"45","1.418","5.24","6.658","14.82","0.5802","3.704"
"50","1.428","5.869","7.297","15.54","0.6018","3.865"
"55","1.436","6.502","7.938","16.2","0.6209","4.014"
"60","1.444","7.136","8.58","16.8","0.6379","4.152"
"70","1.457","8.414","9.871","17.89","0.6672","4.4"
"80","1.468","9.698","11.17","18.84","0.6914","4.621"
"90","1.478","10.99","12.47","19.69","0.7118","4.818"
"100","1.487","12.29","13.77","20.45","0.7293","4.997"
"125","1.504","15.54","17.04","22.08","0.764","5.384"
"150","1.518","18.81","20.33","23.42","0.7898","5.707"
"175","1.53","22.1","23.63","24.56","0.8099","5.984"
"200","1.54","25.39","26.93","25.55","0.826","6.228"
"250","1.556","31.99","33.55","27.21","0.8506","6.641"
"300","1.568","38.61","40.18","28.57","0.8684","6.983"
"350","1.579","45.24","46.82","29.72","0.882","7.275"
"400","1.588","51.88","53.46","30.72","0.8928","7.53"
"450","1.596","58.53","60.12","31.6","0.9016","7.756"
"500","1.603","65.18","66.78","32.39","0.9089","7.958"
"550","1.61","71.84","73.45","33.11","0.9151","8.142"
"600","1.615","78.5","80.11","33.76","0.9204","8.311"
"700","1.626","91.83","93.46","34.91","0.9291","8.61"
"800","1.634","105.2","106.8","35.91","0.9359","8.871"
"900","1.642","118.5","120.2","36.8","0.9415","9.101"
"1000","1.649","131.9","133.5","37.58","0.946","9.308"
