"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","12.43","0.01267","12.44","0.0004909","0.0005173","0.0005174"
"0.0125","10.64","0.01339","10.66","0.0007089","0.0006415","0.0006631"
"0.015","9.365","0.01395","9.379","0.0009595","0.0007633","0.0008151"
"0.0175","8.397","0.01439","8.412","0.001242","0.0008828","0.0009732"
"0.02","7.638","0.01475","7.653","0.001554","0.0009999","0.001137"
"0.025","6.519","0.01532","6.534","0.002263","0.001227","0.001483"
"0.03","5.73","0.01575","5.745","0.003082","0.001447","0.001852"
"0.035","5.141","0.01609","5.157","0.004002","0.001659","0.002243"
"0.04","4.683","0.01638","4.7","0.005019","0.001865","0.002655"
"0.045","4.317","0.01663","4.334","0.006128","0.002064","0.003088"
"0.05","4.017","0.01684","4.034","0.007325","0.002259","0.00354"
"0.055","3.766","0.01704","3.784","0.008606","0.002448","0.004012"
"0.06","3.554","0.01722","3.571","0.009967","0.002633","0.004501"
"0.07","3.212","0.01755","3.23","0.01292","0.00299","0.005534"
"0.08","2.949","0.01784","2.967","0.01615","0.003331","0.006632"
"0.09","2.741","0.01811","2.759","0.01965","0.00366","0.007793"
"0.1","2.572","0.01837","2.59","0.0234","0.003977","0.009013"
"0.125","2.261","0.019","2.28","0.03372","0.004726","0.0123"
"0.15","2.05","0.0196","2.069","0.04526","0.005423","0.01588"
"0.175","1.898","0.0202","1.918","0.05783","0.006078","0.01972"
"0.2","1.783","0.02081","1.804","0.07129","0.006698","0.0238"
"0.25","1.623","0.02208","1.646","0.1004","0.007856","0.03258"
"0.3","1.519","0.02344","1.543","0.1318","0.008933","0.04208"
"0.35","1.447","0.02488","1.472","0.1651","0.00995","0.05224"
"0.4","1.395","0.02641","1.421","0.1997","0.01092","0.06299"
"0.45","1.356","0.02802","1.384","0.2353","0.01187","0.07431"
"0.5","1.327","0.02971","1.357","0.2718","0.01279","0.08617"
"0.55","1.305","0.03146","1.336","0.309","0.01369","0.09855"
"0.6","1.287","0.03326","1.321","0.3466","0.01458","0.1114"
"0.7","1.263","0.03702","1.3","0.423","0.01633","0.1385"
"0.8","1.248","0.04095","1.289","0.5003","0.01805","0.1672"
"0.9","1.239","0.04504","1.284","0.578","0.01976","0.1972"
"1","1.234","0.04926","1.283","0.656","0.02146","0.2282"
"1.25","1.231","0.06036","1.291","0.8503","0.02568","0.3082"
"1.5","1.235","0.07213","1.307","1.043","0.0299","0.3893"
"1.75","1.242","0.08442","1.326","1.233","0.03412","0.4694"
"2","1.25","0.09714","1.347","1.42","0.03834","0.5473"
"2.5","1.267","0.1236","1.391","1.785","0.04677","0.6952"
"3","1.284","0.1512","1.435","2.139","0.05517","0.8322"
"3.5","1.3","0.1797","1.479","2.482","0.0635","0.9592"
"4","1.314","0.2089","1.523","2.815","0.07173","1.077"
"4.5","1.326","0.2387","1.565","3.139","0.07986","1.188"
"5","1.338","0.2691","1.607","3.454","0.08788","1.291"
"5.5","1.349","0.2999","1.649","3.762","0.09577","1.389"
"6","1.358","0.3312","1.69","4.061","0.1035","1.481"
"7","1.376","0.3949","1.771","4.639","0.1187","1.651"
"8","1.391","0.4598","1.851","5.192","0.1333","1.805"
"9","1.404","0.5258","1.93","5.721","0.1475","1.945"
"10","1.416","0.5926","2.008","6.229","0.1611","2.074"
"12.5","1.441","0.7631","2.204","7.416","0.1931","2.357"
"15","1.46","0.9373","2.398","8.504","0.2225","2.597"
"17.5","1.477","1.114","2.591","9.506","0.2494","2.806"
"20","1.491","1.294","2.785","10.44","0.2742","2.991"
"25","1.514","1.659","3.173","12.12","0.3183","3.311"
"30","1.533","2.029","3.562","13.6","0.3564","3.583"
"35","1.548","2.403","3.951","14.94","0.3897","3.82"
"40","1.561","2.781","4.342","16.14","0.4191","4.031"
"45","1.571","3.162","4.734","17.25","0.4453","4.221"
"50","1.581","3.545","5.126","18.26","0.4688","4.395"
"55","1.589","3.93","5.519","19.2","0.49","4.555"
"60","1.597","4.316","5.913","20.08","0.5092","4.704"
"70","1.61","5.093","6.703","21.66","0.543","4.971"
"80","1.621","5.874","7.495","23.07","0.5716","5.206"
"90","1.631","6.658","8.289","24.34","0.5963","5.416"
"100","1.64","7.445","9.084","25.49","0.6178","5.607"
"125","1.657","9.42","11.08","27.98","0.6615","6.014"
"150","1.671","11.41","13.08","30.06","0.6949","6.352"
"175","1.683","13.4","15.08","31.83","0.7214","6.64"
"200","1.693","15.4","17.09","33.39","0.7431","6.891"
"250","1.71","19.4","21.11","36.02","0.7766","7.314"
"300","1.723","23.42","25.14","38.19","0.8014","7.663"
"350","1.734","27.44","29.18","40.03","0.8207","7.961"
"400","1.744","31.48","33.22","41.64","0.8361","8.22"
"450","1.752","35.52","37.27","43.06","0.8488","8.449"
"500","1.76","39.56","41.32","44.33","0.8595","8.655"
"550","1.766","43.6","45.37","45.48","0.8685","8.842"
"600","1.773","47.65","49.42","46.54","0.8764","9.013"
"700","1.783","55.76","57.54","48.41","0.8893","9.317"
"800","1.793","63.87","65.66","50.04","0.8995","9.582"
"900","1.801","71.99","73.79","51.47","0.9078","9.815"
"1000","1.808","80.11","81.92","52.76","0.9147","10.02"
