"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","22.67","0.0009885","22.67","0.0002467","2.412E-05","0"
"0.0125","18.98","0.0009941","18.98","0.0003678","2.89E-05","0"
"0.015","16.42","0.0009995","16.42","0.0005098","3.352E-05","0"
"0.0175","14.53","0.001005","14.53","0.0006721","3.802E-05","0"
"0.02","13.07","0.00101","13.07","0.0008537","4.242E-05","0"
"0.025","10.97","0.00102","10.97","0.001273","5.096E-05","0"
"0.03","9.521","0.001029","9.522","0.001764","5.923E-05","0"
"0.035","8.457","0.001039","8.458","0.002322","6.727E-05","0"
"0.04","7.642","0.001048","7.643","0.002945","7.51E-05","0"
"0.045","6.996","0.001057","6.997","0.00363","8.277E-05","0"
"0.05","6.471","0.001066","6.472","0.004374","9.029E-05","0"
"0.055","6.035","0.001075","6.037","0.005174","9.766E-05","0"
"0.06","5.669","0.001084","5.67","0.006029","0.0001049","0"
"0.07","5.084","0.001101","5.085","0.007896","0.0001191","0"
"0.08","4.638","0.001119","4.639","0.009958","0.0001328","0"
"0.09","4.287","0.001138","4.288","0.0122","0.0001462","0"
"0.1","4.003","0.001157","4.004","0.01462","0.0001593","0"
"0.125","3.486","0.001207","3.487","0.02134","0.000191","0"
"0.15","3.137","0.00126","3.139","0.02891","0.0002215","0"
"0.175","2.887","0.001316","2.889","0.03723","0.0002511","0"
"0.2","2.7","0.001375","2.701","0.04619","0.00028","0"
"0.25","2.439","0.001499","2.441","0.06574","0.0003363","0"
"0.3","2.269","0.001632","2.27","0.08702","0.0003914","0"
"0.35","2.15","0.001774","2.152","0.1097","0.0004457","0"
"0.4","2.064","0.001924","2.066","0.1334","0.0004997","0"
"0.45","2","0.002081","2.002","0.158","0.0005536","0"
"0.5","1.952","0.002245","1.954","0.1833","0.0006076","0"
"0.55","1.914","0.002416","1.916","0.2092","0.0006619","0"
"0.6","1.884","0.002592","1.887","0.2355","0.0007165","0"
"0.7","1.842","0.002961","1.845","0.2891","0.0008269","0"
"0.8","1.815","0.00335","1.818","0.3437","0.0009389","0"
"0.9","1.798","0.003757","1.801","0.399","0.001053","0"
"1","1.787","0.00418","1.791","0.4547","0.001168","0"
"1.25","1.777","0.005306","1.782","0.5948","0.001465","0"
"1.5","1.78","0.006515","1.787","0.7349","0.001773","0"
"1.75","1.789","0.007793","1.797","0.8744","0.002089","0"
"2","1.801","0.009132","1.81","1.013","0.002414","0"
"2.5","1.827","0.01196","1.839","1.287","0.003085","0"
"3","1.854","0.01495","1.869","1.557","0.003779","0"
"3.5","1.88","0.01809","1.898","1.822","0.004491","0"
"4","1.903","0.02134","1.925","2.084","0.005218","0"
"4.5","1.926","0.02469","1.95","2.342","0.005957","0"
"5","1.946","0.02813","1.974","2.597","0.006707","0"
"5.5","1.965","0.03165","1.997","2.848","0.007465","0"
"6","1.983","0.03523","2.018","3.098","0.008231","0"
"7","2.015","0.0426","2.057","3.588","0.009781","0"
"8","2.043","0.05018","2.093","4.07","0.01135","0"
"9","2.069","0.05793","2.126","4.544","0.01293","0"
"10","2.092","0.06584","2.157","5.011","0.01453","0"
"12.5","2.141","0.08617","2.227","6.151","0.01855","0"
"15","2.182","0.1071","2.289","7.258","0.02258","0"
"17.5","2.216","0.1286","2.345","8.337","0.02662","0"
"20","2.247","0.1505","2.397","9.391","0.03064","0"
"25","2.297","0.1952","2.493","11.44","0.03863","0"
"30","2.339","0.241","2.58","13.41","0.04651","0"
"35","2.374","0.2875","2.662","15.31","0.05426","0"
"40","2.405","0.3346","2.739","17.17","0.06187","0"
"45","2.432","0.3822","2.814","18.97","0.06933","0"
"50","2.456","0.4303","2.886","20.72","0.07665","0"
"55","2.478","0.4786","2.956","22.43","0.08382","0"
"60","2.498","0.5272","3.025","24.1","0.09085","0"
"70","2.533","0.6252","3.158","27.34","0.1045","0"
"80","2.564","0.7239","3.288","30.44","0.1176","0"
"90","2.589","0.8231","3.412","33.43","0.1301","0.02142"
"100","2.609","0.9229","3.532","36.31","0.1423","0.07842"
"125","2.644","1.174","3.818","43.11","0.1708","0.2879"
"150","2.668","1.427","4.095","49.43","0.197","0.5234"
"175","2.686","1.681","4.367","55.34","0.2213","0.7535"
"200","2.7","1.937","4.637","60.9","0.2439","0.9696"
"250","2.722","2.451","5.173","71.1","0.2844","1.356"
"300","2.738","2.967","5.705","80.3","0.32","1.688"
"350","2.752","3.486","6.237","88.68","0.3514","1.976"
"400","2.763","4.006","6.768","96.37","0.3794","2.23"
"450","2.773","4.527","7.3","103.5","0.4047","2.457"
"500","2.781","5.049","7.831","110.1","0.4275","2.661"
"550","2.789","5.573","8.362","116.3","0.4482","2.847"
"600","2.796","6.097","8.892","122.1","0.4672","3.017"
"700","2.808","7.147","9.955","132.7","0.5008","3.321"
"800","2.818","8.199","11.02","142.2","0.5297","3.584"
"900","2.828","9.253","12.08","150.9","0.5547","3.818"
"1000","2.836","10.31","13.14","158.8","0.5768","4.027"
