"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.093","0.01953","9.113","0.000734","0.001049","0.00104"
"0.0125","7.904","0.02136","7.925","0.001029","0.001323","0.001322"
"0.015","7.028","0.02286","7.051","0.001364","0.001598","0.001611"
"0.0175","6.353","0.02413","6.378","0.001738","0.001871","0.001909"
"0.02","5.817","0.02522","5.842","0.002148","0.002144","0.002215"
"0.025","5.014","0.02704","5.041","0.003072","0.002683","0.002851"
"0.03","4.439","0.02855","4.467","0.004129","0.003216","0.00352"
"0.035","4.005","0.02983","4.035","0.005308","0.003741","0.00422"
"0.04","3.666","0.03097","3.697","0.006605","0.004259","0.004952"
"0.045","3.392","0.03198","3.424","0.008012","0.004771","0.005715"
"0.05","3.167","0.03292","3.199","0.009524","0.005275","0.006508"
"0.055","2.977","0.03378","3.011","0.01114","0.005773","0.007332"
"0.06","2.816","0.03459","2.851","0.01284","0.006265","0.008186"
"0.07","2.556","0.03607","2.592","0.01653","0.007232","0.009983"
"0.08","2.355","0.03741","2.392","0.02055","0.008176","0.0119"
"0.09","2.194","0.03865","2.233","0.02488","0.009098","0.01393"
"0.1","2.064","0.03979","2.104","0.0295","0.01","0.01608"
"0.125","1.823","0.04238","1.865","0.04217","0.01217","0.02194"
"0.15","1.659","0.04467","1.703","0.05622","0.01422","0.02849"
"0.175","1.54","0.04677","1.586","0.07146","0.01617","0.03572"
"0.2","1.45","0.04874","1.499","0.08769","0.01803","0.0436"
"0.25","1.325","0.05251","1.377","0.1226","0.0215","0.06111"
"0.3","1.243","0.05619","1.299","0.16","0.0247","0.08051"
"0.35","1.186","0.05988","1.246","0.1994","0.0277","0.1012"
"0.4","1.145","0.0636","1.208","0.2402","0.03053","0.1226"
"0.45","1.115","0.06738","1.182","0.282","0.03323","0.1442"
"0.5","1.092","0.07123","1.163","0.3247","0.03582","0.166"
"0.55","1.074","0.07513","1.149","0.368","0.03832","0.1877"
"0.6","1.061","0.07908","1.14","0.4117","0.04075","0.2092"
"0.7","1.042","0.08716","1.129","0.4999","0.0454","0.2515"
"0.8","1.031","0.09543","1.126","0.5886","0.04984","0.2927"
"0.9","1.025","0.1039","1.128","0.6773","0.05413","0.3327"
"1","1.021","0.1125","1.134","0.7657","0.05828","0.3714"
"1.25","1.021","0.1348","1.156","0.9842","0.06822","0.4629"
"1.5","1.027","0.1579","1.185","1.198","0.07768","0.5472"
"1.75","1.035","0.1818","1.217","1.406","0.08678","0.6252"
"2","1.044","0.2062","1.25","1.609","0.09559","0.6978"
"2.5","1.062","0.2564","1.319","1.998","0.1124","0.8293"
"3","1.08","0.3082","1.388","2.368","0.1284","0.9466"
"3.5","1.095","0.3611","1.457","2.72","0.1437","1.053"
"4","1.11","0.415","1.525","3.055","0.1582","1.15"
"4.5","1.123","0.4698","1.593","3.376","0.1722","1.241"
"5","1.135","0.5253","1.66","3.683","0.1855","1.325"
"5.5","1.146","0.5816","1.728","3.978","0.1984","1.405"
"6","1.156","0.6384","1.795","4.262","0.2107","1.48"
"7","1.174","0.7536","1.928","4.8","0.234","1.619"
"8","1.19","0.8707","2.06","5.302","0.2556","1.745"
"9","1.203","0.9893","2.193","5.772","0.2758","1.862"
"10","1.215","1.109","2.325","6.215","0.2946","1.97"
"12.5","1.241","1.414","2.655","7.22","0.3369","2.21"
"15","1.261","1.725","2.986","8.108","0.3734","2.417"
"17.5","1.278","2.041","3.319","8.901","0.4053","2.599"
"20","1.292","2.36","3.653","9.619","0.4335","2.763"
"25","1.316","3.008","4.324","10.88","0.4813","3.049"
"30","1.334","3.666","5","11.95","0.5203","3.294"
"35","1.349","4.331","5.681","12.89","0.5529","3.51"
"40","1.362","5.003","6.364","13.72","0.5806","3.704"
"45","1.373","5.679","7.052","14.47","0.6045","3.879"
"50","1.382","6.359","7.742","15.14","0.6254","4.04"
"55","1.391","7.043","8.434","15.76","0.6439","4.188"
"60","1.399","7.731","9.129","16.33","0.6603","4.325"
"70","1.412","9.112","10.52","17.35","0.6884","4.573"
"80","1.423","10.5","11.93","18.24","0.7115","4.793"
"90","1.433","11.9","13.33","19.03","0.731","4.99"
"100","1.441","13.3","14.74","19.75","0.7477","5.169"
"125","1.459","16.82","18.28","21.27","0.7805","5.555"
"150","1.472","20.36","21.84","22.52","0.8049","5.877"
"175","1.484","23.92","25.4","23.58","0.8238","6.154"
"200","1.494","27.48","28.97","24.5","0.839","6.397"
"250","1.51","34.62","36.13","26.04","0.8619","6.808"
"300","1.522","41.77","43.29","27.3","0.8785","7.149"
"350","1.533","48.94","50.47","28.37","0.8912","7.441"
"400","1.542","56.12","57.66","29.3","0.9013","7.695"
"450","1.55","63.3","64.85","30.12","0.9094","7.92"
"500","1.557","70.49","72.04","30.85","0.9162","8.123"
"550","1.563","77.68","79.25","31.51","0.922","8.307"
"600","1.569","84.88","86.45","32.11","0.9269","8.475"
"700","1.579","99.3","100.9","33.18","0.9349","8.774"
"800","1.588","113.7","115.3","34.11","0.9412","9.034"
"900","1.595","128.1","129.7","34.93","0.9463","9.264"
"1000","1.602","142.6","144.2","35.66","0.9505","9.471"
