"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.584","0.02036","8.605","0.0008031","0.001163","0.0004304"
"0.0125","7.487","0.02239","7.51","0.001115","0.001465","0.0005481"
"0.015","6.674","0.02406","6.698","0.001468","0.001769","0.00067"
"0.0175","6.045","0.02548","6.07","0.001861","0.002073","0.0007963"
"0.02","5.543","0.02672","5.57","0.002291","0.002376","0.0009269"
"0.025","4.788","0.02881","4.817","0.00326","0.002979","0.001202"
"0.03","4.246","0.03055","4.277","0.004364","0.003576","0.001495"
"0.035","3.836","0.03203","3.869","0.005596","0.004167","0.001808"
"0.04","3.515","0.03336","3.548","0.006947","0.004752","0.002142"
"0.045","3.255","0.03456","3.29","0.008412","0.00533","0.002497"
"0.05","3.041","0.03565","3.077","0.009985","0.005902","0.002875"
"0.055","2.861","0.03667","2.898","0.01166","0.006467","0.003276"
"0.06","2.708","0.03762","2.745","0.01343","0.007026","0.003703"
"0.07","2.46","0.03937","2.499","0.01726","0.008128","0.004636"
"0.08","2.268","0.04097","2.309","0.02143","0.009206","0.005687"
"0.09","2.115","0.04243","2.158","0.02591","0.01026","0.006868"
"0.1","1.991","0.04379","2.034","0.03069","0.0113","0.008192"
"0.125","1.76","0.04686","1.807","0.04377","0.01379","0.01222"
"0.15","1.603","0.04959","1.653","0.05827","0.01616","0.01736"
"0.175","1.489","0.05209","1.541","0.07396","0.01841","0.02356"
"0.2","1.403","0.05443","1.458","0.09066","0.02055","0.03052"
"0.25","1.283","0.05887","1.342","0.1265","0.02457","0.04536"
"0.3","1.205","0.06317","1.268","0.1649","0.02829","0.06036"
"0.35","1.151","0.06743","1.218","0.2052","0.03177","0.07515"
"0.4","1.112","0.0717","1.184","0.2468","0.03504","0.0897"
"0.45","1.084","0.07601","1.16","0.2895","0.03816","0.104"
"0.5","1.062","0.08036","1.143","0.333","0.04113","0.1182"
"0.55","1.046","0.08476","1.131","0.377","0.044","0.1321"
"0.6","1.034","0.08918","1.123","0.4213","0.04676","0.1459"
"0.7","1.017","0.09818","1.115","0.5107","0.05205","0.173"
"0.8","1.008","0.1073","1.115","0.6004","0.05706","0.1995"
"0.9","1.003","0.1167","1.119","0.69","0.06186","0.2256"
"1","1.001","0.1261","1.127","0.779","0.06649","0.2512"
"1.25","1.003","0.1505","1.153","0.9985","0.07745","0.3137"
"1.5","1.01","0.1756","1.186","1.212","0.08777","0.3746"
"1.75","1.019","0.2014","1.221","1.42","0.09761","0.434"
"2","1.029","0.2278","1.257","1.622","0.1071","0.4921"
"2.5","1.048","0.2818","1.33","2.009","0.125","0.6039"
"3","1.066","0.3373","1.404","2.375","0.1419","0.7095"
"3.5","1.083","0.394","1.477","2.722","0.1579","0.8086"
"4","1.097","0.4517","1.549","3.052","0.173","0.9018"
"4.5","1.11","0.5103","1.621","3.368","0.1875","0.9894"
"5","1.122","0.5697","1.692","3.67","0.2014","1.072"
"5.5","1.133","0.6298","1.763","3.959","0.2146","1.15"
"6","1.143","0.6904","1.834","4.237","0.2273","1.225"
"7","1.161","0.8135","1.975","4.763","0.2512","1.363"
"8","1.176","0.9384","2.115","5.252","0.2733","1.489"
"9","1.19","1.065","2.255","5.71","0.2939","1.606"
"10","1.202","1.193","2.395","6.14","0.313","1.714"
"12.5","1.227","1.518","2.745","7.114","0.3558","1.956"
"15","1.247","1.85","3.097","7.971","0.3925","2.165"
"17.5","1.263","2.187","3.45","8.736","0.4244","2.35"
"20","1.277","2.528","3.805","9.426","0.4526","2.516"
"25","1.3","3.219","4.519","10.63","0.5","2.805"
"30","1.318","3.921","5.239","11.66","0.5385","3.052"
"35","1.333","4.631","5.964","12.55","0.5705","3.268"
"40","1.346","5.348","6.693","13.34","0.5977","3.462"
"45","1.357","6.07","7.426","14.05","0.6212","3.637"
"50","1.366","6.796","8.162","14.69","0.6416","3.798"
"55","1.375","7.527","8.901","15.28","0.6595","3.945"
"60","1.382","8.261","9.643","15.82","0.6755","4.083"
"70","1.395","9.736","11.13","16.78","0.7027","4.331"
"80","1.406","11.22","12.63","17.63","0.7251","4.55"
"90","1.416","12.71","14.13","18.37","0.7439","4.748"
"100","1.424","14.21","15.64","19.05","0.76","4.926"
"125","1.441","17.97","19.42","20.48","0.7916","5.312"
"150","1.455","21.76","23.21","21.66","0.815","5.634"
"175","1.467","25.55","27.02","22.65","0.8331","5.911"
"200","1.476","29.36","30.83","23.52","0.8476","6.153"
"250","1.492","36.99","38.48","24.97","0.8695","6.564"
"300","1.505","44.63","46.13","26.15","0.8853","6.905"
"350","1.515","52.29","53.8","27.15","0.8974","7.196"
"400","1.524","59.95","61.48","28.02","0.9069","7.45"
"450","1.532","67.63","69.16","28.79","0.9146","7.675"
"500","1.539","75.31","76.84","29.48","0.9211","7.878"
"550","1.545","82.99","84.54","30.1","0.9265","8.062"
"600","1.551","90.68","92.23","30.66","0.9312","8.23"
"700","1.561","106.1","107.6","31.66","0.9388","8.529"
"800","1.569","121.5","123","32.53","0.9447","8.789"
"900","1.577","136.9","138.5","33.3","0.9495","9.019"
"1000","1.584","152.3","153.9","33.98","0.9535","9.226"
