"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.422","0.01892","9.441","0.000697","0.000981","0.002013"
"0.0125","8.173","0.02062","8.193","0.0009821","0.001237","0.002597"
"0.015","7.256","0.022","7.278","0.001307","0.001493","0.003214"
"0.0175","6.552","0.02317","6.575","0.001669","0.001747","0.003868"
"0.02","5.993","0.02417","6.017","0.002067","0.002","0.004558"
"0.025","5.158","0.02584","5.184","0.002965","0.0025","0.006053"
"0.03","4.562","0.0272","4.589","0.003993","0.002993","0.007704"
"0.035","4.113","0.02835","4.141","0.005142","0.003478","0.009516"
"0.04","3.761","0.02937","3.79","0.006406","0.003956","0.01149"
"0.045","3.478","0.03028","3.508","0.007778","0.004426","0.01361"
"0.05","3.245","0.03112","3.276","0.009254","0.00489","0.01588"
"0.055","3.049","0.03189","3.081","0.01083","0.005348","0.01828"
"0.06","2.883","0.0326","2.915","0.0125","0.0058","0.0208"
"0.07","2.614","0.03391","2.648","0.0161","0.006685","0.02612"
"0.08","2.407","0.0351","2.442","0.02004","0.007549","0.0317"
"0.09","2.241","0.03619","2.277","0.02429","0.008392","0.03743"
"0.1","2.106","0.03721","2.144","0.02882","0.009216","0.04321"
"0.125","1.858","0.03949","1.898","0.04126","0.01119","0.0576"
"0.15","1.689","0.04153","1.73","0.05509","0.01307","0.07161"
"0.175","1.566","0.04338","1.61","0.07009","0.01484","0.08518"
"0.2","1.474","0.04514","1.519","0.08609","0.01653","0.09833"
"0.25","1.346","0.04851","1.394","0.1206","0.01968","0.1236"
"0.3","1.261","0.05183","1.313","0.1576","0.0226","0.1478"
"0.35","1.203","0.05518","1.258","0.1965","0.02532","0.1711"
"0.4","1.161","0.05858","1.22","0.2369","0.0279","0.1936"
"0.45","1.13","0.06205","1.192","0.2784","0.03036","0.2156"
"0.5","1.107","0.06559","1.173","0.3207","0.03272","0.237"
"0.55","1.089","0.06919","1.158","0.3636","0.03501","0.2578"
"0.6","1.076","0.07287","1.148","0.407","0.03722","0.2781"
"0.7","1.057","0.08038","1.137","0.4945","0.04149","0.3174"
"0.8","1.046","0.08809","1.134","0.5827","0.04558","0.355"
"0.9","1.039","0.096","1.135","0.6708","0.04953","0.391"
"1","1.036","0.1041","1.14","0.7587","0.05337","0.4256"
"1.25","1.036","0.125","1.162","0.9761","0.0626","0.5066"
"1.5","1.043","0.1469","1.189","1.189","0.07144","0.5809"
"1.75","1.051","0.1694","1.221","1.396","0.07997","0.6495"
"2","1.061","0.1926","1.253","1.598","0.08826","0.7133"
"2.5","1.08","0.2403","1.32","1.987","0.1042","0.8295"
"3","1.098","0.2895","1.388","2.357","0.1194","0.9336"
"3.5","1.115","0.3398","1.455","2.708","0.134","1.029"
"4","1.13","0.3912","1.521","3.044","0.1479","1.116"
"4.5","1.144","0.4434","1.587","3.366","0.1613","1.198"
"5","1.157","0.4963","1.653","3.675","0.1741","1.275"
"5.5","1.168","0.5499","1.718","3.971","0.1865","1.347"
"6","1.179","0.604","1.783","4.257","0.1984","1.416"
"7","1.197","0.714","1.911","4.799","0.221","1.545"
"8","1.213","0.8257","2.039","5.305","0.2421","1.662"
"9","1.228","0.9389","2.167","5.781","0.2618","1.771"
"10","1.24","1.054","2.294","6.229","0.2802","1.872"
"12.5","1.267","1.345","2.612","7.25","0.3218","2.097"
"15","1.288","1.642","2.93","8.153","0.3579","2.293"
"17.5","1.305","1.943","3.249","8.964","0.3896","2.466"
"20","1.32","2.248","3.569","9.698","0.4177","2.622"
"25","1.345","2.867","4.212","10.99","0.4655","2.895"
"30","1.364","3.496","4.859","12.09","0.5047","3.131"
"35","1.379","4.131","5.51","13.06","0.5376","3.339"
"40","1.393","4.772","6.165","13.91","0.5657","3.527"
"45","1.404","5.418","6.822","14.68","0.59","3.697"
"50","1.414","6.068","7.482","15.38","0.6113","3.853"
"55","1.423","6.721","8.144","16.02","0.6301","3.997"
"60","1.431","7.377","8.808","16.61","0.6469","4.132"
"70","1.444","8.697","10.14","17.67","0.6757","4.375"
"80","1.456","10.02","11.48","18.6","0.6994","4.59"
"90","1.466","11.36","12.82","19.42","0.7194","4.784"
"100","1.474","12.7","14.17","20.16","0.7366","4.96"
"125","1.492","16.06","17.55","21.75","0.7705","5.34"
"150","1.507","19.44","20.95","23.05","0.7957","5.658"
"175","1.518","22.83","24.35","24.15","0.8154","5.932"
"200","1.528","26.23","27.76","25.11","0.8311","6.172"
"250","1.545","33.05","34.6","26.72","0.855","6.58"
"300","1.558","39.89","41.45","28.04","0.8723","6.918"
"350","1.568","46.74","48.31","29.16","0.8856","7.208"
"400","1.578","53.6","55.17","30.13","0.8961","7.46"
"450","1.586","60.46","62.04","30.98","0.9046","7.685"
"500","1.593","67.33","68.92","31.75","0.9117","7.886"
"550","1.599","74.21","75.81","32.44","0.9178","8.069"
"600","1.605","81.09","82.69","33.07","0.9229","8.237"
"700","1.615","94.86","96.47","34.19","0.9314","8.535"
"800","1.624","108.6","110.3","35.16","0.938","8.794"
"900","1.632","122.4","124.1","36.01","0.9433","9.024"
"1000","1.639","136.2","137.9","36.77","0.9477","9.23"
