"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.89","0.01645","10.9","0.0005786","0.0007497","0.0008901"
"0.0125","9.384","0.01768","9.401","0.0008264","0.0009388","0.001132"
"0.015","8.293","0.01866","8.311","0.00111","0.001126","0.001382"
"0.0175","7.462","0.01947","7.482","0.001427","0.001312","0.00164"
"0.02","6.806","0.02015","6.827","0.001778","0.001495","0.001905"
"0.025","5.834","0.02127","5.855","0.002572","0.001855","0.002458"
"0.03","5.143","0.02215","5.166","0.003483","0.002206","0.003039"
"0.035","4.626","0.02289","4.649","0.004505","0.002549","0.003649"
"0.04","4.223","0.02353","4.246","0.005632","0.002885","0.004287"
"0.045","3.899","0.02408","3.923","0.006859","0.003213","0.004951"
"0.05","3.633","0.02459","3.658","0.00818","0.003535","0.005642"
"0.055","3.411","0.02504","3.436","0.009591","0.003851","0.006359"
"0.06","3.222","0.02547","3.247","0.01109","0.00416","0.007101"
"0.07","2.917","0.02623","2.943","0.01433","0.004763","0.00866"
"0.08","2.682","0.02692","2.709","0.01788","0.005346","0.01031"
"0.09","2.496","0.02755","2.524","0.0217","0.005911","0.01206"
"0.1","2.344","0.02814","2.372","0.02579","0.006459","0.0139"
"0.125","2.065","0.02948","2.095","0.03705","0.007764","0.01887"
"0.15","1.875","0.03069","1.906","0.04959","0.008988","0.02434"
"0.175","1.738","0.03183","1.77","0.06323","0.01014","0.03028"
"0.2","1.635","0.03293","1.668","0.0778","0.01123","0.03667"
"0.25","1.491","0.03511","1.526","0.1092","0.01327","0.05064"
"0.3","1.396","0.03734","1.434","0.1431","0.01515","0.06597"
"0.35","1.331","0.03965","1.371","0.1788","0.01691","0.08235"
"0.4","1.284","0.04205","1.326","0.216","0.01859","0.09946"
"0.45","1.249","0.04455","1.293","0.2542","0.0202","0.117"
"0.5","1.222","0.04713","1.27","0.2932","0.02176","0.1348"
"0.55","1.202","0.0498","1.252","0.3329","0.02328","0.1527"
"0.6","1.186","0.05253","1.239","0.373","0.02476","0.1706"
"0.7","1.165","0.05819","1.223","0.4543","0.02765","0.2061"
"0.8","1.152","0.06405","1.216","0.5364","0.03046","0.2411"
"0.9","1.144","0.07012","1.214","0.6187","0.03322","0.2752"
"1","1.14","0.07636","1.216","0.7011","0.03592","0.3086"
"1.25","1.138","0.09268","1.231","0.9055","0.04255","0.3885"
"1.5","1.144","0.1098","1.254","1.107","0.04903","0.4633"
"1.75","1.152","0.1276","1.28","1.304","0.05542","0.5337"
"2","1.161","0.146","1.307","1.498","0.06171","0.6001"
"2.5","1.18","0.1841","1.365","1.872","0.07404","0.7227"
"3","1.199","0.2236","1.422","2.231","0.08606","0.834"
"3.5","1.216","0.2641","1.48","2.575","0.09775","0.936"
"4","1.231","0.3055","1.537","2.907","0.1091","1.03"
"4.5","1.245","0.3477","1.593","3.227","0.1202","1.118"
"5","1.258","0.3906","1.648","3.535","0.1309","1.2"
"5.5","1.269","0.4341","1.704","3.833","0.1414","1.278"
"6","1.28","0.4781","1.758","4.122","0.1516","1.351"
"7","1.299","0.5675","1.867","4.674","0.1711","1.488"
"8","1.316","0.6585","1.974","5.195","0.1896","1.614"
"9","1.33","0.7509","2.081","5.688","0.2071","1.731"
"10","1.343","0.8444","2.187","6.157","0.2238","1.841"
"12.5","1.369","1.082","2.451","7.236","0.2619","2.09"
"15","1.389","1.325","2.714","8.205","0.2959","2.311"
"17.5","1.406","1.571","2.978","9.084","0.3262","2.509"
"20","1.42","1.821","3.241","9.889","0.3536","2.688"
"25","1.443","2.327","3.771","11.32","0.401","3.003"
"30","1.461","2.842","4.303","12.56","0.4408","3.272"
"35","1.476","3.362","4.837","13.65","0.4747","3.506"
"40","1.488","3.886","5.374","14.63","0.5041","3.715"
"45","1.499","4.415","5.914","15.52","0.5298","3.902"
"50","1.509","4.946","6.455","16.33","0.5524","4.072"
"55","1.517","5.48","6.997","17.07","0.5727","4.229"
"60","1.525","6.017","7.541","17.76","0.5908","4.373"
"70","1.538","7.096","8.633","19","0.6222","4.634"
"80","1.549","8.18","9.729","20.09","0.6484","4.864"
"90","1.559","9.27","10.83","21.06","0.6706","5.07"
"100","1.567","10.36","11.93","21.94","0.6898","5.256"
"125","1.584","13.11","14.69","23.83","0.7281","5.658"
"150","1.598","15.87","17.47","25.39","0.7569","5.993"
"175","1.61","18.64","20.25","26.72","0.7794","6.279"
"200","1.62","21.42","23.04","27.87","0.7977","6.53"
"250","1.636","26.99","28.62","29.82","0.8255","6.952"
"300","1.649","32.57","34.22","31.41","0.8458","7.3"
"350","1.66","38.17","39.83","32.76","0.8615","7.596"
"400","1.669","43.77","45.44","33.94","0.8739","7.854"
"450","1.677","49.38","51.06","34.98","0.884","8.082"
"500","1.685","55","56.68","35.9","0.8925","8.287"
"550","1.691","60.62","62.31","36.75","0.8997","8.473"
"600","1.697","66.24","67.94","37.51","0.9059","8.643"
"700","1.708","77.5","79.21","38.88","0.916","8.945"
"800","1.717","88.76","90.48","40.06","0.924","9.208"
"900","1.725","100","101.8","41.1","0.9305","9.441"
"1000","1.732","111.3","113.1","42.03","0.9358","9.649"
