"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.799","0.02007","8.819","0.0007714","0.001115","0.00157"
"0.0125","7.662","0.02203","7.684","0.001076","0.001406","0.002008"
"0.015","6.822","0.02364","6.846","0.001421","0.001698","0.002464"
"0.0175","6.174","0.025","6.199","0.001806","0.001991","0.00294"
"0.02","5.657","0.02618","5.683","0.002228","0.002282","0.003434"
"0.025","4.882","0.02818","4.91","0.003177","0.00286","0.004481"
"0.03","4.326","0.02982","4.356","0.004261","0.003433","0.005605"
"0.035","3.906","0.03123","3.937","0.005471","0.003998","0.006805"
"0.04","3.576","0.03249","3.609","0.006799","0.004557","0.008082"
"0.045","3.311","0.03362","3.344","0.00824","0.00511","0.009431"
"0.05","3.092","0.03465","3.126","0.009787","0.005656","0.01085"
"0.055","2.908","0.03561","2.943","0.01144","0.006195","0.01234"
"0.06","2.751","0.03651","2.787","0.01318","0.006729","0.01388"
"0.07","2.497","0.03816","2.536","0.01695","0.007779","0.01715"
"0.08","2.301","0.03966","2.341","0.02106","0.008807","0.02059"
"0.09","2.145","0.04104","2.186","0.02549","0.009813","0.02418"
"0.1","2.018","0.04232","2.06","0.0302","0.0108","0.02787"
"0.125","1.783","0.04521","1.828","0.04313","0.01317","0.03736"
"0.15","1.623","0.04777","1.67","0.05747","0.01542","0.04699"
"0.175","1.506","0.05011","1.557","0.073","0.01757","0.05662"
"0.2","1.419","0.05232","1.471","0.08954","0.01961","0.06618"
"0.25","1.297","0.0565","1.353","0.1251","0.02343","0.08507"
"0.3","1.217","0.06056","1.278","0.1632","0.02696","0.1037"
"0.35","1.162","0.06461","1.227","0.2031","0.03026","0.1222"
"0.4","1.123","0.06866","1.191","0.2445","0.03337","0.1406"
"0.45","1.093","0.07277","1.166","0.287","0.03633","0.159"
"0.5","1.071","0.07692","1.148","0.3302","0.03917","0.1774"
"0.55","1.055","0.08113","1.136","0.374","0.0419","0.1958"
"0.6","1.042","0.08538","1.127","0.4182","0.04454","0.2143"
"0.7","1.024","0.09402","1.118","0.5074","0.0496","0.2512"
"0.8","1.014","0.1029","1.117","0.5969","0.05442","0.2881"
"0.9","1.008","0.1118","1.12","0.6863","0.05904","0.3248"
"1","1.005","0.121","1.126","0.7754","0.0635","0.3612"
"1.25","1.005","0.1446","1.15","0.9952","0.07413","0.4501"
"1.5","1.011","0.169","1.18","1.21","0.08419","0.5351"
"1.75","1.019","0.194","1.213","1.419","0.09383","0.6157"
"2","1.028","0.2197","1.247","1.622","0.1031","0.6921"
"2.5","1.045","0.2723","1.318","2.012","0.1208","0.833"
"3","1.062","0.3265","1.389","2.382","0.1375","0.9605"
"3.5","1.077","0.3819","1.459","2.733","0.1534","1.077"
"4","1.091","0.4382","1.53","3.067","0.1685","1.184"
"4.5","1.104","0.4954","1.599","3.387","0.1829","1.284"
"5","1.115","0.5534","1.669","3.693","0.1967","1.377"
"5.5","1.126","0.6121","1.738","3.987","0.2099","1.465"
"6","1.135","0.6713","1.807","4.269","0.2226","1.547"
"7","1.152","0.7916","1.944","4.802","0.2465","1.7"
"8","1.167","0.9137","2.081","5.3","0.2686","1.838"
"9","1.18","1.037","2.217","5.765","0.2892","1.966"
"10","1.191","1.163","2.354","6.203","0.3084","2.083"
"12.5","1.215","1.481","2.696","7.194","0.3512","2.343"
"15","1.234","1.805","3.039","8.067","0.3881","2.566"
"17.5","1.25","2.134","3.384","8.847","0.4202","2.762"
"20","1.264","2.467","3.731","9.55","0.4484","2.938"
"25","1.286","3.143","4.429","10.78","0.4961","3.245"
"30","1.303","3.829","5.132","11.83","0.5349","3.507"
"35","1.317","4.523","5.84","12.74","0.5671","3.737"
"40","1.329","5.223","6.552","13.55","0.5945","3.942"
"45","1.339","5.929","7.268","14.27","0.6181","4.127"
"50","1.348","6.639","7.987","14.93","0.6387","4.296"
"55","1.356","7.352","8.708","15.53","0.6568","4.451"
"60","1.363","8.069","9.433","16.08","0.6729","4.594"
"70","1.376","9.511","10.89","17.06","0.7003","4.853"
"80","1.387","10.96","12.35","17.93","0.7229","5.081"
"90","1.396","12.42","13.81","18.69","0.7419","5.284"
"100","1.404","13.88","15.29","19.38","0.758","5.469"
"125","1.421","17.56","18.98","20.84","0.7899","5.866"
"150","1.434","21.25","22.69","22.05","0.8135","6.196"
"175","1.445","24.96","26.41","23.07","0.8317","6.48"
"200","1.454","28.68","30.13","23.95","0.8463","6.728"
"250","1.47","36.13","37.6","25.44","0.8684","7.147"
"300","1.482","43.6","45.08","26.65","0.8844","7.493"
"350","1.492","51.08","52.57","27.68","0.8965","7.788"
"400","1.501","58.57","60.07","28.56","0.9061","8.045"
"450","1.509","66.06","67.57","29.35","0.9139","8.273"
"500","1.516","73.56","75.08","30.05","0.9204","8.477"
"550","1.522","81.08","82.6","30.68","0.9259","8.663"
"600","1.527","88.59","90.12","31.26","0.9306","8.832"
"700","1.537","103.6","105.2","32.29","0.9383","9.133"
"800","1.546","118.7","120.2","33.18","0.9443","9.395"
"900","1.553","133.7","135.3","33.96","0.9491","9.627"
"1000","1.56","148.8","150.4","34.66","0.9531","9.834"
