"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","16.1","0.009219","16.11","0.0003647","0.0002971","0.0002439"
"0.0125","13.67","0.009552","13.68","0.0005338","0.0003649","0.0003174"
"0.015","11.95","0.009797","11.96","0.0007298","0.0004306","0.0003958"
"0.0175","10.66","0.009987","10.67","0.0009516","0.0004945","0.0004788"
"0.02","9.657","0.01014","9.667","0.001198","0.0005568","0.0005665"
"0.025","8.189","0.01036","8.2","0.001762","0.0006768","0.0007552"
"0.03","7.164","0.01052","7.174","0.002416","0.0007917","0.0009612"
"0.035","6.404","0.01064","6.414","0.003154","0.0009019","0.001184"
"0.04","5.816","0.01074","5.827","0.003974","0.001008","0.001422"
"0.045","5.348","0.01082","5.359","0.004869","0.001111","0.001675"
"0.05","4.966","0.0109","4.976","0.005839","0.00121","0.001943"
"0.055","4.647","0.01096","4.658","0.006878","0.001307","0.002225"
"0.06","4.377","0.01102","4.388","0.007985","0.001401","0.00252"
"0.07","3.945","0.01113","3.956","0.01039","0.001581","0.003149"
"0.08","3.614","0.01124","3.625","0.01303","0.001753","0.003824"
"0.09","3.352","0.01134","3.364","0.0159","0.001918","0.004543"
"0.1","3.14","0.01145","3.151","0.01897","0.002076","0.005302"
"0.125","2.751","0.01173","2.763","0.02748","0.00245","0.007357"
"0.15","2.488","0.01204","2.5","0.03702","0.002798","0.009604"
"0.175","2.298","0.01238","2.311","0.04744","0.003125","0.01201"
"0.2","2.156","0.01274","2.169","0.05862","0.003437","0.01455"
"0.25","1.958","0.01353","1.971","0.08288","0.004024","0.01996"
"0.3","1.828","0.01439","1.843","0.1092","0.004576","0.02572"
"0.35","1.739","0.01532","1.754","0.137","0.005104","0.03175"
"0.4","1.674","0.01631","1.69","0.1661","0.005615","0.038"
"0.45","1.626","0.01736","1.643","0.1961","0.006115","0.04445"
"0.5","1.589","0.01846","1.608","0.2269","0.006606","0.0511"
"0.55","1.561","0.0196","1.581","0.2582","0.007091","0.05795"
"0.6","1.54","0.02078","1.56","0.2901","0.007571","0.065"
"0.7","1.509","0.02324","1.532","0.3548","0.008524","0.07978"
"0.8","1.49","0.02583","1.516","0.4205","0.009472","0.0956"
"0.9","1.478","0.02853","1.507","0.4866","0.01042","0.1126"
"1","1.472","0.03133","1.503","0.5531","0.01136","0.1309"
"1.25","1.467","0.03872","1.505","0.7194","0.01375","0.1823"
"1.5","1.471","0.0466","1.517","0.8849","0.01616","0.2396"
"1.75","1.478","0.05487","1.533","1.049","0.0186","0.3001"
"2","1.488","0.06347","1.551","1.211","0.02107","0.3615"
"2.5","1.508","0.08147","1.589","1.529","0.02607","0.4821"
"3","1.527","0.1003","1.627","1.84","0.03114","0.596"
"3.5","1.545","0.1199","1.665","2.144","0.03623","0.7021"
"4","1.562","0.14","1.702","2.441","0.04135","0.8005"
"4.5","1.577","0.1606","1.738","2.732","0.04646","0.8921"
"5","1.591","0.1816","1.773","3.017","0.05155","0.9775"
"5.5","1.604","0.203","1.807","3.296","0.05663","1.058"
"6","1.616","0.2247","1.841","3.57","0.06168","1.133"
"7","1.637","0.269","1.906","4.104","0.07168","1.272"
"8","1.656","0.3144","1.97","4.62","0.08152","1.397"
"9","1.672","0.3605","2.032","5.12","0.09119","1.513"
"10","1.686","0.4074","2.094","5.605","0.1007","1.621"
"12.5","1.717","0.5269","2.244","6.758","0.1235","1.862"
"15","1.741","0.6494","2.39","7.837","0.1452","2.076"
"17.5","1.76","0.7739","2.534","8.853","0.1657","2.269"
"20","1.776","0.9002","2.676","9.812","0.1851","2.447"
"25","1.802","1.156","2.958","11.59","0.221","2.764"
"30","1.822","1.417","3.238","13.2","0.2533","3.039"
"35","1.838","1.68","3.518","14.68","0.2825","3.283"
"40","1.852","1.945","3.796","16.05","0.3091","3.499"
"45","1.863","2.212","4.075","17.32","0.3334","3.695"
"50","1.874","2.481","4.354","18.51","0.3557","3.872"
"55","1.883","2.751","4.634","19.62","0.3763","4.035"
"60","1.891","3.022","4.913","20.67","0.3953","4.185"
"70","1.905","3.568","5.473","22.6","0.4294","4.453"
"80","1.918","4.117","6.035","24.34","0.4592","4.689"
"90","1.928","4.669","6.597","25.92","0.4854","4.899"
"100","1.938","5.223","7.16","27.38","0.5088","5.088"
"125","1.957","6.616","8.573","30.56","0.5574","5.494"
"150","1.973","8.017","9.99","33.26","0.5958","5.83"
"175","1.986","9.424","11.41","35.6","0.6271","6.117"
"200","1.997","10.84","12.83","37.67","0.6531","6.369"
"250","2.015","13.67","15.68","41.19","0.6943","6.794"
"300","2.03","16.51","18.54","44.11","0.7255","7.146"
"350","2.042","19.36","21.41","46.62","0.7501","7.445"
"400","2.052","22.22","24.27","48.81","0.7701","7.706"
"450","2.062","25.08","27.14","50.76","0.7868","7.938"
"500","2.07","27.94","30.01","52.51","0.8008","8.145"
"550","2.077","30.81","32.89","54.1","0.813","8.333"
"600","2.084","33.68","35.76","55.56","0.8235","8.505"
"700","2.095","39.42","41.52","58.15","0.841","8.811"
"800","2.105","45.17","47.28","60.41","0.8549","9.076"
"900","2.114","50.93","53.04","62.4","0.8664","9.311"
"1000","2.122","56.69","58.81","64.19","0.8759","9.52"
