"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","11.82","0.01511","11.83","0.0005243","0.00064","0.002181"
"0.0125","10.15","0.01612","10.17","0.000753","0.0007984","0.002766"
"0.015","8.952","0.01692","8.969","0.001015","0.0009547","0.003366"
"0.0175","8.041","0.01757","8.059","0.00131","0.001109","0.003981"
"0.02","7.324","0.01811","7.342","0.001635","0.001261","0.00461"
"0.025","6.264","0.01898","6.283","0.002374","0.001558","0.005909"
"0.03","5.514","0.01967","5.533","0.003225","0.001847","0.007258"
"0.035","4.953","0.02022","4.973","0.00418","0.002127","0.008656"
"0.04","4.516","0.0207","4.537","0.005234","0.002401","0.0101"
"0.045","4.167","0.02111","4.188","0.006382","0.002668","0.01158"
"0.05","3.879","0.02148","3.901","0.00762","0.002929","0.0131"
"0.055","3.639","0.02181","3.661","0.008944","0.003184","0.01465"
"0.06","3.435","0.02212","3.458","0.01035","0.003433","0.01623"
"0.07","3.107","0.02268","3.13","0.0134","0.003918","0.01947"
"0.08","2.855","0.02317","2.878","0.01673","0.004384","0.0228"
"0.09","2.655","0.02363","2.678","0.02034","0.004835","0.02619"
"0.1","2.492","0.02405","2.516","0.02419","0.005271","0.02964"
"0.125","2.192","0.02504","2.217","0.03482","0.006305","0.03841"
"0.15","1.988","0.02596","2.014","0.04668","0.007271","0.0473"
"0.175","1.841","0.02684","1.868","0.05959","0.008181","0.05623"
"0.2","1.73","0.0277","1.758","0.0734","0.009041","0.06516"
"0.25","1.576","0.02945","1.606","0.1033","0.01065","0.08293"
"0.3","1.475","0.03128","1.507","0.1355","0.01213","0.1005"
"0.35","1.405","0.0332","1.439","0.1695","0.01353","0.118"
"0.4","1.355","0.03521","1.39","0.2049","0.01487","0.1353"
"0.45","1.318","0.03732","1.355","0.2413","0.01615","0.1524"
"0.5","1.29","0.03952","1.329","0.2786","0.0174","0.1694"
"0.55","1.268","0.04179","1.31","0.3165","0.01862","0.1863"
"0.6","1.251","0.04414","1.295","0.3549","0.01982","0.203"
"0.7","1.228","0.04899","1.277","0.4327","0.02216","0.2361"
"0.8","1.214","0.05405","1.268","0.5113","0.02445","0.2687"
"0.9","1.205","0.05929","1.265","0.5903","0.02671","0.3008"
"1","1.201","0.0647","1.265","0.6694","0.02894","0.3323"
"1.25","1.199","0.07887","1.278","0.8662","0.03444","0.4086"
"1.5","1.204","0.09382","1.298","1.06","0.03987","0.4813"
"1.75","1.212","0.1094","1.322","1.251","0.04525","0.5507"
"2","1.222","0.1255","1.347","1.439","0.05059","0.617"
"2.5","1.241","0.1589","1.4","1.803","0.06114","0.7416"
"3","1.26","0.1936","1.453","2.153","0.07152","0.8578"
"3.5","1.277","0.2293","1.506","2.491","0.0817","0.9671"
"4","1.292","0.2659","1.558","2.817","0.09167","1.071"
"4.5","1.305","0.3032","1.609","3.133","0.1014","1.17"
"5","1.318","0.3411","1.659","3.439","0.111","1.265"
"5.5","1.329","0.3795","1.708","3.736","0.1204","1.355"
"6","1.339","0.4185","1.758","4.025","0.1295","1.442"
"7","1.357","0.4978","1.855","4.579","0.1472","1.606"
"8","1.372","0.5785","1.951","5.104","0.1641","1.758"
"9","1.385","0.6605","2.046","5.605","0.1803","1.898"
"10","1.397","0.7436","2.141","6.083","0.1958","2.029"
"12.5","1.421","0.9551","2.376","7.191","0.2317","2.32"
"15","1.44","1.171","2.611","8.194","0.2641","2.571"
"17.5","1.456","1.391","2.847","9.111","0.2933","2.791"
"20","1.47","1.613","3.083","9.954","0.32","2.986"
"25","1.492","2.064","3.556","11.46","0.3666","3.323"
"30","1.509","2.522","4.032","12.78","0.4061","3.608"
"35","1.524","2.985","4.509","13.96","0.4402","3.856"
"40","1.536","3.453","4.989","15.01","0.4698","4.076"
"45","1.546","3.924","5.47","15.97","0.496","4.273"
"50","1.555","4.398","5.953","16.84","0.5192","4.453"
"55","1.564","4.874","6.438","17.65","0.54","4.618"
"60","1.571","5.352","6.923","18.4","0.5588","4.77"
"70","1.584","6.313","7.897","19.75","0.5914","5.044"
"80","1.595","7.279","8.874","20.94","0.6187","5.284"
"90","1.604","8.249","9.853","22.01","0.6421","5.499"
"100","1.612","9.223","10.84","22.98","0.6623","5.693"
"125","1.629","11.67","13.3","25.06","0.7029","6.107"
"150","1.643","14.13","15.77","26.78","0.7336","6.45"
"175","1.655","16.59","18.25","28.26","0.7578","6.742"
"200","1.665","19.07","20.73","29.54","0.7774","6.996"
"250","1.681","24.03","25.71","31.7","0.8075","7.425"
"300","1.694","29","30.7","33.48","0.8296","7.777"
"350","1.705","33.99","35.69","34.99","0.8466","8.077"
"400","1.715","38.98","40.69","36.3","0.8602","8.338"
"450","1.723","43.98","45.7","37.46","0.8713","8.569"
"500","1.73","48.98","50.71","38.5","0.8806","8.776"
"550","1.737","53.99","55.72","39.44","0.8884","8.964"
"600","1.743","59","60.74","40.3","0.8953","9.136"
"700","1.754","69.03","70.78","41.82","0.9064","9.441"
"800","1.763","79.07","80.83","43.14","0.9152","9.706"
"900","1.771","89.12","90.89","44.31","0.9223","9.94"
"1000","1.778","99.17","100.9","45.35","0.9283","10.15"
