"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.23","0.01818","10.25","0.0006243","0.0008666","0.001823"
"0.0125","8.841","0.01971","8.861","0.0008875","0.001093","0.00232"
"0.015","7.826","0.02095","7.847","0.001188","0.001319","0.002833"
"0.0175","7.052","0.02199","7.074","0.001524","0.001543","0.003362"
"0.02","6.439","0.02287","6.462","0.001894","0.001766","0.003907"
"0.025","5.527","0.02433","5.551","0.002732","0.002206","0.005041"
"0.03","4.879","0.02551","4.904","0.003693","0.002637","0.006235"
"0.035","4.392","0.02651","4.418","0.004769","0.003061","0.007483"
"0.04","4.012","0.02738","4.039","0.005954","0.003477","0.008784"
"0.045","3.706","0.02816","3.734","0.007243","0.003887","0.01013"
"0.05","3.455","0.02886","3.484","0.008631","0.004289","0.01153"
"0.055","3.245","0.02951","3.274","0.01011","0.004686","0.01296"
"0.06","3.066","0.03012","3.096","0.01168","0.005076","0.01443"
"0.07","2.778","0.03122","2.809","0.01508","0.00584","0.01746"
"0.08","2.555","0.03221","2.587","0.0188","0.006583","0.0206"
"0.09","2.378","0.03311","2.412","0.0228","0.007307","0.02382"
"0.1","2.234","0.03396","2.268","0.02708","0.008011","0.0271"
"0.125","1.97","0.03587","2.005","0.03885","0.009699","0.03545"
"0.15","1.789","0.03757","1.827","0.05194","0.01129","0.0439"
"0.175","1.659","0.03915","1.698","0.06616","0.01279","0.05237"
"0.2","1.561","0.04064","1.601","0.08134","0.01422","0.0608"
"0.25","1.424","0.04353","1.467","0.1141","0.01689","0.07751"
"0.3","1.334","0.04642","1.381","0.1493","0.01935","0.09397"
"0.35","1.272","0.04935","1.322","0.1863","0.02166","0.1102"
"0.4","1.228","0.05237","1.28","0.2248","0.02384","0.1262"
"0.45","1.195","0.05547","1.25","0.2643","0.02593","0.142"
"0.5","1.17","0.05865","1.229","0.3047","0.02794","0.1576"
"0.55","1.151","0.0619","1.213","0.3456","0.02989","0.1729"
"0.6","1.137","0.06523","1.202","0.3871","0.03179","0.1881"
"0.7","1.117","0.07205","1.189","0.4708","0.03545","0.2179"
"0.8","1.105","0.0791","1.184","0.5551","0.03899","0.2469"
"0.9","1.098","0.08635","1.185","0.6395","0.04242","0.2752"
"1","1.095","0.09378","1.189","0.7238","0.04576","0.3028"
"1.25","1.095","0.1131","1.208","0.9325","0.05386","0.3688"
"1.5","1.102","0.1333","1.235","1.137","0.06169","0.4312"
"1.75","1.111","0.1542","1.265","1.337","0.0693","0.4904"
"2","1.12","0.1758","1.296","1.533","0.07674","0.5469"
"2.5","1.14","0.2202","1.361","1.909","0.09116","0.6533"
"3","1.159","0.2661","1.425","2.268","0.105","0.7523"
"3.5","1.176","0.3132","1.49","2.611","0.1184","0.8452"
"4","1.192","0.3612","1.553","2.94","0.1313","0.9329"
"4.5","1.206","0.4101","1.616","3.255","0.1437","1.016"
"5","1.218","0.4597","1.678","3.559","0.1558","1.094"
"5.5","1.23","0.51","1.74","3.852","0.1674","1.169"
"6","1.241","0.5608","1.801","4.134","0.1786","1.24"
"7","1.259","0.664","1.923","4.671","0.2","1.373"
"8","1.276","0.7689","2.044","5.175","0.2201","1.495"
"9","1.29","0.8753","2.165","5.651","0.2391","1.608"
"10","1.302","0.983","2.285","6.1","0.2569","1.713"
"12.5","1.329","1.257","2.586","7.128","0.2973","1.948"
"15","1.35","1.536","2.886","8.043","0.3327","2.154"
"17.5","1.367","1.82","3.187","8.867","0.3641","2.338"
"20","1.382","2.107","3.488","9.616","0.3921","2.505"
"25","1.405","2.689","4.094","10.94","0.44","2.8"
"30","1.424","3.28","4.704","12.08","0.4796","3.055"
"35","1.439","3.878","5.317","13.08","0.5131","3.28"
"40","1.451","4.481","5.932","13.97","0.5418","3.482"
"45","1.462","5.089","6.551","14.77","0.5668","3.664"
"50","1.472","5.701","7.172","15.5","0.5887","3.83"
"55","1.48","6.315","7.795","16.17","0.6082","3.983"
"60","1.488","6.933","8.42","16.78","0.6255","4.125"
"70","1.501","8.174","9.675","17.89","0.6554","4.38"
"80","1.512","9.422","10.93","18.86","0.6802","4.605"
"90","1.522","10.68","12.2","19.73","0.7011","4.807"
"100","1.53","11.94","13.47","20.51","0.7191","4.99"
"125","1.548","15.1","16.65","22.17","0.7548","5.384"
"150","1.561","18.28","19.84","23.55","0.7814","5.713"
"175","1.573","21.47","23.05","24.71","0.8022","5.996"
"200","1.583","24.67","26.26","25.73","0.8189","6.244"
"250","1.599","31.09","32.69","27.43","0.8443","6.662"
"300","1.612","37.52","39.14","28.83","0.8628","7.008"
"350","1.622","43.97","45.59","30.01","0.8769","7.302"
"400","1.631","50.42","52.06","31.04","0.8881","7.559"
"450","1.64","56.88","58.52","31.94","0.8973","7.786"
"500","1.647","63.35","65","32.75","0.9049","7.99"
"550","1.653","69.82","71.48","33.49","0.9113","8.175"
"600","1.659","76.3","77.96","34.16","0.9169","8.344"
"700","1.669","89.26","90.93","35.34","0.9259","8.645"
"800","1.678","102.2","103.9","36.37","0.933","8.907"
"900","1.686","115.2","116.9","37.28","0.9388","9.139"
"1000","1.693","128.2","129.9","38.09","0.9435","9.346"
