"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","13.91","0.01234","13.92","0.0004348","0.0004541","0.002649"
"0.0125","11.89","0.01298","11.9","0.0006298","0.0005612","0.003373"
"0.015","10.44","0.01347","10.45","0.0008546","0.0006661","0.004121"
"0.0175","9.352","0.01386","9.366","0.001108","0.0007688","0.004895"
"0.02","8.498","0.01418","8.513","0.001388","0.0008693","0.005695"
"0.025","7.242","0.01468","7.257","0.002027","0.001065","0.007374"
"0.03","6.358","0.01505","6.373","0.002764","0.001253","0.00916"
"0.035","5.699","0.01534","5.715","0.003594","0.001434","0.01106"
"0.04","5.188","0.01559","5.204","0.004512","0.00161","0.01307"
"0.045","4.779","0.01579","4.795","0.005515","0.001781","0.01519"
"0.05","4.444","0.01597","4.46","0.006597","0.001947","0.01744"
"0.055","4.165","0.01614","4.181","0.007755","0.002108","0.0198"
"0.06","3.927","0.01628","3.944","0.008988","0.002265","0.02229"
"0.07","3.546","0.01654","3.563","0.01166","0.002568","0.02762"
"0.08","3.254","0.01677","3.27","0.01459","0.002858","0.03344"
"0.09","3.021","0.01699","3.038","0.01777","0.003137","0.03973"
"0.1","2.832","0.01721","2.85","0.02117","0.003405","0.04646"
"0.125","2.485","0.01773","2.503","0.03057","0.004037","0.06494"
"0.15","2.249","0.01825","2.268","0.04109","0.004626","0.08507"
"0.175","2.079","0.01879","2.098","0.05257","0.005181","0.106"
"0.2","1.95","0.01935","1.97","0.06488","0.005708","0.127"
"0.25","1.771","0.02053","1.791","0.09159","0.006696","0.1682"
"0.3","1.653","0.02181","1.675","0.1205","0.007621","0.2076"
"0.35","1.571","0.02317","1.594","0.1511","0.008501","0.2451"
"0.4","1.512","0.02461","1.537","0.1831","0.009348","0.281"
"0.45","1.468","0.02612","1.494","0.2161","0.01017","0.3155"
"0.5","1.434","0.02771","1.462","0.25","0.01098","0.3489"
"0.55","1.408","0.02935","1.437","0.2845","0.01177","0.3811"
"0.6","1.388","0.03104","1.419","0.3195","0.01255","0.4124"
"0.7","1.359","0.03457","1.393","0.3907","0.01409","0.4724"
"0.8","1.34","0.03828","1.379","0.4629","0.01562","0.5293"
"0.9","1.329","0.04213","1.371","0.5357","0.01713","0.5836"
"1","1.322","0.04612","1.368","0.6087","0.01864","0.6356"
"1.25","1.315","0.05666","1.372","0.7914","0.02241","0.7568"
"1.5","1.317","0.06788","1.385","0.9728","0.0262","0.868"
"1.75","1.323","0.07963","1.403","1.152","0.03001","0.9712"
"2","1.331","0.09183","1.423","1.329","0.03384","1.068"
"2.5","1.348","0.1173","1.466","1.675","0.04153","1.244"
"3","1.365","0.1439","1.509","2.012","0.04923","1.403"
"3.5","1.381","0.1714","1.552","2.338","0.0569","1.547"
"4","1.395","0.1996","1.595","2.656","0.06452","1.678"
"4.5","1.408","0.2285","1.637","2.965","0.07206","1.799"
"5","1.42","0.2579","1.678","3.267","0.07953","1.911"
"5.5","1.431","0.2878","1.719","3.562","0.0869","2.015"
"6","1.441","0.3181","1.76","3.849","0.09417","2.113"
"7","1.46","0.3799","1.84","4.405","0.1084","2.29"
"8","1.476","0.4429","1.919","4.937","0.1222","2.449"
"9","1.49","0.507","1.997","5.448","0.1356","2.593"
"10","1.502","0.572","2.074","5.939","0.1485","2.724"
"12.5","1.529","0.7375","2.266","7.092","0.179","3.012"
"15","1.55","0.9066","2.456","8.151","0.2071","3.257"
"17.5","1.567","1.078","2.646","9.131","0.2331","3.472"
"20","1.582","1.252","2.835","10.04","0.2571","3.664"
"25","1.606","1.605","3.212","11.7","0.3","3.999"
"30","1.625","1.963","3.588","13.17","0.3374","4.285"
"35","1.64","2.324","3.965","14.5","0.3702","4.535"
"40","1.653","2.689","4.342","15.7","0.3994","4.758"
"45","1.664","3.056","4.72","16.81","0.4254","4.959"
"50","1.674","3.425","5.099","17.83","0.4488","5.141"
"55","1.683","3.796","5.479","18.77","0.4701","5.308"
"60","1.691","4.168","5.859","19.65","0.4894","5.461"
"70","1.704","4.917","6.621","21.26","0.5235","5.737"
"80","1.716","5.67","7.386","22.69","0.5525","5.979"
"90","1.726","6.427","8.153","23.98","0.5776","6.193"
"100","1.735","7.187","8.922","25.15","0.5995","6.387"
"125","1.754","9.097","10.85","27.68","0.6442","6.801"
"150","1.769","11.02","12.79","29.8","0.6786","7.143"
"175","1.781","12.95","14.73","31.62","0.7061","7.435"
"200","1.792","14.88","16.67","33.22","0.7286","7.689"
"250","1.809","18.76","20.57","35.91","0.7634","8.118"
"300","1.824","22.65","24.48","38.14","0.7894","8.472"
"350","1.835","26.55","28.39","40.04","0.8096","8.773"
"400","1.846","30.46","32.3","41.69","0.8258","9.035"
"450","1.854","34.37","36.22","43.15","0.8391","9.267"
"500","1.862","38.28","40.15","44.46","0.8504","9.474"
"550","1.869","42.21","44.07","45.64","0.8599","9.663"
"600","1.876","46.13","48","46.73","0.8682","9.835"
"700","1.887","53.97","55.86","48.66","0.8818","10.14"
"800","1.897","61.83","63.73","50.34","0.8927","10.41"
"900","1.906","69.69","71.6","51.82","0.9015","10.64"
"1000","1.914","77.55","79.47","53.14","0.9088","10.85"
